dominio,categoria,entita,prompt,is_prompt_missing,is_prompt_vuoto,ha_markup,ha_caratteri_controllo,ha_unicode_invisibile,ha_doppio_spazio,spazio_prima_punteggiatura,parentesi_round_sbilanciate,parentesi_quadre_sbilanciate,virgolette_sbilanciate,ha_spazio_iniziale
gender,American_actors,Dick_Van_Dyke,"— PDF Article
Dick Van Dyke -Disney Legends profile
Dick ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Emil_Van_Horn,"Variety 's review remarked that ""Emil Van Horn makes ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Travis_Van_Winkle,"""Travis Van Winkle on 'The Last Ship' and ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Reginald_VelJohnson,"TV
Reginald VelJohnson at the Internet Broadway Database
Reginald ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Abe_Vigoda,"""Abe Vigoda, of 'Godfather' and 'Barney Miller,' ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,John_Vivyan,John Vivyan  was an American actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robert_Wagner,"Movies
Robert Wagner   on Charlie Rose
Works ",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Mark_Wahlberg,"""Wahlberg established the Mark Wahlberg Youth Foundation ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Ron_Randell,"""Unsung Aussie Actors – Ron Randell: A ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Michael_Rapaport,"""Michael Rapaport Discusses His Film Beats, Rhymes ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Gregory_Ratoff,Gregory Ratoff (born Grigory Vasilyevich Ratner; Russian: ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Ray_J,"""Ray J and Houston became very close ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Ray_J,"""On May 30, 2014, Ray J was ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Johnnie_Ray,"Johnnie Ray interviewed on the Pop Chronicles
1956 ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ronald_Reagan,"She later said, ""Ronald Reagan had a ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Christopher_Reeve,"– Newsweek
""Christopher Reeve has become an instant ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Christopher_Reeve,"Of Christopher Reeve, UC Irvine said, ""in ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Christopher_Reeve,"Christopher Reeve Homepage
Reeve, Christopher Nothing is Impossible, ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Steve_Reeves,"Moore, Milton Jr. ""STEVE REEVES - One ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Steve_Reeves,"Steve Reeves Biography ""WORLDS TO CONQUER – ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Dan_Resin,"on YouTube
Dan Resin obituary
Review of Hail
Dan Resin ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Burt_Reynolds,"""Burt Reynolds Isn't Broke, but He's Got ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jason_Nash,"A film version of ""Jason Nash Is ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Ozzie_Nelson,"He formed and led ""The Ozzie Nelson ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Fred_Niblo,"""Fred Niblo retired in 1933 after more ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Fayard_Nicholas,"Fayard Nicholas at Find a Grave
Fayard Nicholas ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Amaury_Nolasco,The  Amaury Nolasco & Friends Golf ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Chuck_Norris,"The Chuck Norris Fitness System
The Secret of ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Harry_Northup,"Cahuenga Press
Bio Sketch
Video of Harry Northup reading ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ken_Norton,"""His first son, Ken Norton Jr, played ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Frank_Novak,Frank Novak  is an American character ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Mark_Indelicato,"Mark Indelicato on IMDb
From Broadway World
BroadwayWorld.com interview ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Chris_Isaak,"Chris Isaak discography at Discogs  
Chris ",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Al_Israel,Al Israel  was an American film ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sammy_Jackson,"Sammy Jackson  was an American actor, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Samuel_L._Jackson,"""How Samuel L. Jackson Became His Own ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Dennis_James,"Dennis James' Lifetime of Firsts"" by Adam ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Lane_Janger,Lane Janger  is an American independent ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ricky_Jay,"Ricky Jay & His 52 Assistants
Ricky Jay: ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Penn_Jillette,"(For example: ""Penn Jillette is the half ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
gender,American_actors,Penn_Jillette,"(1982) by Various / Penn Jillette
Captain Howdy, ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Dots_Johnson,"Hylan Johnson, professionally known as Dots Johnson,  ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jon_Gabrus,Jon Gabrus  is an American actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Latham_Gaines,"Latham Gaines  is an American composer, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Larry_Gelman,Larry Gelman  is an American film ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Penn_Badgley,"""Penn Badgley Talks 'Easy A' and Working ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Ron_Balicki,"15, 16, 17, by: Ron Balicki, ""The ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Ron_Balicki,"8, by: Ron Balicki, ""Insiders""
""El Budoka"", 1996, ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Earl_Poole_Ball,"Earl Poole Ball is an American singer-songwriter,  ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Carl_Ballantine,"According to David Copperfield, ""Carl Ballantine created ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Al_Bandiero,"Al Bandiero  is an American film, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Steve_Barton,"http://www.ovrtur.com/biography/10128888
Steve Barton A Life Dedicated to the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Aaron_Eckhart,(Farin Roberts interviews Aaron Eckhart in discussion ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Nelson_Eddy,"Variety wrote, ""Nelson Eddy, vet of films, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jack_Elam,"Stage 3: ""I want a Jack Elam ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sam_Elliott,"""Typecast as a Cowboy, Sam Elliott Came ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Michael_Emerson,"""Michael Emerson Reflects on Lost , Looks ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Greg_Lauren,"Greg Lauren  is an American actor, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Bruce_Lee,Statue of Bruce Lee:  The day ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jeff_Kaake,Jeff Kaake  is an American actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sean_Kanan,"TV
Sean Kanan Talks About His Restless ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Whitford_Kane,"""Whitford Kane appeared in a handful of ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Kurt_Kasznar,"Kurt Kasznar on IMDb
Kurt Kasznar biography, actordatabase.com; ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,David_Bar_Katz,"""David Bar Katz is an important, incisive, scary, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Andy_Kaufman,"ISBN 0-375-50457-5
Keller, Florian, Andy Kaufman: Wrestling with ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Andy_Kaufman,"ISBN 158648317X
Margulies, Lynne; Zmuda, Bob, Andy Kaufman, ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Andy_Kaufman,"“Waking Andy Kaufman.” by Bill Jensen
Uncle Andy’s ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Buster_Keaton,"Film historian Jeffrey Vance wrote:

Buster Keaton's comedy ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Buster_Keaton,"Group
Meade, Marion, Buster Keaton: Cut to the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Buster_Keaton,"of Washington/Sayre collection)
Buster Keaton's Silent Shorts by ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Ian_Keith,"Ian Keith's 6' 2"" tall frame, dark, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,J._T._Walsh,"Walsh since 1998
J. T. Walsh at AllMovie
Bubblegun interview
J. T. Walsh ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Myk_Watford,"""A ctor Myk Watford Talks New Horror-Thriller ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Myk_Watford,"""Alabama’s Myk Watford in “The Kitchen” with ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,John_Wayne,"According to one biographer, ""John Wayne personified ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Dennis_Weaver,"""Dennis Weaver, 81; Star of ' Gunsmoke,' ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Dennis_Weaver,"(information on his ancestry)
Dennis Weaver at Find ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jay_Park,"Jay Park; born April 25, 1987) is ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Gordon_Parks,"In 2008, the  Gordon Parks Foundation ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Gordon_Parks,"ISBN 978-3-86930-801-2
Russell Lord, Gordon Parks: The Making ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ross_Partridge,"Ross Partridge is an American  actor, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jerome_Patrick,Jerome Patrick Cavanagh  was an American ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ross_Patterson,"Ross Patterson aka St. James St. James,  ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Rob_Paulsen,"He has recently started doing ""Rob Paulsen ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sam_Peckinpah,"""The Best Sam Peckinpah Westerns Are a ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Al_Jolson,Al Jolson (born Asa Yoelson; 9 June ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Al_Jolson,"Stewart replied: ""Al Jolson, from when we ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Philip_Charles_MacKenzie,Philip Charles MacKenzie  is an American actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Gordon_MacRae,"(Birch Lane Press, 1992) ISBN 978-1559721127
Gordon MacRae: ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ray_Mala,Ray Mala gained praise following Eskimo  ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Rami_Malek,"""Interview with Rami Malek of The War ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Aasif_Mandvi,"Aasif Mandvi on IMDb
Aasif Mandvi on Twitter
""A ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Aasif_Mandvi,"– Interview
One on One – Aasif Mandvi ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Anthony_Marciona,"Anthony Marciona  is an American film, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Willem_Dafoe,"""FILM; Willem Dafoe, Looking for Characters With ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jim_Dale,"Jim Dale,  is an English actor, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Karl_Dane,Karl Dane  was a Danish-American comedian ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ted_Danson,"""Ted Danson and Zach Galifianakis: Broadway Rock ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Bobby_Darin,"Bobby Darin at Find a Grave
""Beyond the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sammy_Davis_Jr.,"(1965)
The Sammy Davis Jr. Show – Host
Alice In ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sid_Davis,"""In 1964 his company Sid Davis Productions ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sid_Davis,"""Sid Davis, 90; producer of cautionary films ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sid_Davis,"""Sid Davis, producer of 1950s school films, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Sid_Davis,"Sid Davis on IMDb
Sid Davis at the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Lee_de_Broux,Lee de Broux  is an American character ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Nick_Cannon,"Nick Cannon's show replaced J. Cruz's ""The ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Paul_Carafotes,"Paul Carafotes (born March 23, 1959 in ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Antony_Carbone,"Antony Carbone (born in Calabria, Italy July ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
