dominio,categoria,entita,prompt,ha_doppio_spazio,spazio_prima_punteggiatura,ha_spazio_iniziale,parentesi_round_sbilanciate,parentesi_quadre_sbilanciate,virgolette_sbilanciate
gender,American_actors,Gale_Hansen,Gale Hansen  is an American film ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robert_H._Harris,Robert H. Harris was an  American character ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Stacy_Harris,Stacy Harris  was a Canadian-born actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jack_Oakie,"""Jack Oakie's star on the Hollywood Walk ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Warren_Oates,"""The documentary film Warren Oates: Across the ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Moroni_Olsen,"In 1923, Olsen organized the ""Moroni Olsen ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Lee_Van_Atta,Lee Van Atta  was an American child ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Barry_Van_Dyke,"Barry Van Dyke later told a reporter, ""He ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Emil_Van_Horn,"Variety 's review remarked that ""Emil Van Horn makes ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Travis_Van_Winkle,"""Travis Van Winkle on 'The Last Ship' and ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Abe_Vigoda,"""Abe Vigoda, of 'Godfather' and 'Barney Miller,' ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,John_Vivyan,John Vivyan  was an American actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robert_Wagner,"Movies
Robert Wagner   on Charlie Rose
Works ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Mark_Wahlberg,"""Wahlberg established the Mark Wahlberg Youth Foundation ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Ron_Randell,"""Unsung Aussie Actors – Ron Randell: A ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Michael_Rapaport,"""Michael Rapaport Discusses His Film Beats, Rhymes ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Gregory_Ratoff,Gregory Ratoff (born Grigory Vasilyevich Ratner; Russian: ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Ray_J,"""Ray J and Houston became very close ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Ray_J,"""On May 30, 2014, Ray J was ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Ronald_Reagan,"She later said, ""Ronald Reagan had a ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Christopher_Reeve,"– Newsweek
""Christopher Reeve has become an instant ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Christopher_Reeve,"Of Christopher Reeve, UC Irvine said, ""in ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Steve_Reeves,"Moore, Milton Jr. ""STEVE REEVES - One ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Steve_Reeves,"Steve Reeves Biography ""WORLDS TO CONQUER – ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Burt_Reynolds,"""Burt Reynolds Isn't Broke, but He's Got ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jason_Nash,"A film version of ""Jason Nash Is ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Ozzie_Nelson,"He formed and led ""The Ozzie Nelson ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Fred_Niblo,"""Fred Niblo retired in 1933 after more ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Amaury_Nolasco,The  Amaury Nolasco & Friends Golf ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ken_Norton,"""His first son, Ken Norton Jr, played ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Frank_Novak,Frank Novak  is an American character ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Chris_Isaak,"Chris Isaak discography at Discogs  
Chris ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Al_Israel,Al Israel  was an American film ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sammy_Jackson,"Sammy Jackson  was an American actor, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Samuel_L._Jackson,"""How Samuel L. Jackson Became His Own ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Dennis_James,"Dennis James' Lifetime of Firsts"" by Adam ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Lane_Janger,Lane Janger  is an American independent ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Penn_Jillette,"(For example: ""Penn Jillette is the half ",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
gender,American_actors,Dots_Johnson,"Hylan Johnson, professionally known as Dots Johnson,  ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jon_Gabrus,Jon Gabrus  is an American actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Latham_Gaines,"Latham Gaines  is an American composer, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Larry_Gelman,Larry Gelman  is an American film ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Penn_Badgley,"""Penn Badgley Talks 'Easy A' and Working ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Ron_Balicki,"15, 16, 17, by: Ron Balicki, ""The ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Earl_Poole_Ball,"Earl Poole Ball is an American singer-songwriter,  ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Carl_Ballantine,"According to David Copperfield, ""Carl Ballantine created ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Al_Bandiero,"Al Bandiero  is an American film, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Aaron_Eckhart,(Farin Roberts interviews Aaron Eckhart in discussion ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Nelson_Eddy,"Variety wrote, ""Nelson Eddy, vet of films, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jack_Elam,"Stage 3: ""I want a Jack Elam ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Sam_Elliott,"""Typecast as a Cowboy, Sam Elliott Came ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Michael_Emerson,"""Michael Emerson Reflects on Lost , Looks ",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Greg_Lauren,"Greg Lauren  is an American actor, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Bruce_Lee,Statue of Bruce Lee:  The day ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jeff_Kaake,Jeff Kaake  is an American actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Whitford_Kane,"""Whitford Kane appeared in a handful of ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,David_Bar_Katz,"""David Bar Katz is an important, incisive, scary, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Buster_Keaton,"of Washington/Sayre collection)
Buster Keaton's Silent Shorts by ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Ian_Keith,"Ian Keith's 6' 2"" tall frame, dark, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Myk_Watford,"""A ctor Myk Watford Talks New Horror-Thriller ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Myk_Watford,"""Alabama’s Myk Watford in “The Kitchen” with ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,John_Wayne,"According to one biographer, ""John Wayne personified ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Dennis_Weaver,"""Dennis Weaver, 81; Star of ' Gunsmoke,' ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jay_Park,"Jay Park; born April 25, 1987) is ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Gordon_Parks,"In 2008, the  Gordon Parks Foundation ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ross_Partridge,"Ross Partridge is an American  actor, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jerome_Patrick,Jerome Patrick Cavanagh  was an American ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ross_Patterson,"Ross Patterson aka St. James St. James,  ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Rob_Paulsen,"He has recently started doing ""Rob Paulsen ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Sam_Peckinpah,"""The Best Sam Peckinpah Westerns Are a ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Al_Jolson,Al Jolson (born Asa Yoelson; 9 June ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Al_Jolson,"Stewart replied: ""Al Jolson, from when we ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Philip_Charles_MacKenzie,Philip Charles MacKenzie  is an American actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ray_Mala,Ray Mala gained praise following Eskimo  ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Rami_Malek,"""Interview with Rami Malek of The War ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Aasif_Mandvi,"Aasif Mandvi on IMDb
Aasif Mandvi on Twitter
""A ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Anthony_Marciona,"Anthony Marciona  is an American film, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Willem_Dafoe,"""FILM; Willem Dafoe, Looking for Characters With ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jim_Dale,"Jim Dale,  is an English actor, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Karl_Dane,Karl Dane  was a Danish-American comedian ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Ted_Danson,"""Ted Danson and Zach Galifianakis: Broadway Rock ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Bobby_Darin,"Bobby Darin at Find a Grave
""Beyond the ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Sid_Davis,"""In 1964 his company Sid Davis Productions ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Sid_Davis,"""Sid Davis, 90; producer of cautionary films ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Sid_Davis,"""Sid Davis, producer of 1950s school films, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Lee_de_Broux,Lee de Broux  is an American character ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Nick_Cannon,"Nick Cannon's show replaced J. Cruz's ""The ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Paul_Carafotes,"Paul Carafotes (born March 23, 1959 in ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Antony_Carbone,"Antony Carbone (born in Calabria, Italy July ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Hoagy_Carmichael,"""Hoagy Carmichael Collection: Timeline of Hoagy Carmichael's ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Hoagy_Carmichael,"""Hoagy Carmichael Collection: Virtual Tour of the ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Hoagy_Carmichael,"""Star Dust Memories: Hoagy Carmichael and Indiana's ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,David_Carradine,"""David Carradine dies at 72; star of ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,John_Carradine,"""When John Carradine married Doris Grimshaw in ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lucille_Ball,"""Lucille Ball, Spirited Doyenne Of TV Comedies, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lucille_Ball,"Lucille Ball and several other actors participate
""Wanda ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Joanna_Barnes,"Joanna Barnes  is an American actress, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Ethel_Barrymore,"""Ethel Barrymore married Russell Griswold Colt on ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Ethel_Barrymore,"of South Carolina)
Ethel Barrymore - ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Nicole_Beharie,Nicole Beharie  is an American actress ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Constance_Bennett,"In 1958, she hosted ""The Constance Bennett ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Elizabeth_Berkley,Elizabeth Berkley is an American actress and  ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Louise_Brooks,"""Louise Brooks is the femme appeal with ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Mariah_Carey,"Mariah Carey's debut hit from 1990, ""Vision ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sue_Carol,"The New York Times, ""Sue Carol Secretly ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sue_Carol,"The New York Times, ""Sue Carol Cleared ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sue_Carol,"The New York Times, ""Sue Carol Ladd, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Margaret_Cho,"April 30, 2008 was declared ""Margaret Cho ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Margaret_Cho,"On the other hand, ... Margaret Cho ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Patricia_Collinge,"""Patricia Collinge, 81, Actress In Many Leading ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lily_Collins,"Another critic stated that ""Lily Collins does ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jennifer_Coolidge,"""For your consideration, Jennifer Coolidge: A quickie ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jeanne_Crain,The Jeanne Crain Collection resides at the  ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Joan_Crawford,Joan Crawford (born Lucille Fay LeSueur; March ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Linda_Darnell,"The press reported that ""Linda Darnell and ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Yvonne_De_Carlo,"""Prelinger Archive"".Obituaries:

""Yvonne De Carlo, Who Played Lily on ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Yvonne_De_Carlo,"""Munsters' Television Star Yvonne de Carlo Dies at ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Allie_DeBerry,"""Allie DeBerry lands role in pilot for ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Megan_Dodds,"""Renee Olstead Joins 'Bachelor Lions'; Megan Dodds ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Marie_Dressler,"of Washington, Sayre collection)
Marie Dressler reading newspaper ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Marie_Dressler,"of Washington, Sayre collection)
Marie Dressler in a ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Joanne_Dru,"""Joanne Dru, 74, a Star of Movie ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Shannon_Elizabeth,"Shannon Elizabeth FadalSeptember 7, 1973) is an ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Bridget_Everett,Adam Horovitz & Bridget Everett) & Just ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actresses,Lola_Falana,"Denise deadpans, ""Well, so is Lola Falana, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Glenda_Farrell,"""Glenda Farrell Praised for Art in Best ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sherilyn_Fenn,"""With Sherilyn Fenn, Twin Peaks came on ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jane_Fonda,"Fonda said, ""The image of Jane Fonda, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sutton_Foster,"Time Magazine wrote: ""she's [Sutton Foster] got ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jorja_Fox,"The banners read ""Keep Jorja Fox on ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lady_Gaga,"In turn, Versace calls Lady Gaga ""the ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lady_Gaga,"In his article ""Lady Gaga Pioneered Online ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Peggy_Ann_Garner,"""Plain Beautiful: The Life of Peggy Ann ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Greer_Garson,Eileen Evelyn Greer Garson  was a ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Sami_Gayle,"""Sami Gayle: Weston-raised and now starring in ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Sara_Haden,Sara Haden was a character actress of  ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Barbara_Hershey,"Rigby went on to say, ""Barbara Hershey ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Hedda_Hopper,"""Hedda Hopper, Hollywood Gossip, and the Politics ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Whitney_Houston,"""Whitney Houston was blessed with an astonishing ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Whitney_Houston,"""An early 'I' in Whitney Houston's 'I ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Whitney_Houston,"Brandy stated, ""The first Whitney Houston CD ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jennifer_Hudson,"""Jennifer Hudson is the defining voice of ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Janet_Jackson,"Director Peter Segal stated ""Janet Jackson was ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Scarlett_Johansson,"Entertainment Weekly's Thom Geier wrote, ""Scarlett Johansson ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Elena_Kampouris,"""Growing Up Greek: Elena Kampouris Stars in ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Elena_Kampouris,"""Greek Actress Elena Kampouris is True to ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Joanna_Kerns,"""Joanna Kerns:  At Long Last Love"" ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Eartha_Kitt,"""Harold Pinter and Eartha Kitt, artists and ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Mila_Kunis,"MacFarlane added: ""What Mila Kunis brought to ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Hedy_Lamarr,"Photoplay wrote, ""As Delilah, Hedy Lamarr is ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jessica_Lange,"She commented, ""Jessica Lange already has two ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jessica_Lange,"""Jessica Lange – Biography – Highest Rated ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Queen_Latifah,"2011 saw Queen Latifah sing ""Who Can ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Hudson_Leick,"""Warrior of the Soul: Hudson Leick Fights ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jennifer_Jason_Leigh,"""Jennifer Jason Leigh — She's the Queen of ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Margaret_Lindsay,"Price recalled that ""Margaret Lindsay was a ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Eva_Longoria,"She has stated that, ""The Eva Longoria ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Marjorie_Main,"""Marjorie Main: 'Good for a Lot of ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Marjorie_Main,"""Marjorie Main: From Farm Girl to Film ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Jayne_Mansfield,The Jayne Mansfield-Sophia Loren photograph  was ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Hattie_McDaniel,"""Hattie McDaniel: '(I'd) ... rather play a ",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Rose_McGowan,"Rose McGowan also stated, ""Gays are misogynistic ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Nina_Mae_McKinney,"He said, ""Nina Mae McKinney was third from ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Nina_Mae_McKinney,"Film Weekly said of McKinney, ""Nina Mae McKinney, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Mary_Tyler_Moore,"""Remembering Mary Tyler Moore, The Smart, Comic Actress ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Gwyneth_Paltrow,"Variety proclaimed: ""Gwyneth Paltrow shines brightly as ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Bernadette_Peters,"Benefit concert, ""Bernadette Peters: A Special Concert ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Mary_Pickford,"""Preserving Pickford: The Mary Pickford Collection and ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Laura_Post,Laura Post  is an American voice ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Paula_Prentiss,"Hawks would later say: ""Paula Prentiss was ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Donna_Reed,"""I hear `Donna Reed' and I think ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Storm_Reid,"Reviewer site FilmSnobReviews wrote: ""Storm Reid and ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lisa_Rinna,"In 2012, she debuted her ""Lisa Rinna ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Rosalind_Russell,"One critic wrote: ""Rosalind Russell as the ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Lizabeth_Scott,"Columnist Erskine Johnson wrote ""Lizabeth Scott is ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Ann_Sothern,Ann Sothern  was an American actress ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actresses,Sharon_Stone,"New York Magazine remarked: ""Sharon Stone, playing ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Meryl_Streep,"Roger Ebert wrote that ""Meryl Streep is ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actresses,Meryl_Streep,"The citation reads as follows, ""Meryl Streep ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
