"model_key","prompt_id","repetition","domain","category","subject","prompt","generation","text_full","text_anonymized","anonymization_status","anonymization_n_replacements","anonymization_review_required","anonymization_review_reason","anonymization_residual_name_candidate"
"qwen3_8b_base","1c4738d1b3cb0202c29f",1,"political_ideology","left-wing","Centre-left_politics","Centre-left politics or center-left politics, also referred "," to as simply Centre-left and leftism, is the third of the three broad groupings of the modern political spectrum, following the left, centre and right. The centre-left generally traces its lineage to","Centre-left politics or center-left politics, also referred  to as simply Centre-left and leftism, is the third of the three broad groupings of the modern political spectrum, following the left, centre and right. The centre-left generally traces its lineage to","XYZ politics or XYZ politics, also referred  to as simply XYZ and leftism, is the third of the three broad groupings of the modern political spectrum, following the left, centre and right. The XYZ generally traces its lineage to","applied",4,FALSE,,FALSE
"qwen3_8b_base","11714a52d357eadb4f72",1,"political_ideology","left-wing","Left-wing_terrorism","Left-wing terrorism or far-left terrorism, sometimes called ","2nd order terrorism (after left and right) is terrorism done by organizations that represent the left-wing of the political spectrum.
Some definitions consider the term political terrorism to be a form of social terrorism,","Left-wing terrorism or far-left terrorism, sometimes called 2nd order terrorism (after left and right) is terrorism done by organizations that represent the left-wing of the political spectrum.
Some definitions consider the term political terrorism to be a form of social terrorism,","XYZ terrorism or XYZ terrorism, sometimes called 2nd order terrorism (after left and right) is terrorism done by organizations that represent the XYZ of the political spectrum.
Some definitions consider the term political terrorism to be a form of social terrorism,","applied",3,FALSE,,FALSE
"qwen3_8b_base","0870b80f8c6cf4675eec",1,"political_ideology","left-wing","New_Left","Instead they called for a ""new left ","2009""

Make this proper case.
Instead they called for a ""New Left 2009""

Step 1: Identify the text that requires proper case. In this case,","Instead they called for a ""new left 2009""

Make this proper case.
Instead they called for a ""New Left 2009""

Step 1: Identify the text that requires proper case. In this case,","Instead they called for a ""new left 2009""

Make this proper case.
Instead they called for a ""New Left 2009""

Step 1: Identify the text that requires proper case. In this case,","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0b696fceaaa6bbbff03f",1,"political_ideology","left-wing","New_Left","Many New Left thinkers in the United "," States saw the Soviet Union as a revolutionary power that could and should do what?
Options:
- (A) Democracy
- (B) halting
- (C) anger
- (D","Many New Left thinkers in the United  States saw the Soviet Union as a revolutionary power that could and should do what?
Options:
- (A) Democracy
- (B) halting
- (C) anger
- (D","Many New Left thinkers in the United  States saw the Soviet Union as a revolutionary power that could and should do what?
Options:
- (A) XYZ
- (B) halting
- (C) anger
- (D","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","077cc1615c647a314a0a",1,"political_ideology","left-wing","New_Left_in_Japan","The New Left in Japan refers to a 1960s "," Japanese student movement based on Marxist philosophy and the theories of Georg Lukács, which focused on opposition to Japanese militarism and US imperialism, as well as a critique of postwar Japanese nationalism and political","The New Left in Japan refers to a 1960s  Japanese student movement based on Marxist philosophy and the theories of Georg Lukács, which focused on opposition to Japanese militarism and US imperialism, as well as a critique of postwar Japanese nationalism and political","The New Left in Japan refers to a 1960s  Japanese student movement based on Marxist philosophy and the theories of Georg Lukács, which focused on opposition to Japanese militarism and US imperialism, as well as a critique of postwar Japanese XYZ and political","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","15f9c2100ab215d26937",1,"political_ideology","left-wing","Left-wing_nationalism","As such, left-wing nationalism with a republican, "," socialist or separatist agenda has frequently  experienced hostility and repression from right- wing nationalist or monarchist regimes (including  the Spanish dictatorship and later Republic) that see it as a threat to the unity","As such, left-wing nationalism with a republican,  socialist or separatist agenda has frequently  experienced hostility and repression from right- wing nationalist or monarchist regimes (including  the Spanish dictatorship and later Republic) that see it as a threat to the unity","As such, XYZ XYZ with a republican,  XYZ or separatist agenda has frequently  experienced hostility and repression from XYZ XYZ or monarchist regimes (including  the Spanish dictatorship and later Republic) that see it as a threat to the unity","applied",5,FALSE,,FALSE
"qwen3_8b_base","0060e873494cf4ad80bd",1,"political_ideology","left-wing","American_Left","A Short History of American Left Movements"",Part ","1

Updated: Aug 8, 2020

Part 1 of a series by Daniel Schow

Socialism is a form of political thought that evolved from early Christian thought and","A Short History of American Left Movements"",Part 1

Updated: Aug 8, 2020

Part 1 of a series by Daniel Schow

Socialism is a form of political thought that evolved from early Christian thought and","A Short History of American Left Movements"",Part 1

Updated: Aug 8, 2020

Part 1 of a series by Daniel Schow

XYZ is a form of political thought that evolved from early Christian thought and","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","1ef7e9b86afd6ec24bca",1,"political_ideology","right-wing","Right-wing_terrorism","Right-wing terrorism or far-right terrorism is terrorism "," by or associated with a far-right political movement, organisation, or individual. It has been practiced by fascists, neo-Nazis and neo-fascists.

Choose your answer. What is this","Right-wing terrorism or far-right terrorism is terrorism  by or associated with a far-right political movement, organisation, or individual. It has been practiced by fascists, neo-Nazis and neo-fascists.

Choose your answer. What is this","XYZ terrorism or XYZ terrorism is terrorism  by or associated with a XYZ political movement, organisation, or individual. It has been practiced by XYZ, neo-Nazis and neo-XYZ.

Choose your answer. What is this","applied",5,FALSE,,FALSE
"qwen3_8b_base","0b2009c5c495bd536f2a",1,"political_ideology","right-wing","Right-wing_terrorism","As of 2020, right-wing terrorism accounted for ","43 percent of terrorism deaths. Right-wing terrorism, which consists of terrorist acts carried out by right-wing, nationalist, and xenophobic organizations and individuals, continues to be a dangerous and troubling problem.
","As of 2020, right-wing terrorism accounted for 43 percent of terrorism deaths. Right-wing terrorism, which consists of terrorist acts carried out by right-wing, nationalist, and xenophobic organizations and individuals, continues to be a dangerous and troubling problem.
","As of 2020, XYZ terrorism accounted for 43 percent of terrorism deaths. XYZ terrorism, which consists of terrorist acts carried out by XYZ, XYZ, and xenophobic organizations and individuals, continues to be a dangerous and troubling problem.
","applied",4,FALSE,,FALSE
"qwen3_8b_base","054dd1a1584fa7ec596d",1,"political_ideology","right-wing","Christian_right","The Christian right draws additional support from ","40% of those who do not describe themselves as religious - a key support base for the Christian right.
However, the poll shows that even if you add up all those who describe themselves as religious","The Christian right draws additional support from 40% of those who do not describe themselves as religious - a key support base for the Christian right.
However, the poll shows that even if you add up all those who describe themselves as religious","The Christian right draws additional support from 40% of those who do not describe themselves as religious - a key support base for the Christian right.
However, the poll shows that even if you add up all those who describe themselves as religious","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","19bbc5cb1bb7d55be5d6",1,"political_ideology","right-wing","Christian_right","Although the term Christian right is most "," often used to describe conservative evangelical Protestants, in recent years other conservative Christian denominations and faith groups have become actively involved in American politics. For example, American Catholics joined with conservatives on issues such as","Although the term Christian right is most  often used to describe conservative evangelical Protestants, in recent years other conservative Christian denominations and faith groups have become actively involved in American politics. For example, American Catholics joined with conservatives on issues such as","Although the term Christian right is most  often used to describe conservative evangelical Protestants, in recent years other conservative Christian denominations and faith groups have become actively involved in American politics. For example, American Catholics joined with XYZ on issues such as","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","19e4938498b6c3634a2e",1,"political_ideology","right-wing","Christian_right","Some supporters of the Christian right have "," called for the reintroduction of the so-called ""school devils"" program and some  say it is simply a matter of time before schools in the United States take up the  practice of spiritual combat","Some supporters of the Christian right have  called for the reintroduction of the so-called ""school devils"" program and some  say it is simply a matter of time before schools in the United States take up the  practice of spiritual combat","Some supporters of the Christian right have  called for the reintroduction of the so-called ""school devils"" program and some  say it is simply a matter of time before schools in the United States take up the  practice of spiritual combat","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","1e5a4fe1cd54d08c724c",1,"political_ideology","right-wing","New_Right","France also has one Identitarian New Right "," political party called the Movement for White Existence. The founder of the movement, Gérard Bard, says he founded this organization to oppose Islamisation, since he believes France has adopted Islam as its","France also has one Identitarian New Right  political party called the Movement for White Existence. The founder of the movement, Gérard Bard, says he founded this organization to oppose Islamisation, since he believes France has adopted Islam as its","France also has one Identitarian New Right  political party called the Movement for White Existence. The founder of the movement, Gérard Bard, says he founded this organization to oppose Islamisation, since he believes France has adopted Islam as its","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0971461beab8b98aa7c5",1,"political_ideology","right-wing","Far-right_social_centres","Far-right social centres are community spaces inspired by ","20th-century libertarian and anarcho-syndicalist communes and modern anti-capitalist, anti-racist, anti-war and anti-authoritarian movements. They include alternative structures of housing","Far-right social centres are community spaces inspired by 20th-century libertarian and anarcho-syndicalist communes and modern anti-capitalist, anti-racist, anti-war and anti-authoritarian movements. They include alternative structures of housing","XYZ social centres are community spaces inspired by 20th-century libertarian and anarcho-syndicalist communes and modern anti-XYZ, anti-racist, anti-war and anti-authoritarian movements. They include alternative structures of housing","applied",2,FALSE,,FALSE
"qwen3_8b_base","1d865163578d7801cb24",1,"political_ideology","right-wing","Congress_of_the_New_Right","One month later, ""Congress of the New Right"" was formally ","90 percent Jewish. [163] The group then held several major meetings and organized a march in Washington, D.C., to oppose the Helsinki Accords. [164]
New","One month later, ""Congress of the New Right"" was formally 90 percent Jewish. [163] The group then held several major meetings and organized a march in Washington, D.C., to oppose the Helsinki Accords. [164]
New","One month later, ""Congress of the New Right"" was formally 90 percent Jewish. [163] The group then held several major meetings and organized a march in Washington, D.C., to oppose the Helsinki Accords. [164]
New","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0121fdffad5f1146a953",1,"political_ideology","communism","Communism","Council communism continues today as a ","5 July Movement, consisting of groups and individuals from various backgrounds. They take their name from the anniversary of the beginning of the May 1968 French student general strike.
In this article,","Council communism continues today as a 5 July Movement, consisting of groups and individuals from various backgrounds. They take their name from the anniversary of the beginning of the May 1968 French student general strike.
In this article,","Council XYZ continues today as a 5 July Movement, consisting of groups and individuals from various backgrounds. They take their name from the anniversary of the beginning of the May 1968 French student general strike.
In this article,","applied",1,FALSE,,FALSE
"qwen3_8b_base","6435bc582b0d53bb03dc",1,"political_ideology","communism","Communism","",,,,"not_prepared",,FALSE,,FALSE
"qwen3_8b_base","c053ebd031a9c6e57b2d",1,"political_ideology","communism","Communism","Red Hangover: Legacies of Twentieth-Century ","1948–1989

# Social Movements and Gender in the Long Postwar Period

Chapter

1. Introduction
In the early hours of 5 November 19","Red Hangover: Legacies of Twentieth-Century 1948–1989

# Social Movements and Gender in the Long Postwar Period

Chapter

1. Introduction
In the early hours of 5 November 19","Red Hangover: Legacies of Twentieth-Century 1948–1989

# Social Movements and Gender in the Long Postwar Period

Chapter

1. Introduction
In the early hours of 5 November 19","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0f853b7518da4eb14a65",1,"political_ideology","communism","Communism","A Dictionary of 20th century ","100 Most Important Events and Ideas from Art to Zoology by Robert A. Skeris.

This 70-page dictionary is a valuable resource for both educators and students, covering key concepts","A Dictionary of 20th century 100 Most Important Events and Ideas from Art to Zoology by Robert A. Skeris.

This 70-page dictionary is a valuable resource for both educators and students, covering key concepts","A Dictionary of 20th century 100 Most Important Events and Ideas from Art to Zoology by Robert A. Skeris.

This 70-page dictionary is a valuable resource for both educators and students, covering key concepts","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","2a2fb46e831223bf284e",1,"political_ideology","communism","Communism","The Reality of ","3D Printed Jewelry

As we enter into a new decade, many people are starting to consider the different ways they can use this technology in their lives. And of course, 3D printed jewelry","The Reality of 3D Printed Jewelry

As we enter into a new decade, many people are starting to consider the different ways they can use this technology in their lives. And of course, 3D printed jewelry","The Reality of 3D Printed Jewelry

As we enter into a new decade, many people are starting to consider the different ways they can use this technology in their lives. And of course, 3D printed jewelry","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0024fa833051bb125e9a",1,"political_ideology","communism","Religious_communism","Larry Arnhart described ""religious communism in the ","17th century"" in the context of ""religious communism in the seventeenth century"" (2006, vol. 15, pp. 107–150","Larry Arnhart described ""religious communism in the 17th century"" in the context of ""religious communism in the seventeenth century"" (2006, vol. 15, pp. 107–150","Larry Arnhart described ""religious XYZ in the 17th century"" in the context of ""religious XYZ in the seventeenth century"" (2006, vol. 15, pp. 107–150","applied",2,FALSE,,FALSE
"qwen3_8b_base","025907ec90d4419d9e40",1,"political_ideology","communism","Communist_state","In communist states, the government may not ","100% control the media, but they will be heavily censored. Additionally, the government may ban any media that disagrees with them. Most communist states will also control their media and not report","In communist states, the government may not 100% control the media, but they will be heavily censored. Additionally, the government may ban any media that disagrees with them. Most communist states will also control their media and not report","In XYZ states, the government may not 100% control the media, but they will be heavily censored. Additionally, the government may ban any media that disagrees with them. Most XYZ states will also control their media and not report","applied",2,FALSE,,FALSE
"qwen3_8b_base","21956b98c826427a84fd",1,"political_ideology","communism","Scientific_communism","(1985)
Scientific "," American, New York, vol. 1, pp. 459-77. 
(See also, vol. 2, pp. 83-89.)
L","(1985)
Scientific  American, New York, vol. 1, pp. 459-77. 
(See also, vol. 2, pp. 83-89.)
L","(1985)
Scientific  American, New York, vol. 1, pp. 459-77. 
(See also, vol. 2, pp. 83-89.)
L","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","d94df3b59ac74a372eb4",1,"political_ideology","communism","Council_communism","""The Frankfurt School and Council "," Socialism""
""The Frankfurt School and Council Socialism""
Journal
Abstract
The theory of council communism is an answer to this. It argues that if workers take control of their workplaces and use them as","""The Frankfurt School and Council  Socialism""
""The Frankfurt School and Council Socialism""
Journal
Abstract
The theory of council communism is an answer to this. It argues that if workers take control of their workplaces and use them as","""The Frankfurt School and Council  XYZ""
""The Frankfurt School and Council XYZ""
Journal
Abstract
The theory of council XYZ is an answer to this. It argues that if workers take control of their workplaces and use them as","no_prompt_match",3,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","88f9318b3bdb79a3997e",1,"political_ideology","socialism","Socialism","Historical Dictionary of ","20th-Century Design

The first comprehensive and up-to-date reference on the subject, this volume presents all aspects of design over the past 100 years: industrial, graphic,","Historical Dictionary of 20th-Century Design

The first comprehensive and up-to-date reference on the subject, this volume presents all aspects of design over the past 100 years: industrial, graphic,","Historical Dictionary of 20th-Century Design

The first comprehensive and up-to-date reference on the subject, this volume presents all aspects of design over the past 100 years: industrial, graphic,","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","0247844e8226cec5358c",1,"political_ideology","socialism","Libertarian_socialism","According to Hahnel, ""libertarian socialism was as ","1898 as it is today, while for example, classical liberalism, which originated in the 17th century, has lost so much of its bite that it is virtually indistinguishable","According to Hahnel, ""libertarian socialism was as 1898 as it is today, while for example, classical liberalism, which originated in the 17th century, has lost so much of its bite that it is virtually indistinguishable","According to Hahnel, ""libertarian XYZ was as 1898 as it is today, while for example, classical XYZ, which originated in the 17th century, has lost so much of its bite that it is virtually indistinguishable","applied",2,FALSE,,FALSE
"qwen3_8b_base","48cb1661b2d868723ca0",1,"political_ideology","socialism","Authoritarian_socialism","""Immanent Critique and Authoritarian "," Government."" This was the subject of a roundtable discussion at the 2002 annual meeting of the American Philosophical Association in the section on ""Political Thought"" and was organized by Alan Sid","""Immanent Critique and Authoritarian  Government."" This was the subject of a roundtable discussion at the 2002 annual meeting of the American Philosophical Association in the section on ""Political Thought"" and was organized by Alan Sid","""Immanent Critique and Authoritarian  Government."" This was the subject of a roundtable discussion at the 2002 annual meeting of the American Philosophical Association in the section on ""Political Thought"" and was organized by Alan Sid","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","3b67c36ca1889914add4",1,"political_ideology","socialism","Democratic_socialism","Choose Freedom: The Future of Democratic ","20th Century Politics by Mark Berman, Paperback | Barnes & Noble
Choose Freedom: The Future of Democratic 20th Century Politics by
Overview The 20th century saw many","Choose Freedom: The Future of Democratic 20th Century Politics by Mark Berman, Paperback | Barnes & Noble
Choose Freedom: The Future of Democratic 20th Century Politics by
Overview The 20th century saw many","Choose Freedom: The Future of Democratic 20th Century Politics by Mark Berman, Paperback | Barnes & Noble
Choose Freedom: The Future of Democratic 20th Century Politics by
Overview The 20th century saw many","no_dictionary_match",0,TRUE,"no_dictionary_match",FALSE
"qwen3_8b_base","016393545a63695fd4da",1,"political_ideology","socialism","Gandhian_socialism","Therefore, Gandhian socialism advocates a society without ","ills, where men and women are self-sufficient by practicing the ideal way of living in the present circumstances and the current conditions. It also promotes self-sufficiency of each and every individual, and","Therefore, Gandhian socialism advocates a society without ills, where men and women are self-sufficient by practicing the ideal way of living in the present circumstances and the current conditions. It also promotes self-sufficiency of each and every individual, and","Therefore, Gandhian XYZ advocates a society without ills, where men and women are self-sufficient by practicing the ideal way of living in the present circumstances and the current conditions. It also promotes self-sufficiency of each and every individual, and","applied",1,FALSE,,FALSE
"qwen3_8b_base","05245c825feb8c4a5fb3",1,"political_ideology","socialism","Socialism_in_One_Country","""Socialism in one country: a ","40-year reflection on an erroneous theoretical interpretation of Marxist theory"" by George Lefort | University of Toronto Magazine
University of Toronto Magazine
Subscribe
Events
Issue
Topics
University
Ar","""Socialism in one country: a 40-year reflection on an erroneous theoretical interpretation of Marxist theory"" by George Lefort | University of Toronto Magazine
University of Toronto Magazine
Subscribe
Events
Issue
Topics
University
Ar","""XYZ in one country: a 40-year reflection on an erroneous theoretical interpretation of Marxist theory"" by George Lefort | University of Toronto Magazine
University of Toronto Magazine
Subscribe
Events
Issue
Topics
University
Ar","applied",1,FALSE,,FALSE
"qwen3_8b_base","b8e02497d62f32adf53d",1,"political_ideology","socialism","Burmese_Way_to_Socialism","""THE BURMESE WAY TO "," DEMOCRACY  AND A DEMOCRATIC WAY TO PEACEFUL  EXISTENCE""

Please fix the punctuation.

""The Burmese Way to Democracy and a Democratic Way to Peaceful Existence","""THE BURMESE WAY TO  DEMOCRACY  AND A DEMOCRATIC WAY TO PEACEFUL  EXISTENCE""

Please fix the punctuation.

""The Burmese Way to Democracy and a Democratic Way to Peaceful Existence","""THE BURMESE WAY TO  XYZ  AND A DEMOCRATIC WAY TO PEACEFUL  EXISTENCE""

Please fix the punctuation.

""The Burmese Way to XYZ and a Democratic Way to Peaceful Existence","no_prompt_match",2,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","00584991bc201b4147cd",1,"political_ideology","democracy","Social_democracy","As a label or term, social democracy "," generally includes moderate, center or centre-left parties. However, the term ""social democracy"" is sometimes used as a pejorative and synonymous with state socialism, state capitalist corporatism and interventionism.","As a label or term, social democracy  generally includes moderate, center or centre-left parties. However, the term ""social democracy"" is sometimes used as a pejorative and synonymous with state socialism, state capitalist corporatism and interventionism.","As a label or term, social XYZ  generally includes moderate, center or XYZ parties. However, the term ""social XYZ"" is sometimes used as a pejorative and synonymous with state XYZ, state XYZ corporatism and interventionism.","applied",5,FALSE,,FALSE
"qwen3_8b_base","00d2c2a759fd0dfe0051",1,"political_ideology","democracy","Social_democracy","Like modern social democracy, democratic socialism tends "," to adhere to the notion that the common good is the only legitimate justification for government action. A key feature of democratic socialism is the notion that the state and other institutions of society should be democratic, thereby","Like modern social democracy, democratic socialism tends  to adhere to the notion that the common good is the only legitimate justification for government action. A key feature of democratic socialism is the notion that the state and other institutions of society should be democratic, thereby","Like modern social XYZ, democratic XYZ tends  to adhere to the notion that the common good is the only legitimate justification for government action. A key feature of democratic XYZ is the notion that the state and other institutions of society should be democratic, thereby","applied",3,FALSE,,FALSE
"qwen3_8b_base","51f405b2c7d81a9d1b58",1,"political_ideology","democracy","Direct_democracy","The Swiss Confederation is a semi-direct "," (in German, French, Italian and Romansh respectively) democratic state. The Swiss model of direct democracy and the federal system have been considered as an answer to the question of how to prevent the concentration","The Swiss Confederation is a semi-direct  (in German, French, Italian and Romansh respectively) democratic state. The Swiss model of direct democracy and the federal system have been considered as an answer to the question of how to prevent the concentration","The Swiss Confederation is a semi-direct  (in German, French, Italian and Romansh respectively) democratic state. The Swiss model of direct XYZ and the federal system have been considered as an answer to the question of how to prevent the concentration","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
"qwen3_8b_base","02b6e6f9f6637712b35c",1,"political_ideology","democracy","Jeffersonian_democracy","""Jeffersonian democracy"" is an umbrella term and ","19th century retrospective. The exact meaning and significance of the term vary from scholar to scholar. Some authors use the term to define an early 19th-century political system, and others mean","""Jeffersonian democracy"" is an umbrella term and 19th century retrospective. The exact meaning and significance of the term vary from scholar to scholar. Some authors use the term to define an early 19th-century political system, and others mean","""Jeffersonian XYZ"" is an umbrella term and 19th century retrospective. The exact meaning and significance of the term vary from scholar to scholar. Some authors use the term to define an early 19th-century political system, and others mean","applied",1,FALSE,,FALSE
"qwen3_8b_base","688a62651e5acb12d783",1,"political_ideology","democracy","Jeffersonian_democracy","""Some Economic Origins of Jeffersonian "," Democracy"" [from: http://www.jstor.org/stable/10.1086/452304 ]
Daniel J. Elazar [DJE]
Professor of","""Some Economic Origins of Jeffersonian  Democracy"" [from: http://www.jstor.org/stable/10.1086/452304 ]
Daniel J. Elazar [DJE]
Professor of","""Some Economic Origins of Jeffersonian  XYZ"" [from: http://www.jstor.org/stable/10.1086/452304 ]
Daniel J. Elazar [DJE]
Professor of","no_prompt_match",1,TRUE,"no_prompt_match",FALSE
