"domain","matched_text","replacement","n_replacements"
"gender","Amaury Nolasco","Person",24
"gender","Amy Jo Johnson","Person",10
"gender","Amy Poehler","Person",12
"gender","Amy Schumer","Person",53
"gender","Ana Ortiz","Person",10
"gender","Andersen Gabrych","Person",10
"gender","Andras Jones","Person",13
"gender","Andrea Anders","Person",11
"gender","Andrea Leeds","Person",11
"gender","Andrew J. Lederer","Person",11
"gender","Andrew Keegan","Person",10
"gender","Andrew Lauer","Person",10
"gender","Andrew Santino","Person",10
"gender","Andrew Tarver","Person",12
"gender","Andy Karl","Person",11
"gender","Andy Kaufman","Person",54
"gender","Angel Oquendo","Person",10
"gender","Angela Lansbury","Person",19
"gender","Angelina Jolie","Person",13
"gender","Angus T. Jones","Person",11
"gender","Anika Noni Rose","Person",13
"gender","Anissa Jones","Person",12
"gender","Anita Louise","Person",13
"gender","Anita Page","Person",12
"gender","Anitra Ford","Person",11
"gender","Anjelica Huston","Person",10
"gender","Ann Dvorak","Person",10
"gender","Ann Flood","Person",10
"gender","Ann Harding","Person",11
"gender","Ann Magnuson","Person",11
"gender","Ann Morgan Guilbert","Person",10
"gender","Ann Robinson","Person",24
"gender","Ann Sothern","Person",13
"gender","AnnaLynne McCord","Person",11
"gender","Anne Baxter","Person",13
"gender","Anne Francis","Person",11
"gender","Anne Heche","Person",11
"gender","Anne Meara","Person",13
"gender","Anne Revere","Person",12
"gender","Annette Charles","Person",10
"gender","Annette Funicello","Person",30
"gender","Ansel Elgort","Person",10
"gender","Anthony Addabbo","Person",10
"gender","Anthony Anderson","Person",10
"gender","Anthony Barrile","Person",10
"gender","Anthony De La Torre","Person",11
"gender","Anthony Eisley","Person",10
"gender","Anthony George","Person",13
"gender","Anthony Mackie","Person",10
"gender","Anthony Mann","Person",13
"gender","Anthony Marciona","Person",10
"gender","Anthony Natale","Person",10
"gender","Anthony Peck","Person",10
"gender","Anthony Quinn","Person",25
"gender","Anthony Tyler Quinn","Person",11
"gender","Anthony Warde","Person",14
"gender","Antonio Macia","Person",11
"gender","Antony Alda","Person",21
"gender","Antony Carbone","Person",10
"gender","Arch Hall Jr.","Person",10
"gender","Ariana Grande","Person",11
"gender","Ariel Winter","Person",13
"gender","Aron Eisenberg","Person",15
"gender","Arthur Edmund Carewe","Person",10
"gender","Arthur Haggerty","Person",21
"gender","Arthur J. Nascarella","Person",14
"gender","Arthur Kennedy","Person",13
"gender","Arthur L. Jarrett","Person",11
"gender","Arthur Redcloud","Person",11
"gender","Arthur Thalasso","Person",10
"gender","Artie Ortego","Person",12
"gender","Arun Vaidyanathan","Person",10
"gender","Arvo Ojala","Person",10
"gender","Ashley Argota","Person",10
"gender","Ashley Hinshaw","Person",11
"gender","Ashley Judd","Person",55
"gender","Ashley Laurence","Person",11
"gender","Ashlynn Yennie","Person",10
"gender","Ato Essilfi Bracato Essandoh","Person",10
"gender","Audra McDonald","Person",42
"gender","Audrey Hepburn","Person",140
"gender","Audrey Landers","Person",10
"gender","Aunjanue Ellis","Person",12
"gender","Austin Nichols","Person",24
"gender","Austin Tindle","Person",10
"gender","Ava Gardner","Person",90
"gender","Awkwafina","Person",62
"gender","Ayad Akhtar","Person",10
"gender","B. Reeves Eason","Person",10
"gender","Bai Ling","Person",68
"gender","Balthazar Getty","Person",10
"gender","Bao Quach","Person",10
"gender","Barbara Bach","Person",11
"gender","Barbara Bain","Person",10
"gender","Barbara Barrie","Person",11
"gender","Barbara Bel Geddes","Person",13
"gender","Barbara Billingsley","Person",12
"gender","Barbara Bouchet","Person",12
"gender","Barbara Carrera","Person",10
"gender","Barbara Eden","Person",30
"gender","Barbara Hancock","Person",11
"gender","Barbara Hershey","Person",11
"gender","Barbara Kent","Person",12
"gender","Barbara Lawrence","Person",11
"gender","Barbara Rhoades","Person",10
"gender","Barbara Stanwyck","Person",15
"gender","Barbara Stock","Person",12
"gender","Barbara Tarbuck","Person",11
"gender","Barnet Kellman","Person",10
"gender","Barry Kelley","Person",10
"gender","Barry Nelson","Person",10
"gender","Barry Newman","Person",26
"gender","Barry Orton","Person",10
"gender","Barry Pearl","Person",10
"gender","Barry Van Dyke","Person",30
"gender","Beatrice Arthur","Person",88
"gender","Beau Weaver","Person",12
"gender","Bebe Daniels","Person",11
"gender","Bella Jarrett","Person",10
"gender","Ben Bard","Person",23
"gender","Ben Easter","Person",11
"gender","Ben Gazzara","Person",11
"gender","Ben Vereen","Person",13
"gender","Ben Warheit","Person",10
"gender","Benjamin Byron Davis","Person",10
"gender","Benjamin John Parrillo","Person",10
"gender","Benjamin Kanes","Person",12
"gender","Bennett Joshua Davlin","Person",38
"gender","Benny Baker","Person",11
"gender","Benny Bartlett","Person",11
"gender","Benton Jennings","Person",10
"gender","Bernadette Peters","Person",83
"gender","Bernard Fein","Person",10
"gender","Bernard Kates","Person",10
"gender","Beth Grant","Person",10
"gender","Beth Maitland","Person",13
"gender","Beth Ostrosky","Person",10
"gender","Bethany Joy Lenz","Person",11
"gender","Betsy Blair","Person",14
"gender","Betsy Palmer","Person",25
"gender","Bette Midler","Person",33
"gender","Betty Compson","Person",44
"gender","Betty Garrett","Person",37
"gender","Betty Thomas","Person",13
"gender","Betty White","Person",17
"gender","Beverly Archer","Person",13
"gender","Bill Cable","Person",12
"gender","Bill Hader","Person",10
"gender","Bill Randolph","Person",13
"gender","Billie Burke","Person",64
"gender","Billie Dove","Person",23
"gender","Billy Bob Thornton","Person",15
"gender","Billy Daniels","Person",12
"gender","Billy Engle","Person",10
"gender","Billy Gardell","Person",13
"gender","Billy Naylor","Person",13
"gender","Billy Redden","Person",11
"gender","Billy Unger","Person",21
"gender","Billy Warlock","Person",10
"gender","Blair Brown","Person",11
"gender","Blanche Baker","Person",10
"gender","Blas Elias","Person",14
"gender","Bob Elkins","Person",39
"gender","Bob Lazarus","Person",10
"gender","Bob Newhart","Person",52
"gender","Bob Nickman","Person",11
"gender","Bob Nolan","Person",12
"gender","Bob Sarlatte","Person",10
"gender","Bob Tallman","Person",10
"gender","Bob Zmuda","Person",27
"gender","Bobby Alto","Person",11
"gender","Bobby Barber","Person",10
"gender","Bobby Darin","Person",31
"gender","Bobs Watson","Person",10
"gender","Bonnie Bartlett","Person",11
"gender","Bonnie Franklin","Person",11
"gender","Bonnie Hunt","Person",43
"gender","Bonnie Somerville","Person",10
"gender","Brad Garrett","Person",14
"gender","Brad Savage","Person",10
"gender","Bradford English","Person",11
"gender","Brandon Hammond","Person",11
"gender","Brandon Maggart","Person",10
"gender","Brandon Uranowitz","Person",12
"gender","Brennan Bailey","Person",10
"gender","Brent Barrett","Person",11
"gender","Brett Davern","Person",10
"gender","Brett Halsey","Person",22
"gender","Brian Backer","Person",12
"gender","Brian Hallisay","Person",10
"gender","Brian Keith","Person",24
"gender","Brian Patrick Wade","Person",12
"gender","Brian Sacca","Person",10
"gender","Brian Webber","Person",23
"gender","Bridget Everett","Person",37
"gender","Bridget Moynahan","Person",10
"gender","Britt Leach","Person",13
"gender","Brooke Hogan","Person",13
"gender","Bruce Altman","Person",10
"gender","Bruce Baron","Person",12
"gender","Bruce Cabot","Person",11
"gender","Bruce Campbell","Person",25
"gender","Bruce Davison","Person",11
"gender","Bruce Jarchow","Person",11
"gender","Bruce Lee","Person",99
"gender","Bruce Mahler","Person",11
"gender","Bruce Marchiano","Person",11
"gender","Bruce Ornstein","Person",10
"gender","Bruce Penhall","Person",22
"gender","Bruno Campos","Person",12
"gender","Bryant Washburn","Person",40
"gender","Bryce Dallas Howard","Person",11
"gender","Buck Jones","Person",77
"gender","Budd Albright","Person",10
"gender","Buddy Ebsen","Person",14
"gender","Buddy Hackett","Person",11
"gender","Bug Hall","Person",13
"gender","Burt Reynolds","Person",19
"gender","Burt Ward","Person",34
"gender","Burt Young","Person",10
"gender","Buster Keaton","Person",140
"gender","Butch Patrick","Person",11
"gender","Byron Mann","Person",11
"gender","C. J. Sanders","Person",10
"gender","CAROL BURNETT","Person",1
"gender","CRAIG FERGUSON","Person",1
"gender","Cameron Van Hoy","Person",11
"gender","Camille Winbush","Person",11
"gender","Canada Lee","Person",13
"gender","Candace Cameron Bure","Person",11
"gender","Candice Bergen","Person",27
"gender","Cara Williams","Person",11
"gender","Carey Lowell","Person",10
"gender","Carl Ballantine","Person",23
"gender","Carl Gerard","Person",10
"gender","Carl Harbaugh","Person",12
"gender","Carl Reiner","Person",34
"gender","Carlin Glynn","Person",12
"gender","Carlos Jacott","Person",10
"gender","Carmine Caridi","Person",10
"gender","Carol Burnett","Person",129
"gender","Carol Channing","Person",36
"gender","Carol Dempster","Person",11
"gender","Carole Cook","Person",11
"gender","Carolyn Jones","Person",14
"gender","Carrie Preston","Person",12
"gender","Carrie Underwood","Person",10
"gender","Carroll Baker","Person",11
"gender","Carrot Top","Person",125
"gender","Carter MacIntyre","Person",11
"gender","Casey Ellison","Person",12
"gender","Casey Wilson","Person",13
"gender","Cassandra Lee Morris","Person",10
"gender","Cassandra Peterson","Person",11
"gender","Casson Ferguson","Person",11
"gender","Catherine Burns","Person",12
"gender","Catherine Oxenberg","Person",12
"gender","Cathy Lee Crosby","Person",12
"gender","Cathy Moriarty","Person",12
"gender","Cathy Podewell","Person",12
"gender","Chad Bannon","Person",10
"gender","Chad Ferrin","Person",12
"gender","Chad Villella","Person",10
"gender","Charles B. Fitzsimons","Person",13
"gender","Charles Emmett Mack","Person",11
"gender","Charles Esten","Person",12
"gender","Charles Farrell","Person",14
"gender","Charles Giblyn","Person",12
"gender","Charles Halton","Person",12
"gender","Charles Kemper","Person",11
"gender","Charles Lampkin","Person",12
"gender","Charles Laughton","Person",53
"gender","Charles Michael Davis","Person",11
"gender","Charles Nelson Reilly","Person",11
"gender","Charles P. Thompson","Person",10
"gender","Charles Quinlivan","Person",21
"gender","Charles Reisner","Person",13
"gender","Charles Robert Carner","Person",10
"gender","Charles Stanton Ogle","Person",12
"gender","Charles Wagenheim","Person",11
"gender","Charles Waldron","Person",13
"gender","Charles Walters","Person",43
"gender","Charlie Babcock","Person",11
"gender","Charlie Callas","Person",11
"gender","Charlie Finn","Person",11
"gender","Charlie Pecoraro","Person",10
"gender","Charlotte Rae","Person",10
"gender","Chase Wright Vanek","Person",11
"gender","Chelsea Kane","Person",23
"gender","Cherami Leigh","Person",10
"gender","Cherry Jones","Person",14
"gender","Cheryl Ladd","Person",11
"gender","Chester Gan","Person",13
"gender","Cheyenne Jackson","Person",12
"gender","China Anne McClain","Person",10
"gender","Chloe Bridges","Person",12
"gender","Chloe Webb","Person",11
"gender","Chris Elliott","Person",16
"gender","Chris Gethard","Person",27
"gender","Chris Isaak","Person",58
"gender","Chris Northrop","Person",12
"gender","Chris Zylka","Person",10
"gender","Christian Alexander","Person",10
"gender","Christian Camargo","Person",10
"gender","Christian Finnegan","Person",13
"gender","Christian Kane","Person",14
"gender","Christian Payton","Person",22
"gender","Christina Aguilera","Person",32
"gender","Christina Bennett Lind","Person",10
"gender","Christina Ricci","Person",10
"gender","Christine Ebersole","Person",12
"gender","Christopher Daniel Barnes","Person",10
"gender","Christopher Jaymes","Person",11
"gender","Christopher Lambert","Person",11
"gender","Christopher Maher","Person",10
"gender","Christopher Ragland","Person",11
"gender","Christopher Randolph","Person",13
"gender","Christopher Reeve","Person",54
"gender","Christopher Schaap","Person",10
"gender","Christy Cabanne","Person",10
"gender","Chuck Norris","Person",63
"gender","Chuck Patterson","Person",10
"gender","Chuck Wagner","Person",20
"gender","Chyler Leigh","Person",10
"gender","Clarence Barr","Person",11
"gender","Clark James Gable","Person",10
"gender","Clark Johnson","Person",11
"gender","Claude Akins","Person",14
"gender","Claude Gillingwater","Person",15
"gender","Claude Jarman Jr.","Person",10
"gender","Claude Payton","Person",10
"gender","Claude Rains","Person",53
"gender","Cliff Osmond","Person",11
"gender","Clifton Davis","Person",10
"gender","Clifton James","Person",13
"gender","Clint Walker","Person",15
"gender","Cloris Leachman","Person",11
"gender","Clyde Fillmore","Person",11
"gender","Coit Albertson","Person",10
"gender","Colm Feore","Person",25
"gender","Conan Lee","Person",12
"gender","Connie Hines","Person",11
"gender","Connie Sellecca","Person",10
"gender","Connie Stevens","Person",10
"gender","Conrad Janis","Person",12
"gender","Conrad Nagel","Person",10
"gender","Conrad Yama","Person",10
"gender","Constance Bennett","Person",26
"gender","Constance Marie","Person",10
"gender","Constance McCashin","Person",10
"gender","Corey Allen","Person",10
"gender","Corey Reynolds","Person",10
"gender","Corinne Griffith","Person",12
"gender","Cory Danziger","Person",12
"gender","Craig Ferguson","Person",13
"gender","Craig Richard Nelson","Person",10
"gender","Creighton Hale","Person",12
"gender","Cris Alexander","Person",24
"gender","Cristin Milioti","Person",12
"gender","Cutter Garcia","Person",12
"gender","Cynthia Gibb","Person",12
"gender","Cynthia Rhodes","Person",12
"gender","Cyril Gardner","Person",10
"gender","Damien Dante Wayans","Person",10
"gender","Dan Amboyer","Person",10
"gender","Dan Bakkedahl","Person",11
"gender","Dan Eberle","Person",11
"gender","Dan Ferro","Person",10
"gender","Dan Finnerty","Person",11
"gender","Dan Resin","Person",39
"gender","Dan Vadis","Person",11
"gender","Dan Yeager","Person",11
"gender","Dana Barron","Person",14
"gender","Dana Davis","Person",10
"gender","Dana Delany","Person",11
"gender","Dana Elcar","Person",11
"gender","Dana Olsen","Person",10
"gender","Daniel Baldwin","Person",14
"gender","Daniel Cartier","Person",13
"gender","Daniel Davis","Person",10
"gender","Daniel Flaherty","Person",10
"gender","Daniel Hugh Kelly","Person",10
"gender","Daniel Joseph Schafer","Person",10
"gender","Daniel Tay","Person",10
"gender","Daniel Zovatto","Person",11
"gender","Daniel von Bargen","Person",10
"gender","Daniela Melchior","Person",12
"gender","Daniela Sea","Person",10
"gender","Danny Dayton","Person",14
"gender","Danny Kamekona","Person",14
"gender","Danny Kaye","Person",119
"gender","Danny Thomas","Person",53
"gender","Darin De Paul","Person",10
"gender","Darla Hood","Person",10
"gender","Darnell Garcia","Person",11
"gender","Dave Madden","Person",13
"gender","Davey Lee","Person",23
"gender","Davi Santos","Person",11
"gender","David Aaron Baker","Person",11
"gender","David Alford","Person",11
"gender","David Banner","Person",27
"gender","David Bar Katz","Person",46
"gender","David Campagna","Person",12
"gender","David Carradine","Person",62
"gender","David Ellison","Person",12
"gender","David Farkas","Person",10
"gender","David Gautreaux","Person",10
"gender","David Glen Eisley","Person",10
"gender","David Janssen","Person",10
"gender","David Kagen","Person",10
"gender","David Lander","Person",10
"gender","David Landsberg","Person",11
"gender","David Marciano","Person",12
"gender","David Newsom","Person",12
"gender","David Norona","Person",10
"gender","David Pasquesi","Person",12
"gender","David Patrick Kelly","Person",10
"gender","David Rasche","Person",12
"gender","David Vadim","Person",10
"gender","David Wachs","Person",10
"gender","David Warshofsky","Person",10
"gender","David Wayne","Person",12
"gender","Dayton Callie","Person",10
"gender","DeForest Kelley","Person",10
"gender","DeRay Davis","Person",10
"gender","Dean Cameron","Person",10
"gender","Dean Edwards","Person",11
"gender","Dean Jagger","Person",12
"gender","Debbie Allen","Person",29
"gender","Debbie Gibson","Person",10
"gender","Debbie Reynolds","Person",29
"gender","Deborah Yates","Person",10
"gender","Debra Jo Rupp","Person",10
"gender","Debralee Scott","Person",12
"gender","Dee Jay Daniels","Person",10
"gender","Dee Lampton","Person",10
"gender","Deke Anderson","Person",10
"gender","Delmar Watson","Person",10
"gender","Demetrius Calip","Person",10
"gender","Demi Lovato","Person",11
"gender","Denise Richards","Person",14
"gender","Dennis Banks","Person",46
"gender","Dennis Farina","Person",11
"gender","Dennis James","Person",33
"gender","Dennis Latos","Person",11
"gender","Dennis Patrick","Person",21
"gender","Dennis Weaver","Person",70
"gender","Derek Lee Nixon","Person",10
"gender","Diahann Carroll","Person",44
"gender","Diahnne Abbott","Person",12
"gender","Dian Bachar","Person",11
"gender","Diana Ross","Person",88
"gender","Diane Franklin","Person",11
"gender","Diane Keaton","Person",36
"gender","Diane Lane","Person",14
"gender","Diane McBain","Person",11
"gender","Dick Gilbert","Person",12
"gender","Dick La Reno","Person",12
"gender","Dick Sargent","Person",10
"gender","Dick Van Dyke","Person",73
"gender","Dick Warlock","Person",11
"gender","Diedrich Bader","Person",10
"gender","Dinah Shore","Person",83
"gender","Dixie Carter","Person",27
"gender","Dohn Norwood","Person",12
"gender","Dolores Moran","Person",11
"gender","Dominic Scott Kay","Person",10
"gender","Don Ameche","Person",25
"gender","Don Fellows","Person",11
"gender","Don Gavin","Person",14
"gender","Don Haggerty","Person",26
"gender","Don Johnson","Person",17
"gender","Don Keefer","Person",11
"gender","Don Keith Opper","Person",10
"gender","Don Oreck","Person",13
"gender","Don Scardino","Person",12
"gender","Don Terry","Person",13
"gender","Donal Gibson","Person",12
"gender","Donald Haines","Person",10
"gender","Donna Murphy","Person",10
"gender","Donna Pescow","Person",10
"gender","Donna Reed","Person",38
"gender","Donnie Dacus","Person",10
"gender","Donny Osmond","Person",49
"gender","Dorian Harewood","Person",11
"gender","Doris Belack","Person",10
"gender","Doris Day","Person",86
"gender","Doris Dowling","Person",15
"gender","Doris Roberts","Person",11
"gender","Dorothy Dandridge","Person",40
"gender","Dorothy Gish","Person",10
"gender","Dorothy Lamour","Person",11
"gender","Dorothy Lyman","Person",11
"gender","Dorothy Mackaill","Person",12
"gender","Dorothy Malone","Person",18
"gender","Dots Johnson","Person",10
"gender","Dougald Park","Person",10
"gender","Douglas Barr","Person",12
"gender","Douglas Emerson","Person",10
"gender","Douglas Fairbanks","Person",17
"gender","Douglas Fairbanks Jr.","Person",26
"gender","Douglas MacLean","Person",10
"gender","Drew Osborne","Person",10
"gender","Drew Sidora","Person",59
"gender","Drummond Erskine","Person",14
"gender","Duane Davis","Person",11
"gender","Dudley Field Malone","Person",11
"gender","Dustin Nguyen","Person",23
"gender","Dustin Ybarra","Person",10
"gender","Dyan Cannon","Person",11
"gender","Dylan Baker","Person",11
"gender","Dylan Ramsey","Person",10
"gender","Earl Poole Ball","Person",26
"gender","Eartha Kitt","Person",35
"gender","Ed Amatrudo","Person",11
"gender","Ed Ames","Person",11
"gender","Ed Gardner","Person",10
"gender","Ed Genung","Person",10
"gender","Ed Kemmer","Person",11
"gender","Ed Lauter","Person",19
"gender","Ed Waterstreet","Person",10
"gender","Eddie Albert","Person",58
"gender","Eddie Barth","Person",11
"gender","Eddie Firestone","Person",10
"gender","Eddie Garrett","Person",13
"gender","Eddie Kane","Person",12
"gender","Eddie Kaye Thomas","Person",12
"gender","Eddie Lawrence","Person",72
"gender","Eden Sher","Person",12
"gender","Edgar Barrier","Person",12
"gender","Edgar Kennedy","Person",27
"gender","Edgar Norton","Person",12
"gender","Edie Adams","Person",14
"gender","Edie McClurg","Person",12
"gender","Edward Elkas","Person",12
"gender","Edward Faulkner","Person",10
"gender","Edward Fielding","Person",12
"gender","Edward Gargan","Person",10
"gender","Edward James Olmos","Person",12
"gender","Edward Mallory","Person",10
"gender","Edward Norris","Person",10
"gender","Edward Van Sloan","Person",12
"gender","Edwin B. Tilton","Person",12
"gender","Edwin Carewe","Person",10
"gender","Edwin Neal","Person",10
"gender","Edwin San Juan","Person",11
"gender","Edwin Wallock","Person",10
"gender","Efrem Zimbalist Jr.","Person",10
"gender","Eileen Davidson","Person",10
"gender","Eileen Heckart","Person",24
"gender","Elaine Hendrix","Person",10
"gender","Elaine Stewart","Person",10
"gender","Eleanor Boardman","Person",11
"gender","Eleanor Parker","Person",46
"gender","Elena Kampouris","Person",30
"gender","Elijah Kelley","Person",10
"gender","Elisa Donovan","Person",10
"gender","Elizabeth Banks","Person",12
"gender","Elizabeth Berkley","Person",12
"gender","Elizabeth Hartman","Person",13
"gender","Elizabeth Montgomery","Person",19
"gender","Elizabeth Taylor","Person",15
"gender","Ella Jay Basco","Person",11
"gender","Ellen Greene","Person",13
"gender","Emil Van Horn","Person",41
"gender","Emil van Horn","Person",1
"gender","Emily Meade","Person",10
"gender","Emma Caulfield","Person",10
"gender","Emma Fuhrmann","Person",10
"gender","Emmett C. Hall","Person",10
"gender","Emmett Dalton","Person",35
"gender","Emmett Fitzsimmons","Person",11
"gender","Emmett Vogan","Person",10
"gender","Emory Parnell","Person",11
"gender","Enzo Zelocchi","Person",10
"gender","Eric Chase Anderson","Person",10
"gender","Eric Christian Olsen","Person",10
"gender","Eric Da Re","Person",26
"gender","Eric Edelstein","Person",11
"gender","Eric Emerson","Person",12
"gender","Eric Lange","Person",11
"gender","Eric Nelsen","Person",10
"gender","Eric Schaeffer","Person",10
"gender","Eric Taslitz","Person",10
"gender","Erica Gavin","Person",15
"gender","Erica Mendez","Person",10
"gender","Erich Anderson","Person",12
"gender","Erik Estrada","Person",13
"gender","Erik Palladino","Person",11
"gender","Erin Chambers","Person",10
"gender","Erin Gray","Person",10
"gender","Erle C. Kenton","Person",12
"gender","Ernest Van Pelt","Person",11
"gender","Ernie Reyes Jr.","Person",22
"gender","Erskine Sanford","Person",10
"gender","Erykah Badu","Person",24
"gender","Estelle Getty","Person",10
"gender","Ethan Sandler","Person",10
"gender","Ethel Barrymore","Person",66
"gender","Ethel Merman","Person",27
"gender","Ethel Waters","Person",37
"gender","Eugene Gordon Lee","Person",13
"gender","Eugene M. Davis","Person",11
"gender","Eugene Pallette","Person",11
"gender","Eugene Reynolds Blumenthal","Person",10
"gender","Eva Gabor","Person",10
"gender","Eva Longoria","Person",14
"gender","Evan Rachel Wood","Person",10
"gender","F. Murray Abraham","Person",21
"gender","Fahim Fazli","Person",10
"gender","Fairuza Balk","Person",10
"gender","Faran Tahir","Person",10
"gender","Fay Wray","Person",14
"gender","Fayard Nicholas","Person",24
"gender","Fiona Dourif","Person",10
"gender","Forrest Landis","Person",10
"gender","Fox Harris","Person",13
"gender","Frances Farmer","Person",13
"gender","Francis L. Urry","Person",10
"gender","Francis Lederer","Person",21
"gender","Frank Alesia","Person",10
"gender","Frank Aletter","Person",10
"gender","Frank Cady","Person",10
"gender","Frank Caliendo","Person",10
"gender","Frank De Vol","Person",27
"gender","Frank Faylen","Person",10
"gender","Frank Gillmore","Person",23
"gender","Frank Jenks","Person",13
"gender","Frank Jonasson","Person",11
"gender","Frank Lackteen","Person",10
"gender","Frank Lanning","Person",14
"gender","Frank MacQuarrie","Person",12
"gender","Frank Novak","Person",13
"gender","Frank Orth","Person",10
"gender","Frank Renzulli","Person",23
"gender","Frank Tang","Person",11
"gender","Frank Vincent","Person",21
"gender","Frank Zagarino","Person",10
"gender","Frankie Darro","Person",44
"gender","Frankie J. Galasso","Person",10
"gender","Franklin Pangborn","Person",16
"gender","Franklyn Ajaye","Person",11
"gender","Franklyn Farnum","Person",12
"gender","Fred Aldrich","Person",10
"gender","Fred Allen","Person",81
"gender","Fred C. Newmeyer","Person",10
"gender","Fred Esmelton","Person",10
"gender","Fred Mace","Person",10
"gender","Fred Niblo","Person",63
"gender","Fred Norbert Kelly","Person",10
"gender","Fred Norris","Person",10
"gender","Fred Parker Jr.","Person",10
"gender","Fred Santley","Person",10
"gender","Fred Thompson","Person",23
"gender","Fred Vogel","Person",10
"gender","Fredd Wayne","Person",35
"gender","Fritz Schade","Person",12
"gender","Gabriel Damon","Person",11
"gender","Gabriel Mann","Person",25
"gender","Gail Russell","Person",12
"gender","Gailard Sartain","Person",10
"gender","Gale Hansen","Person",12
"gender","Gale Harold","Person",11
"gender","Gary Jasgur","Person",11
"gender","Gary Vinson","Person",12
"gender","Gavin MacLeod","Person",12
"gender","Gayle Hunnicutt","Person",10
"gender","Gene Anthony Ray","Person",11
"gender","Gene Barry","Person",11
"gender","Gene Gabriel","Person",11
"gender","Gene Malin","Person",11
"gender","Gene Nelson","Person",10
"gender","Gene Tierney","Person",14
"gender","Geoffrey Baer","Person",10
"gender","George Alvarez","Person",12
"gender","George Bartenieff","Person",12
"gender","George Carlin","Person",23
"gender","George Eldredge","Person",13
"gender","George Ernest","Person",11
"gender","George Fawcett","Person",10
"gender","George Gaynes","Person",13
"gender","George Gebhardt","Person",10
"gender","George Hackathorne","Person",11
"gender","George Kapetan","Person",14
"gender","George Kennedy","Person",12
"gender","George Larkin","Person",10
"gender","George MacFarlane","Person",11
"gender","George MacQuarrie","Person",12
"gender","George Maharis","Person",11
"gender","George Majeroni","Person",10
"gender","George N. Neise","Person",10
"gender","George Nader","Person",12
"gender","George Ortuzar","Person",10
"gender","George Ovey","Person",11
"gender","George Raft","Person",13
"gender","George S. Irving","Person",14
"gender","George Savalas","Person",14
"gender","George T. Odom","Person",22
"gender","George Waggner","Person",13
"gender","George Walsh","Person",11
"gender","Geraint Wyn Davies","Person",10
"gender","Gerald Okamura","Person",10
"gender","Gerald Tannebaum","Person",10
"gender","Gerard Malanga","Person",17
"gender","Ghazi Albuliwi","Person",11
"gender","Gia Scala","Person",26
"gender","Gig Young","Person",13
"gender","Gilbert Emery","Person",10
"gender","Gina Gallego","Person",10
"gender","Gina Tognoni","Person",13
"gender","Gina Torres","Person",11
"gender","Ginger Rogers","Person",34
"gender","Gladys George","Person",12
"gender","Gladys Knight","Person",92
"gender","Glen Jensen","Person",10
"gender","Glenda Farrell","Person",42
