id_riga_originale,dominio,categoria,entita,tipo_newline,n_newline,posizioni_newline,newline_iniziale,newline_finale,newline_consecutivi,spazio_prima_newline,spazio_dopo_newline,ha_tab,ha_carriage_return,ha_markup,is_duplicato_esatto,is_duplicato_normalizzato,lunghezza_originale,lunghezza_candidata,candidata_diversa,prompt,prompt_visibile,prompt_candidato_whitespace
594,gender,American_actors,Reginald_VelJohnson,interno_multiplo,2,3 | 57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,65,TRUE,"TV
Reginald VelJohnson at the Internet Broadway Database
Reginald ",TV\\nReginald VelJohnson at the Internet Broadway Database\\nReginald ,TV Reginald VelJohnson at the Internet Broadway Database Reginald
628,gender,American_actors,Robert_Wagner,interno_multiplo,2,7 | 39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,42,TRUE,"Movies
Robert Wagner   on Charlie Rose
Works ",Movies\\nRobert Wagner   on Charlie Rose\\nWorks ,Movies Robert Wagner on Charlie Rose Works
696,gender,American_actors,Johnnie_Ray,interno_singolo,1,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,50,TRUE,"Johnnie Ray interviewed on the Pop Chronicles
1956 ",Johnnie Ray interviewed on the Pop Chronicles\\n1956 ,Johnnie Ray interviewed on the Pop Chronicles 1956
717,gender,American_actors,Christopher_Reeve,interno_singolo,1,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,52,51,TRUE,"– Newsweek
""Christopher Reeve has become an instant ","– Newsweek\\n""Christopher Reeve has become an instant ","– Newsweek ""Christopher Reeve has become an instant"
720,gender,American_actors,Christopher_Reeve,interno_singolo,1,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,68,TRUE,"Christopher Reeve Homepage
Reeve, Christopher Nothing is Impossible, ","Christopher Reeve Homepage\\nReeve, Christopher Nothing is Impossible, ","Christopher Reeve Homepage Reeve, Christopher Nothing is Impossible,"
740,gender,American_actors,Dan_Resin,interno_multiplo,3,11 | 30 | 45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,54,TRUE,"on YouTube
Dan Resin obituary
Review of Hail
Dan Resin ",on YouTube\\nDan Resin obituary\\nReview of Hail\\nDan Resin ,on YouTube Dan Resin obituary Review of Hail Dan Resin
811,gender,American_actors,Fayard_Nicholas,interno_singolo,1,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,47,TRUE,"Fayard Nicholas at Find a Grave
Fayard Nicholas ",Fayard Nicholas at Find a Grave\\nFayard Nicholas ,Fayard Nicholas at Find a Grave Fayard Nicholas
841,gender,American_actors,Chuck_Norris,interno_singolo,1,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,46,45,TRUE,"The Chuck Norris Fitness System
The Secret of ",The Chuck Norris Fitness System\\nThe Secret of ,The Chuck Norris Fitness System The Secret of
849,gender,American_actors,Harry_Northup,interno_multiplo,2,15 | 26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,56,TRUE,"Cahuenga Press
Bio Sketch
Video of Harry Northup reading ",Cahuenga Press\\nBio Sketch\\nVideo of Harry Northup reading ,Cahuenga Press Bio Sketch Video of Harry Northup reading
879,gender,American_actors,Mark_Indelicato,interno_multiplo,2,24 | 44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,71,TRUE,"Mark Indelicato on IMDb
From Broadway World
BroadwayWorld.com interview ",Mark Indelicato on IMDb\\nFrom Broadway World\\nBroadwayWorld.com interview ,Mark Indelicato on IMDb From Broadway World BroadwayWorld.com interview
887,gender,American_actors,Chris_Isaak,interno_singolo,1,37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,40,TRUE,"Chris Isaak discography at Discogs  
Chris ",Chris Isaak discography at Discogs  \\nChris ,Chris Isaak discography at Discogs Chris
924,gender,American_actors,Ricky_Jay,interno_singolo,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,40,TRUE,"Ricky Jay & His 52 Assistants
Ricky Jay: ",Ricky Jay & His 52 Assistants\\nRicky Jay: ,Ricky Jay & His 52 Assistants Ricky Jay:
946,gender,American_actors,Penn_Jillette,interno_singolo,1,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,48,TRUE,"(1982) by Various / Penn Jillette
Captain Howdy, ","(1982) by Various / Penn Jillette\\nCaptain Howdy, ","(1982) by Various / Penn Jillette Captain Howdy,"
1083,gender,American_actors,Ron_Balicki,interno_singolo,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,49,TRUE,"8, by: Ron Balicki, ""Insiders""
""El Budoka"", 1996, ","8, by: Ron Balicki, ""Insiders""\\n""El Budoka"", 1996, ","8, by: Ron Balicki, ""Insiders"" ""El Budoka"", 1996,"
1146,gender,American_actors,Steve_Barton,interno_singolo,1,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,77,TRUE,"http://www.ovrtur.com/biography/10128888
Steve Barton A Life Dedicated to the ",http://www.ovrtur.com/biography/10128888\\nSteve Barton A Life Dedicated to the ,http://www.ovrtur.com/biography/10128888 Steve Barton A Life Dedicated to the
1350,gender,American_actors,Sean_Kanan,interno_singolo,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,38,TRUE,"TV
Sean Kanan Talks About His Restless ",TV\\nSean Kanan Talks About His Restless ,TV Sean Kanan Talks About His Restless
1380,gender,American_actors,Kurt_Kasznar,interno_singolo,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,63,TRUE,"Kurt Kasznar on IMDb
Kurt Kasznar biography, actordatabase.com; ","Kurt Kasznar on IMDb\\nKurt Kasznar biography, actordatabase.com; ","Kurt Kasznar on IMDb Kurt Kasznar biography, actordatabase.com;"
1387,gender,American_actors,Andy_Kaufman,interno_singolo,1,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,64,TRUE,"ISBN 0-375-50457-5
Keller, Florian, Andy Kaufman: Wrestling with ","ISBN 0-375-50457-5\\nKeller, Florian, Andy Kaufman: Wrestling with ","ISBN 0-375-50457-5 Keller, Florian, Andy Kaufman: Wrestling with"
1388,gender,American_actors,Andy_Kaufman,interno_singolo,1,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,59,TRUE,"ISBN 158648317X
Margulies, Lynne; Zmuda, Bob, Andy Kaufman, ","ISBN 158648317X\\nMargulies, Lynne; Zmuda, Bob, Andy Kaufman, ","ISBN 158648317X Margulies, Lynne; Zmuda, Bob, Andy Kaufman,"
1390,gender,American_actors,Andy_Kaufman,interno_singolo,1,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,50,TRUE,"“Waking Andy Kaufman.” by Bill Jensen
Uncle Andy’s ",“Waking Andy Kaufman.” by Bill Jensen\\nUncle Andy’s ,“Waking Andy Kaufman.” by Bill Jensen Uncle Andy’s
1410,gender,American_actors,Buster_Keaton,interno_consecutivo,2,36 | 37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,58,TRUE,"Film historian Jeffrey Vance wrote:

Buster Keaton's comedy ",Film historian Jeffrey Vance wrote:\\n\\nBuster Keaton's comedy ,Film historian Jeffrey Vance wrote: Buster Keaton's comedy
1414,gender,American_actors,Buster_Keaton,interno_singolo,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,46,TRUE,"Group
Meade, Marion, Buster Keaton: Cut to the ","Group\\nMeade, Marion, Buster Keaton: Cut to the ","Group Meade, Marion, Buster Keaton: Cut to the"
1415,gender,American_actors,Buster_Keaton,interno_singolo,1,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,64,TRUE,"of Washington/Sayre collection)
Buster Keaton's Silent Shorts by ",of Washington/Sayre collection)\\nBuster Keaton's Silent Shorts by ,of Washington/Sayre collection) Buster Keaton's Silent Shorts by
1520,gender,American_actors,J._T._Walsh,interno_multiplo,3,17 | 41 | 61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,72,TRUE,"Walsh since 1998
J. T. Walsh at AllMovie
Bubblegun interview
J. T. Walsh ",Walsh since 1998\\nJ. T. Walsh at AllMovie\\nBubblegun interview\\nJ. T. Walsh ,Walsh since 1998 J. T. Walsh at AllMovie Bubblegun interview J. T. Walsh
1577,gender,American_actors,Dennis_Weaver,interno_singolo,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,51,TRUE,"(information on his ancestry)
Dennis Weaver at Find ",(information on his ancestry)\\nDennis Weaver at Find ,(information on his ancestry) Dennis Weaver at Find
1634,gender,American_actors,Gordon_Parks,interno_singolo,1,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,61,TRUE,"ISBN 978-3-86930-801-2
Russell Lord, Gordon Parks: The Making ","ISBN 978-3-86930-801-2\\nRussell Lord, Gordon Parks: The Making ","ISBN 978-3-86930-801-2 Russell Lord, Gordon Parks: The Making"
1759,gender,American_actors,Gordon_MacRae,interno_singolo,1,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,59,TRUE,"(Birch Lane Press, 1992) ISBN 978-1559721127
Gordon MacRae: ","(Birch Lane Press, 1992) ISBN 978-1559721127\\nGordon MacRae: ","(Birch Lane Press, 1992) ISBN 978-1559721127 Gordon MacRae:"
1796,gender,American_actors,Aasif_Mandvi,interno_multiplo,2,21 | 45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,47,TRUE,"Aasif Mandvi on IMDb
Aasif Mandvi on Twitter
""A ","Aasif Mandvi on IMDb\\nAasif Mandvi on Twitter\\n""A ","Aasif Mandvi on IMDb Aasif Mandvi on Twitter ""A"
1797,gender,American_actors,Aasif_Mandvi,interno_singolo,1,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,37,TRUE,"– Interview
One on One – Aasif Mandvi ",– Interview\\nOne on One – Aasif Mandvi ,– Interview One on One – Aasif Mandvi
1864,gender,American_actors,Bobby_Darin,interno_singolo,1,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,39,TRUE,"Bobby Darin at Find a Grave
""Beyond the ","Bobby Darin at Find a Grave\\n""Beyond the ","Bobby Darin at Find a Grave ""Beyond the"
1898,gender,American_actors,Sammy_Davis_Jr.,interno_multiplo,2,7 | 39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,47,TRUE,"(1965)
The Sammy Davis Jr. Show – Host
Alice In ",(1965)\\nThe Sammy Davis Jr. Show – Host\\nAlice In ,(1965) The Sammy Davis Jr. Show – Host Alice In
1903,gender,American_actors,Sid_Davis,interno_singolo,1,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,34,TRUE,"Sid Davis on IMDb
Sid Davis at the ",Sid Davis on IMDb\\nSid Davis at the ,Sid Davis on IMDb Sid Davis at the
1981,gender,American_actors,Hoagy_Carmichael,interno_singolo,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,49,TRUE,"Hoagy Carmichael at Find a Grave
Hoagy Carmichael ",Hoagy Carmichael at Find a Grave\\nHoagy Carmichael ,Hoagy Carmichael at Find a Grave Hoagy Carmichael
2038,gender,American_actors,Randy_Quaid,interno_singolo,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,48,47,TRUE,"January 2011 Vanity Fair profile
Randy Quaid at ",January 2011 Vanity Fair profile\\nRandy Quaid at ,January 2011 Vanity Fair profile Randy Quaid at
2100,gender,American_actresses,Lucille_Ball,interno_singolo,1,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,57,56,TRUE,"Lucille Ball and several other actors participate
""Wanda ","Lucille Ball and several other actors participate\\n""Wanda ","Lucille Ball and several other actors participate ""Wanda"
2113,gender,American_actresses,Ethel_Barrymore,interno_singolo,1,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,37,36,TRUE,"of South Carolina)
Ethel Barrymore - ",of South Carolina)\\nEthel Barrymore - ,of South Carolina) Ethel Barrymore -
2134,gender,American_actresses,Karen_Black,interno_singolo,1,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,41,TRUE,"Karen Black at AllMovie
Works by or about ",Karen Black at AllMovie\\nWorks by or about ,Karen Black at AllMovie Works by or about
2135,gender,American_actresses,Karen_Black,interno_multiplo,2,11 | 40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,54,53,TRUE,"movie site
Podcast interview March 2007
Karen Black — ",movie site\\nPodcast interview March 2007\\nKaren Black — ,movie site Podcast interview March 2007 Karen Black —
2165,gender,American_actresses,Billie_Burke,interno_singolo,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,50,TRUE,"of Washington Sayre collection
Billie Burke photos ",of Washington Sayre collection\\nBillie Burke photos ,of Washington Sayre collection Billie Burke photos
2166,gender,American_actresses,Billie_Burke,interno_singolo,1,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,67,TRUE,"of Louisville Macauley Collection
Flo Ziegfeld-Billie Burke Papers, ","of Louisville Macauley Collection\\nFlo Ziegfeld-Billie Burke Papers, ","of Louisville Macauley Collection Flo Ziegfeld-Billie Burke Papers,"
2196,gender,American_actresses,Diahann_Carroll,interno_singolo,1,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,57,TRUE,"Diahann Carroll at the Internet Broadway Database
Diahann ",Diahann Carroll at the Internet Broadway Database\\nDiahann ,Diahann Carroll at the Internet Broadway Database Diahann
2205,gender,American_actresses,Carol_Channing,interno_singolo,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,49,TRUE,"(2004)
Carol Channing: The First Eighty Years Are ",(2004)\\nCarol Channing: The First Eighty Years Are ,(2004) Carol Channing: The First Eighty Years Are
2271,gender,American_actresses,Doris_Day,interno_singolo,1,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,63,TRUE,"Hawthorne Publishing, ISBN 9780978716738
Braun, Eric, Doris Day ","Hawthorne Publishing, ISBN 9780978716738\\nBraun, Eric, Doris Day ","Hawthorne Publishing, ISBN 9780978716738 Braun, Eric, Doris Day"
2276,gender,American_actresses,Yvonne_De_Carlo,interno_consecutivo,2,32 | 33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,68,TRUE,"""Prelinger Archive"".Obituaries:

""Yvonne De Carlo, Who Played Lily on ","""Prelinger Archive"".Obituaries:\\n\\n""Yvonne De Carlo, Who Played Lily on ","""Prelinger Archive"".Obituaries: ""Yvonne De Carlo, Who Played Lily on"
2298,gender,American_actresses,Phyllis_Diller,interno_singolo,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,37,TRUE,"Phyllis Diller at Find a Grave
One of ",Phyllis Diller at Find a Grave\\nOne of ,Phyllis Diller at Find a Grave One of
2312,gender,American_actresses,Marie_Dressler,interno_singolo,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,65,TRUE,"of Washington, Sayre collection)
Marie Dressler reading newspaper ","of Washington, Sayre collection)\\nMarie Dressler reading newspaper ","of Washington, Sayre collection) Marie Dressler reading newspaper"
2313,gender,American_actresses,Marie_Dressler,interno_singolo,1,33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,52,TRUE,"of Washington, Sayre collection)
Marie Dressler in a ","of Washington, Sayre collection)\\nMarie Dressler in a ","of Washington, Sayre collection) Marie Dressler in a"
2330,gender,American_actresses,Lisa_Edelstein,interno_singolo,1,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,41,TRUE,"Lisa Edelstein
is an American actress and ",Lisa Edelstein\\nis an American actress and ,Lisa Edelstein is an American actress and
2359,gender,American_actresses,Lola_Falana,interno_multiplo,2,11 | 31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,45,TRUE,"on YouTube
Lola Falana on IMDb
Lola Falana at ",on YouTube\\nLola Falana on IMDb\\nLola Falana at ,on YouTube Lola Falana on IMDb Lola Falana at
2379,gender,American_actresses,Jane_Fonda,interno_singolo,1,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,54,53,TRUE,"Jane Fonda Profile at Turner Classic Movies
About.com ",Jane Fonda Profile at Turner Classic Movies\\nAbout.com ,Jane Fonda Profile at Turner Classic Movies About.com
2392,gender,American_actresses,Kay_Francis,interno_singolo,1,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,64,TRUE,"ISBN 0786411376, ISBN 978-0786411375
Callahan, Dan, Kay Francis: ","ISBN 0786411376, ISBN 978-0786411375\\nCallahan, Dan, Kay Francis: ","ISBN 0786411376, ISBN 978-0786411375 Callahan, Dan, Kay Francis:"
2401,gender,American_actresses,Annette_Funicello,interno_singolo,1,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,53,TRUE,"Obituary from Disney D23
Annette Funicello at Brian's ",Obituary from Disney D23\\nAnnette Funicello at Brian's ,Obituary from Disney D23 Annette Funicello at Brian's
2413,gender,American_actresses,Ava_Gardner,interno_singolo,1,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,40,39,TRUE,"Ava Gardner at Find a Grave
Ava Gardner ",Ava Gardner at Find a Grave\\nAva Gardner ,Ava Gardner at Find a Grave Ava Gardner
2622,gender,American_actresses,Nancy_Kovack,interno_singolo,1,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,44,TRUE,"Nancy Kovack at Memory Alpha
Nancy Kovack at ",Nancy Kovack at Memory Alpha\\nNancy Kovack at ,Nancy Kovack at Memory Alpha Nancy Kovack at
2712,gender,American_actresses,Dorothy_Malone,interno_singolo,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,50,TRUE,"(on shooting The Last Voyage)
Dorothy Malone photo ",(on shooting The Last Voyage)\\nDorothy Malone photo ,(on shooting The Last Voyage) Dorothy Malone photo
2736,gender,American_actresses,Mary_Elizabeth_Mastrantonio,interno_singolo,1,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,77,TRUE,"Movies: Mary Elizabeth Mastrantonio biography Retrieved 2012-08-28
The Sunday ",Movies: Mary Elizabeth Mastrantonio biography Retrieved 2012-08-28\\nThe Sunday ,Movies: Mary Elizabeth Mastrantonio biography Retrieved 2012-08-28 The Sunday
2771,gender,American_actresses,Liza_Minnelli,interno_singolo,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,53,52,TRUE,"Carol Publishing
Schechter, Scott, The Liza Minnelli ","Carol Publishing\\nSchechter, Scott, The Liza Minnelli ","Carol Publishing Schechter, Scott, The Liza Minnelli"
2781,gender,American_actresses,Grace_Moore,interno_singolo,1,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,39,TRUE,"Grace Moore at Find a Grave
Grace Moore ",Grace Moore at Find a Grave\\nGrace Moore ,Grace Moore at Find a Grave Grace Moore
2790,gender,American_actresses,Mary_Tyler_Moore,interno_singolo,1,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,45,44,TRUE,"Mary Tyler Moore on IMDb
Mary Tyler Moore at ",Mary Tyler Moore on IMDb\\nMary Tyler Moore at ,Mary Tyler Moore on IMDb Mary Tyler Moore at
2828,gender,American_actresses,Eleanor_Parker,interno_singolo,1,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,59,TRUE,"Eleanor Parker photographs and literature
Eleanor Parker at ",Eleanor Parker photographs and literature\\nEleanor Parker at ,Eleanor Parker photographs and literature Eleanor Parker at
2927,gender,American_actresses,Diana_Ross,interno_multiplo,2,13 | 50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,62,61,TRUE,"(TV Special)
Motown 25: Yesterday, Today, Forever
Diana Ross: ","(TV Special)\\nMotown 25: Yesterday, Today, Forever\\nDiana Ross: ","(TV Special) Motown 25: Yesterday, Today, Forever Diana Ross:"
2935,gender,American_actresses,Jeri_Ryan,interno_multiplo,2,21 | 55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,62,TRUE,"BBC Online interview
Jeri Ryan Biography, Startrek.com
Ortolan ","BBC Online interview\\nJeri Ryan Biography, Startrek.com\\nOrtolan ","BBC Online interview Jeri Ryan Biography, Startrek.com Ortolan"
2961,gender,American_actresses,Dinah_Shore,interno_multiplo,2,16 | 49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,51,TRUE,"(1962, Capitol)
The Fabulous Hits of Dinah Shore
My ","(1962, Capitol)\\nThe Fabulous Hits of Dinah Shore\\nMy ","(1962, Capitol) The Fabulous Hits of Dinah Shore My"
3077,gender,American_actresses,Oprah_Winfrey,interno_singolo,1,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51,50,TRUE,"Accessed September 17, 2010
Works by Oprah Winfrey ","Accessed September 17, 2010\\nWorks by Oprah Winfrey ","Accessed September 17, 2010 Works by Oprah Winfrey"
3111,gender,American_actresses,Julie_Marie_Berman,interno_singolo,1,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,45,TRUE,"Julie Marie Berman 
(born November 3, 1983) is ","Julie Marie Berman \\n(born November 3, 1983) is ","Julie Marie Berman (born November 3, 1983) is"
3126,gender,American_actresses,Joan_Collins,interno_singolo,1,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,51,TRUE,"Debrett's People of Today
Joan Collins interview on ",Debrett's People of Today\\nJoan Collins interview on ,Debrett's People of Today Joan Collins interview on
