"dominio","categoria","entita","n_prompt_entita"
"gender","American_actors","Bobby_Alto",1
"gender","American_actors","Bobby_Barber",1
"gender","American_actors","Bobby_Darin",2
"gender","American_actors","Bobs_Watson",1
"gender","American_actors","Brad_Garrett",1
"gender","American_actors","Brad_Savage",1
"gender","American_actors","Bradford_English",1
"gender","American_actors","Brandon_Hammond",1
"gender","American_actors","Brandon_Maggart",1
"gender","American_actors","Brandon_Uranowitz",1
"gender","American_actors","Brennan_Bailey",1
"gender","American_actors","Brent_Barrett",1
"gender","American_actors","Brett_Davern",1
"gender","American_actors","Brett_Halsey",2
"gender","American_actors","Brian_Backer",1
"gender","American_actors","Brian_Hallisay",1
"gender","American_actors","Brian_Keith",2
"gender","American_actors","Brian_Patrick_Wade",1
"gender","American_actors","Brian_Sacca",1
"gender","American_actors","Brian_Webber",2
"gender","American_actors","Britt_Leach",1
"gender","American_actors","Bruce_Altman",1
"gender","American_actors","Bruce_Baron",1
"gender","American_actors","Bruce_Cabot",1
"gender","American_actors","Bruce_Campbell",2
"gender","American_actors","Bruce_Davison",1
"gender","American_actors","Bruce_Jarchow",1
"gender","American_actors","Bruce_Lee",7
"gender","American_actors","Bruce_Mahler",1
"gender","American_actors","Bruce_Marchiano",1
"gender","American_actors","Bruce_Ornstein",1
"gender","American_actors","Bruce_Penhall",2
"gender","American_actors","Bruno_Campos",1
"gender","American_actors","Bryant_Washburn",3
"gender","American_actors","Buck_Jones",4
"gender","American_actors","Budd_Albright",1
"gender","American_actors","Buddy_Ebsen",1
"gender","American_actors","Buddy_Hackett",1
"gender","American_actors","Bug_Hall",1
"gender","American_actors","Burt_Reynolds",1
"gender","American_actors","Burt_Ward",3
"gender","American_actors","Burt_Young",1
"gender","American_actors","Buster_Keaton",10
"gender","American_actors","Butch_Patrick",1
"gender","American_actors","Byron_Mann",1
"gender","American_actors","C._J._Sanders",1
"gender","American_actors","Cameron_Van_Hoy",1
"gender","American_actors","Canada_Lee",1
"gender","American_actors","Carl_Ballantine",2
"gender","American_actors","Carl_Gerard",1
"gender","American_actors","Carl_Harbaugh",1
"gender","American_actors","Carl_Reiner",3
"gender","American_actors","Carlos_Jacott",1
"gender","American_actors","Carmine_Caridi",1
"gender","American_actors","Carrot_Top",8
"gender","American_actors","Carter_MacIntyre",1
"gender","American_actors","Casey_Ellison",1
"gender","American_actors","Casson_Ferguson",1
"gender","American_actors","Chad_Bannon",1
"gender","American_actors","Chad_Ferrin",1
"gender","American_actors","Chad_Villella",1
"gender","American_actors","Charles_B._Fitzsimons",1
"gender","American_actors","Charles_Emmett_Mack",1
"gender","American_actors","Charles_Esten",1
"gender","American_actors","Charles_Farrell",1
"gender","American_actors","Charles_Giblyn",1
"gender","American_actors","Charles_Halton",1
"gender","American_actors","Charles_Kemper",1
"gender","American_actors","Charles_Lampkin",1
"gender","American_actors","Charles_Laughton",4
"gender","American_actors","Charles_Michael_Davis",1
"gender","American_actors","Charles_Nelson_Reilly",1
"gender","American_actors","Charles_P._Thompson",1
"gender","American_actors","Charles_Quinlivan",2
"gender","American_actors","Charles_Reisner",1
"gender","American_actors","Charles_Robert_Carner",1
"gender","American_actors","Charles_Stanton_Ogle",1
"gender","American_actors","Charles_Wagenheim",1
"gender","American_actors","Charles_Waldron",1
"gender","American_actors","Charles_Walters",3
"gender","American_actors","Charlie_Babcock",1
"gender","American_actors","Charlie_Callas",1
"gender","American_actors","Charlie_Finn",1
"gender","American_actors","Charlie_Pecoraro",1
"gender","American_actors","Chase_Wright_Vanek",1
"gender","American_actors","Chester_Gan",1
"gender","American_actors","Cheyenne_Jackson",1
"gender","American_actors","Chris_Elliott",1
"gender","American_actors","Chris_Gethard",2
"gender","American_actors","Chris_Isaak",3
"gender","American_actors","Chris_Northrop",1
"gender","American_actors","Chris_Zylka",1
"gender","American_actors","Christian_Alexander",1
"gender","American_actors","Christian_Camargo",1
"gender","American_actors","Christian_Finnegan",1
"gender","American_actors","Christian_Kane",1
"gender","American_actors","Christian_Payton",2
"gender","American_actors","Christopher_Daniel_Barnes",1
"gender","American_actors","Christopher_Jaymes",1
"gender","American_actors","Christopher_Lambert",1
"gender","American_actors","Christopher_Maher",1
"gender","American_actors","Christopher_Ragland",1
"gender","American_actors","Christopher_Randolph",1
"gender","American_actors","Christopher_Reeve",4
"gender","American_actors","Christopher_Schaap",1
"gender","American_actors","Christy_Cabanne",1
"gender","American_actors","Chuck_Norris",5
"gender","American_actors","Chuck_Patterson",1
"gender","American_actors","Chuck_Wagner",2
"gender","American_actors","Clarence_Barr",1
"gender","American_actors","Clark_James_Gable",1
"gender","American_actors","Clark_Johnson",1
"gender","American_actors","Claude_Akins",1
"gender","American_actors","Claude_Gillingwater",1
"gender","American_actors","Claude_Jarman_Jr.",1
"gender","American_actors","Claude_Payton",1
"gender","American_actors","Claude_Rains",4
"gender","American_actors","Cliff_Osmond",1
"gender","American_actors","Clifton_Davis",1
"gender","American_actors","Clifton_James",1
"gender","American_actors","Clint_Walker",1
"gender","American_actors","Clyde_Fillmore",1
"gender","American_actors","Coit_Albertson",1
"gender","American_actors","Colm_Feore",1
"gender","American_actors","Conan_Lee",1
"gender","American_actors","Conrad_Janis",1
"gender","American_actors","Conrad_Nagel",1
"gender","American_actors","Conrad_Yama",1
"gender","American_actors","Corey_Allen",1
"gender","American_actors","Corey_Reynolds",1
"gender","American_actors","Cory_Danziger",1
"gender","American_actors","Craig_Ferguson",1
"gender","American_actors","Craig_Richard_Nelson",1
"gender","American_actors","Creighton_Hale",1
"gender","American_actors","Cris_Alexander",2
"gender","American_actors","Cutter_Garcia",1
"gender","American_actors","Cyril_Gardner",1
"gender","American_actors","Damien_Dante_Wayans",1
"gender","American_actors","Dan_Amboyer",1
"gender","American_actors","Dan_Bakkedahl",1
"gender","American_actors","Dan_Eberle",1
"gender","American_actors","Dan_Ferro",1
"gender","American_actors","Dan_Finnerty",1
"gender","American_actors","Dan_Resin",1
"gender","American_actors","Dan_Vadis",1
"gender","American_actors","Dan_Yeager",1
"gender","American_actors","Dana_Elcar",1
"gender","American_actors","Dana_Olsen",1
"gender","American_actors","Daniel_Baldwin",1
"gender","American_actors","Daniel_Cartier",1
"gender","American_actors","Daniel_Davis",1
"gender","American_actors","Daniel_Flaherty",1
"gender","American_actors","Daniel_Hugh_Kelly",1
"gender","American_actors","Daniel_Joseph_Schafer",1
"gender","American_actors","Daniel_Tay",1
"gender","American_actors","Daniel_Zovatto",1
"gender","American_actors","Daniel_von_Bargen",1
"gender","American_actors","Danny_Dayton",1
"gender","American_actors","Danny_Kamekona",1
"gender","American_actors","Danny_Kaye",9
"gender","American_actors","Danny_Thomas",4
"gender","American_actors","Darin_De_Paul",1
"gender","American_actors","Darnell_Garcia",1
"gender","American_actors","Dave_Madden",1
"gender","American_actors","Davey_Lee",2
"gender","American_actors","Davi_Santos",1
"gender","American_actors","David_Aaron_Baker",1
"gender","American_actors","David_Alford",1
"gender","American_actors","David_Banner",2
"gender","American_actors","David_Bar_Katz",4
"gender","American_actors","David_Campagna",1
"gender","American_actors","David_Carradine",5
"gender","American_actors","David_Ellison",1
"gender","American_actors","David_Farkas",1
"gender","American_actors","David_Gautreaux",1
"gender","American_actors","David_Glen_Eisley",1
"gender","American_actors","David_Janssen",1
"gender","American_actors","David_Kagen",1
"gender","American_actors","David_Lander",1
"gender","American_actors","David_Landsberg",1
"gender","American_actors","David_Marciano",1
"gender","American_actors","David_Newsom",1
"gender","American_actors","David_Norona",1
"gender","American_actors","David_Pasquesi",1
"gender","American_actors","David_Patrick_Kelly",1
"gender","American_actors","David_Rasche",1
"gender","American_actors","David_Vadim",1
"gender","American_actors","David_Wachs",1
"gender","American_actors","David_Warshofsky",1
"gender","American_actors","David_Wayne",1
"gender","American_actors","Dayton_Callie",1
"gender","American_actors","DeForest_Kelley",1
"gender","American_actors","DeRay_Davis",1
"gender","American_actors","Dean_Cameron",1
"gender","American_actors","Dean_Edwards",1
"gender","American_actors","Dean_Jagger",1
"gender","American_actors","Dee_Jay_Daniels",1
"gender","American_actors","Dee_Lampton",1
"gender","American_actors","Deke_Anderson",1
"gender","American_actors","Delmar_Watson",1
"gender","American_actors","Demetrius_Calip",1
"gender","American_actors","Dennis_Banks",3
"gender","American_actors","Dennis_Farina",1
"gender","American_actors","Dennis_James",2
"gender","American_actors","Dennis_Latos",1
"gender","American_actors","Dennis_Patrick",2
"gender","American_actors","Dennis_Weaver",4
"gender","American_actors","Derek_Lee_Nixon",1
"gender","American_actors","Dian_Bachar",1
"gender","American_actors","Dick_Gilbert",1
"gender","American_actors","Dick_La_Reno",1
"gender","American_actors","Dick_Sargent",1
"gender","American_actors","Dick_Van_Dyke",2
"gender","American_actors","Dick_Warlock",1
"gender","American_actors","Diedrich_Bader",1
"gender","American_actors","Dohn_Norwood",1
"gender","American_actors","Dominic_Scott_Kay",1
"gender","American_actors","Don_Ameche",2
"gender","American_actors","Don_Fellows",1
"gender","American_actors","Don_Gavin",1
"gender","American_actors","Don_Haggerty",2
"gender","American_actors","Don_Johnson",1
"gender","American_actors","Don_Keefer",1
"gender","American_actors","Don_Keith_Opper",1
"gender","American_actors","Don_Oreck",1
"gender","American_actors","Don_Scardino",1
"gender","American_actors","Don_Terry",1
"gender","American_actors","Donal_Gibson",1
"gender","American_actors","Donald_Haines",1
"gender","American_actors","Donnie_Dacus",1
"gender","American_actors","Donny_Osmond",4
"gender","American_actors","Dorian_Harewood",1
"gender","American_actors","Dots_Johnson",1
"gender","American_actors","Dougald_Park",1
"gender","American_actors","Douglas_Barr",1
"gender","American_actors","Douglas_Emerson",1
"gender","American_actors","Douglas_Fairbanks",2
"gender","American_actors","Douglas_Fairbanks_Jr.",1
"gender","American_actors","Douglas_MacLean",1
"gender","American_actors","Drew_Osborne",1
"gender","American_actors","Drew_Tarver",1
"gender","American_actors","Drummond_Erskine",1
"gender","American_actors","Duane_Davis",1
"gender","American_actors","Dudley_Field_Malone",1
"gender","American_actors","Dustin_Nguyen",2
"gender","American_actors","Dustin_Ybarra",1
"gender","American_actors","Dylan_Baker",1
"gender","American_actors","Dylan_Ramsey",1
"gender","American_actors","Earl_Poole_Ball",2
"gender","American_actors","Ed_Amatrudo",1
"gender","American_actors","Ed_Ames",1
"gender","American_actors","Ed_Gardner",1
"gender","American_actors","Ed_Genung",1
"gender","American_actors","Ed_Kemmer",1
"gender","American_actors","Ed_Lauter",1
"gender","American_actors","Ed_Waterstreet",1
"gender","American_actors","Eddie_Albert",5
"gender","American_actors","Eddie_Barth",1
"gender","American_actors","Eddie_Firestone",1
"gender","American_actors","Eddie_Garrett",1
"gender","American_actors","Eddie_Kane",1
"gender","American_actors","Eddie_Kaye_Thomas",1
"gender","American_actors","Eddie_Lawrence",6
"gender","American_actors","Edgar_Barrier",1
"gender","American_actors","Edgar_Kennedy",2
"gender","American_actors","Edgar_Norton",1
"gender","American_actors","Edward_Elkas",1
"gender","American_actors","Edward_Faulkner",1
"gender","American_actors","Edward_Fielding",1
"gender","American_actors","Edward_Gargan",1
"gender","American_actors","Edward_James_Olmos",1
"gender","American_actors","Edward_Mallory",1
"gender","American_actors","Edward_Norris",1
"gender","American_actors","Edward_Van_Sloan",1
"gender","American_actors","Edwin_B._Tilton",1
"gender","American_actors","Edwin_Carewe",1
"gender","American_actors","Edwin_Neal",1
"gender","American_actors","Edwin_San_Juan",1
"gender","American_actors","Edwin_Wallock",1
"gender","American_actors","Efrem_Zimbalist_Jr.",1
"gender","American_actors","Elijah_Kelley",1
"gender","American_actors","Emil_Van_Horn",4
"gender","American_actors","Emmett_C._Hall",1
"gender","American_actors","Emmett_Dalton",3
"gender","American_actors","Emmett_Fitzsimmons",1
"gender","American_actors","Emmett_Vogan",1
"gender","American_actors","Emory_Parnell",1
"gender","American_actors","Enzo_Zelocchi",1
"gender","American_actors","Eric_Chase_Anderson",1
"gender","American_actors","Eric_Christian_Olsen",1
"gender","American_actors","Eric_Da_Re",2
"gender","American_actors","Eric_Edelstein",1
"gender","American_actors","Eric_Emerson",1
"gender","American_actors","Eric_Lange",1
"gender","American_actors","Eric_Nelsen",1
"gender","American_actors","Eric_Schaeffer",1
"gender","American_actors","Eric_Taslitz",1
"gender","American_actors","Erich_Anderson",1
"gender","American_actors","Erik_Estrada",1
"gender","American_actors","Erik_Palladino",1
"gender","American_actors","Erle_C._Kenton",1
"gender","American_actors","Ernest_Van_Pelt",1
"gender","American_actors","Ernie_Reyes_Jr.",2
"gender","American_actors","Erskine_Sanford",1
"gender","American_actors","Ethan_Sandler",1
"gender","American_actors","Eugene_Gordon_Lee",1
"gender","American_actors","Eugene_M._Davis",1
"gender","American_actors","Eugene_Pallette",1
"gender","American_actors","F._Murray_Abraham",1
"gender","American_actors","Fahim_Fazli",1
"gender","American_actors","Faran_Tahir",1
"gender","American_actors","Fayard_Nicholas",1
"gender","American_actors","Forrest_Landis",1
"gender","American_actors","Fox_Harris",1
"gender","American_actors","Francis_L._Urry",1
"gender","American_actors","Francis_Lederer",2
"gender","American_actors","Frank_Alesia",1
"gender","American_actors","Frank_Aletter",1
"gender","American_actors","Frank_Cady",1
"gender","American_actors","Frank_Caliendo",1
"gender","American_actors","Frank_De_Vol",2
"gender","American_actors","Frank_Faylen",1
"gender","American_actors","Frank_Gillmore",2
"gender","American_actors","Frank_Jenks",1
"gender","American_actors","Frank_Jonasson",1
"gender","American_actors","Frank_Lackteen",1
"gender","American_actors","Frank_Lanning",1
"gender","American_actors","Frank_MacQuarrie",1
"gender","American_actors","Frank_Novak",1
"gender","American_actors","Frank_Orth",1
"gender","American_actors","Frank_Renzulli",2
"gender","American_actors","Frank_Tang",1
"gender","American_actors","Frank_Vincent",2
"gender","American_actors","Frank_Zagarino",1
"gender","American_actors","Frankie_Darro",4
"gender","American_actors","Frankie_J._Galasso",1
"gender","American_actors","Franklin_Pangborn",1
"gender","American_actors","Franklyn_Ajaye",1
"gender","American_actors","Franklyn_Farnum",1
"gender","American_actors","Fred_Aldrich",1
"gender","American_actors","Fred_Allen",6
"gender","American_actors","Fred_C._Newmeyer",1
"gender","American_actors","Fred_Esmelton",1
"gender","American_actors","Fred_Mace",1
"gender","American_actors","Fred_Niblo",5
"gender","American_actors","Fred_Norbert_Kelly",1
"gender","American_actors","Fred_Norris",1
"gender","American_actors","Fred_Parker_Jr.",1
"gender","American_actors","Fred_Santley",1
"gender","American_actors","Fred_Thompson",2
"gender","American_actors","Fred_Vogel",1
"gender","American_actors","Fredd_Wayne",3
"gender","American_actors","Fritz_Schade",1
"gender","American_actors","Gabriel_Damon",1
"gender","American_actors","Gabriel_Mann",2
"gender","American_actors","Gailard_Sartain",1
"gender","American_actors","Gale_Hansen",1
"gender","American_actors","Gale_Harold",1
"gender","American_actors","Gary_Jasgur",1
"gender","American_actors","Gary_Vinson",1
"gender","American_actors","Gavin_MacLeod",1
"gender","American_actors","Gene_Anthony_Ray",1
"gender","American_actors","Gene_Barry",1
"gender","American_actors","Gene_Gabriel",1
"gender","American_actors","Gene_Malin",1
"gender","American_actors","Gene_Nelson",1
"gender","American_actors","Gene_Reynolds",1
"gender","American_actors","Geoffrey_Baer",1
"gender","American_actors","George_Alvarez",1
"gender","American_actors","George_Bartenieff",1
"gender","American_actors","George_Carlin",1
"gender","American_actors","George_Eldredge",1
"gender","American_actors","George_Ernest",1
"gender","American_actors","George_Fawcett",1
"gender","American_actors","George_Gaynes",1
"gender","American_actors","George_Gebhardt",1
"gender","American_actors","George_Hackathorne",1
"gender","American_actors","George_Kapetan",1
"gender","American_actors","George_Kennedy",1
"gender","American_actors","George_Larkin",1
"gender","American_actors","George_MacFarlane",1
"gender","American_actors","George_MacQuarrie",1
"gender","American_actors","George_Maharis",1
"gender","American_actors","George_Majeroni",1
"gender","American_actors","George_N._Neise",1
"gender","American_actors","George_Nader",1
"gender","American_actors","George_Ortuzar",1
"gender","American_actors","George_Ovey",1
"gender","American_actors","George_Raft",1
"gender","American_actors","George_S._Irving",1
"gender","American_actors","George_Savalas",1
"gender","American_actors","George_T._Odom",2
"gender","American_actors","George_Waggner",1
"gender","American_actors","George_Walsh",1
"gender","American_actors","Geraint_Wyn_Davies",1
"gender","American_actors","Gerald_Okamura",1
"gender","American_actors","Gerald_Tannebaum",1
"gender","American_actors","Gerard_Malanga",1
"gender","American_actors","Ghazi_Albuliwi",1
"gender","American_actors","Gig_Young",1
"gender","American_actors","Gilbert_Emery",1
"gender","American_actors","Glen_Jensen",1
"gender","American_actors","Glenn_Anders",1
"gender","American_actors","Glenn_Cannon",1
"gender","American_actors","Glenn_Fitzgerald",1
"gender","American_actors","Glenn_Langan",1
"gender","American_actors","Glenn_Taranto",1
"gender","American_actors","Gordon_De_Main",1
"gender","American_actors","Gordon_MacRae",2
"gender","American_actors","Gordon_Oliver",1
"gender","American_actors","Gordon_Parks",19
"gender","American_actors","Greg_Lauren",1
"gender","American_actors","Greg_Salata",1
"gender","American_actors","Gregg_Barton",1
"gender","American_actors","Gregg_Edelman",2
"gender","American_actors","Gregory_Cahill",1
"gender","American_actors","Gregory_Jbara",1
"gender","American_actors","Gregory_Lee_Kenyon",1
"gender","American_actors","Gregory_Peck",4
"gender","American_actors","Gregory_Ratoff",1
"gender","American_actors","Gregory_Walcott",1
"gender","American_actors","Griff_Barnett",1
"gender","American_actors","Griffin_Newman",1
"gender","American_actors","Gus_Saville",1
"gender","American_actors","Guy_Kent",1
"gender","American_actors","Guy_Madison",1
"gender","American_actors","Guy_Oliver",1
"gender","American_actors","Guy_Usher",2
"gender","American_actors","Haing_S._Ngor",1
"gender","American_actors","Hal_Le_Roy",1
"gender","American_actors","Hal_Scardino",1
"gender","American_actors","Hamilton_Camp",2
"gender","American_actors","Hamilton_MacFadden",1
"gender","American_actors","Hank_Garrett",1
"gender","American_actors","Hank_Harris",1
"gender","American_actors","Hank_Mann",1
"gender","American_actors","Hank_Patterson",2
"gender","American_actors","Hans_Schumm",2
"gender","American_actors","Harlan_Warde",1
"gender","American_actors","Harold_Sakata",1
"gender","American_actors","Harris_Yulin",1
"gender","American_actors","Harrison_Page",1
"gender","American_actors","Harry_Bannister",1
"gender","American_actors","Harry_Bartell",1
"gender","American_actors","Harry_Basch",1
"gender","American_actors","Harry_De_Vere",1
"gender","American_actors","Harry_Northrup",1
"gender","American_actors","Harry_Northup",2
"gender","American_actors","Harry_Schumm",1
"gender","American_actors","Harry_Tenbrook",1
"gender","American_actors","Harry_Waters_Jr.",1
"gender","American_actors","Harry_von_Meter",1
"gender","American_actors","Hartley_Sawyer",1
"gender","American_actors","Harvey_Sid_Fisher",1
"gender","American_actors","Hawthorne_James",1
"gender","American_actors","Hayes_MacArthur",1
"gender","American_actors","Henny_Youngman",2
"gender","American_actors","Henry_Darrow",2
"gender","American_actors","Henry_E._Taylor_III",1
"gender","American_actors","Henry_Gibson",2
"gender","American_actors","Henry_Judd_Baker",1
"gender","American_actors","Herb_Jeffries",1
"gender","American_actors","Herbert_Anderson",1
"gender","American_actors","Herbert_Jefferson_Jr.",1
"gender","American_actors","Herbie_Faye",1
"gender","American_actors","Hill_Harper",2
"gender","American_actors","Hiram_Keller",1
"gender","American_actors","Hoagy_Carmichael",5
"gender","American_actors","Holmes_Osborne",1
"gender","American_actors","Hoon_Lee",1
"gender","American_actors","Horace_B._Carpenter",1
"gender","American_actors","Howard_Caine",1
"gender","American_actors","Howard_Da_Silva",1
"gender","American_actors","Howard_Mann",1
"gender","American_actors","Hugh_Gillin",1
"gender","American_actors","Hughie_Mack",1
"gender","American_actors","Hunter_Carson",2
"gender","American_actors","Hunter_Parrish",1
"gender","American_actors","Ian_Keith",1
"gender","American_actors","Ian_Sander",1
"gender","American_actors","Ike_Eisenmann",1
"gender","American_actors","Ilunga_Adell",1
"gender","American_actors","Irving_Bacon",1
"gender","American_actors","J._Kenneth_Campbell",1
"gender","American_actors","J._Larose",2
"gender","American_actors","J._Lee",1
"gender","American_actors","J._T._Walsh",1
"gender","American_actors","J._Trevor_Edmond",1
"gender","American_actors","J._W._Johnston",3
"gender","American_actors","Jack_Drumier",1
"gender","American_actors","Jack_Eagle",1
"gender","American_actors","Jack_Elam",1
"gender","American_actors","Jack_Garner",2
"gender","American_actors","Jack_Gilford",1
"gender","American_actors","Jack_Haley",2
"gender","American_actors","Jack_Kehoe",1
"gender","American_actors","Jack_Kenny",1
"gender","American_actors","Jack_La_Rue",1
"gender","American_actors","Jack_Laird",1
"gender","American_actors","Jack_Nicholson",1
"gender","American_actors","Jack_Norton",2
"gender","American_actors","Jack_Oakie",4
"gender","American_actors","Jack_Ong",1
"gender","American_actors","Jack_Sahakian",2
"gender","American_actors","Jack_Salvatore_Jr.",1
"gender","American_actors","Jack_Thibeau",1
"gender","American_actors","Jack_Webb",1
"gender","American_actors","Jackson_Nicoll",1
"gender","American_actors","Jackson_Rathbone",2
"gender","American_actors","Jacob_Zachar",1
"gender","American_actors","Jade_Yorker",1
"gender","American_actors","Jake_Johnson",1
"gender","American_actors","Jake_Thomas",1
"gender","American_actors","Jamar_Malachi_Neighbors",1
"gender","American_actors","James_Adomian",1
"gender","American_actors","James_Arnold_Taylor",1
"gender","American_actors","James_Bartholet",2
"gender","American_actors","James_Cagney",1
"gender","American_actors","James_Daughton",2
"gender","American_actors","James_Gaines",1
"gender","American_actors","James_Garner",1
"gender","American_actors","James_Hanlon",1
"gender","American_actors","James_Harvey_Ward",1
"gender","American_actors","James_Iglehart",1
"gender","American_actors","James_Karen",1
"gender","American_actors","James_Keach",1
"gender","American_actors","James_Lecesne",1
"gender","American_actors","James_Madio",1
"gender","American_actors","James_Naughton",1
"gender","American_actors","James_Parrott",2
