"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"According to her writer son Anthony ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Actor is also used before the ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors also have to learn the ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors are coached by fight directors, ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors in recurring roles are ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors may have to simulate hand-to-hand ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors puts themselves in the mindset ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors who are new to on-screen ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Actors' Equity Association: a union representing ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"All mechanical engineering programs include multiple semesters ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Also, actors in improvisational theatre may ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Among the many writers whose writing ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"An actor is a person who ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Areas of current mechanical engineering research in ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"As mechanical engineering begins to merge with ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"As such, the young Bruce Lee grew ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"As writers, playwrights must make the ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Being Rita Hayworth: Labor, Identity, and Hollywood ",3,"gender | race","gender::American_actresses | race::European_Americans | race::Hispanic_and_Latino_Americans","Rita_Hayworth | Rita_Hayworth | Rita_Hayworth"
"British Actors' Equity: a trade union ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"By 1997, ten psychologists were trained ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"By contrast, according to Bruce Lee, Linda ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"Cartoonists are writers whose work depends heavily on ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Children's writers Beatrix Potter, May Gibbs, ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Clinical and Counseling psychologists in the ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Clinical and counseling psychologists may also ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Commedia dell'arte was an actor-centred theatre, ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Composite material research within mechanical engineering typically ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Each writer needs to find their ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Early Middle Ages actors were denounced by ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Education in mechanical engineering has historically been ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Examples include writers guilds in Australia ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Examples of a musician's possible skills include ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"Examples of well-known writers who used ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Film actors also need to learn how to ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Film actors need to learn to ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"For example, a writer's work may ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"For example, writers of historical romances, ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"For the specific Tony Awards presented to ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"Hayley Kiyoko Alcroft is an American singer, ",3,"gender | race","gender::American_actresses | race::Asian_Americans | race::European_Americans","Hayley_Kiyoko | Hayley_Kiyoko | Hayley_Kiyoko"
"Hill later wrote Rita Hayworth: A Memoir, ",3,"gender | race","gender::American_actresses | race::European_Americans | race::Hispanic_and_Latino_Americans","Rita_Hayworth | Rita_Hayworth | Rita_Hayworth"
"I'm an actor – I can ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"If the writers' purpose in re-writing ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"In 1992 Reagan established the Ronald Reagan ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Ronald_Reagan | Ronald_Reagan | Ronald_Reagan"
"In 2020, the 74th Annual Tony Awards ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"In 20th-century music, composers and musicians ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"In Australia, mechanical engineering degrees are awarded ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"In addition to the core mechanical engineering ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"In addition, psychologists spend several years ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"In five US states, psychologists with ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"In honor of Thespis, actors are ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"In rare instances, creative writers are ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Influential and respected writer/critics include the ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Interpretation occurs even when the actor ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Kelly Hu won the title of Miss ",3,"gender | race","gender::American_actresses | race::Asian_Americans | race::European_Americans","Kelly_Hu | Kelly_Hu | Kelly_Hu"
"Lee Jun-fan, known professionally as Bruce Lee, ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"Licensure as a psychologist takes an ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Maggie Q is currently an ambassador for ",3,"gender | race","gender::American_actresses | race::Asian_Americans | race::European_Americans","Maggie_Q | Maggie_Q | Maggie_Q"
"Mainland Chinese only started watching Bruce Lee ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"Many writers have produced both fiction and ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Mechanical engineering is an engineering discipline that ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Mechanical engineering programs in Canada are accredited ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Mechanical engineering programs typically take four to ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Meisner technique requires the actor to ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Most actors were paid a share ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Most of Bruce Lee's poems are categorized ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"Most psychologists need a license to ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Musicians can specialize in any musical ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"Musicians wrote to be ""...objective, while ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"On April 24, 2017, the Tony Awards ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"Other writers use multiple media – ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Other writers, especially writers for children, ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Psychologists can work in applied or ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Psychologists in Greece are legally required ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Psychologists in Greece are not required ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Psychologists in the United States campaigned ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Psychologists typically have one of two ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Right-wing populism, also called national populism and ",3,"political","political::populism | political::populism | political::right-wing","Right-wing_populism | National_populism | Right-wing_populism"
"Rita Hayworth was an American actress and ",3,"gender | race","gender::American_actresses | race::European_Americans | race::Hispanic_and_Latino_Americans","Rita_Hayworth | Rita_Hayworth | Rita_Hayworth"
"Rita Hayworth: A Pyramid Illustrated History of ",3,"gender | race","gender::American_actresses | race::European_Americans | race::Hispanic_and_Latino_Americans","Rita_Hayworth | Rita_Hayworth | Rita_Hayworth"
"Robinson Crusoe is a fictional writer ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Russian writer Boris Pasternak, under pressure ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Screenwriters may start their careers by ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Screenwriters, playwrights and other writers are ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Self-employed writers who are paid by ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"She later said, ""Ronald Reagan had a ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Ronald_Reagan | Ronald_Reagan | Ronald_Reagan"
"Silent film actors emphasized body language ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Skilled writers who are able to ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Small nomadic bands of actors traveled ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Some critics are already writers in ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Some critics are poor writers and ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Some writers may use images or ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Some writers work from an oral ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Some writers write both creative fiction and ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Some writers write extensively on their ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Sometimes writers have had the bad fortune ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Sonja Sohn is an American actress and ",3,"gender | race","gender::American_actresses | race::African_Americans | race::Asian_Americans","Sonja_Sohn | Sonja_Sohn | Sonja_Sohn"
"Such is the case when speechwriters ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Such writers have affected ideas, opinion ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"TV actors need to learn to ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"TV actors need to understand the ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Technical writers also write different procedures ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"That year, the Ronald Reagan Building and ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Ronald_Reagan | Ronald_Reagan | Ronald_Reagan"
"The Dutch professional association of psychologists, ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The Films of Rita Hayworth: The Legend ",3,"gender | race","gender::American_actresses | race::European_Americans | race::Hispanic_and_Latino_Americans","Rita_Hayworth | Rita_Hayworth | Rita_Hayworth"
"The Tony Awards are also considered the ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"The Tony Awards are considered the highest ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"The actor performs ""in the flesh"" ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The actor's interpretation of their role—the ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The costume designer may also collaborate with ",3,"profession","profession::film_and_television_occupations | profession::theatre_personnel | profession::theatre_personnel","Costume_designer | Costume_designer | Costume_Designer"
"The costume designer works alongside the director, ",3,"profession","profession::film_and_television_occupations | profession::theatre_personnel | profession::theatre_personnel","Costume_designer | Costume_designer | Costume_Designer"
"The exclusively male actors in the ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The fundamental subjects of mechanical engineering usually ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"The majority of actors in these ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The many physician writers, for example, ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"The mechanical engineering field requires an understanding of ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"The monastic writers also illustrated their ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"The pervading presence of stage actors ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The restriction for psychologists is governed by ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The rise of the actor as ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"The role of the costume designer is ",3,"profession","profession::film_and_television_occupations | profession::theatre_personnel | profession::theatre_personnel","Costume_designer | Costume_designer | Costume_Designer"
"The rules for the Tony Awards are ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"The technical writer, unlike the creative ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"The term writer is often used ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"The title of ""neuropsychologist"" is not ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The title of ""psychologist"", by itself, ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The titles ""clinical psychologist"", ""counseling psychologist"", ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The titles ""psychotherapist"" and ""healthcare psychologist"" ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"The writer of a letter may ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"The writer of the speech may ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"There are about 6,200 licensed psychologists ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"This allowed mechanical engineering to develop as ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"Tommy Tune has won ten Tony Awards including ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"Traditionally, actors were not of high ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Typically, psychologists need a doctoral degree ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"Unlike theater actors, who develop characters ",3,"profession","profession::entertainer_occupations | profession::film_and_television_occupations | profession::theatre_personnel","Actor | Actor | Actor"
"Wins: The most Tony Awards ever received ",3,"race","race::Asian_Americans | race::European_Americans | race::European_Americans","Tony_Award | Tony_Award | Tony_Awards"
"Writers can produce material across a ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers may also cause the more ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers may begin their career in ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers of children's literature seek to ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers of lyrics, such as these ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers often develop idiosyncratic solutions to ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers produce different forms of literary ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers such as Mario Vargas Llosa, ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers usually develop a personal ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers whose work was destroyed before ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers work professionally or non-professionally, that ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Writers' texts are published across a ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"teleplay writer Joe Menosky deploys the ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"wrote the 1975 book Bruce Lee: The ",3,"gender | race","gender::American_actors | race::Asian_Americans | race::European_Americans","Bruce_Lee | Bruce_Lee | Bruce_Lee"
"""""Industrial Engineering is the branch of Engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"""An Interview with Liv Tyler – Bringing ",2,"gender | race","gender::American_actresses | race::European_Americans","Liv_Tyler | Liv_Tyler"
"""An early 'I' in Whitney Houston's 'I ",2,"gender | race","gender::American_actresses | race::African_Americans","Whitney_Houston | Whitney_Houston"
"""Burt Reynolds Isn't Broke, but He's Got ",2,"gender | race","gender::American_actors | race::European_Americans","Burt_Reynolds | Burt_Reynolds"
"""Chemical engineering"", describing the use of mechanical ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"""Ethel Barrymore married Russell Griswold Colt on ",2,"gender | race","gender::American_actresses | race::European_Americans","Ethel_Barrymore | Ethel_Barrymore"
"""Harold Pinter and Eartha Kitt, artists and ",2,"gender | race","gender::American_actresses | race::African_Americans","Eartha_Kitt | Eartha_Kitt"
"""Her second comedy special, Wanda Sykes: I'ma ",2,"gender | race","gender::American_actresses | race::African_Americans","Wanda_Sykes | Wanda_Sykes"
"""His first son, Ken Norton Jr, played ",2,"gender | race","gender::American_actors | race::African_Americans","Ken_Norton | Ken_Norton"
"""How Samuel L. Jackson Became His Own ",2,"gender | race","gender::American_actors | race::African_Americans","Samuel_L._Jackson | Samuel_L._Jackson"
"""I hear `Donna Reed' and I think ",2,"gender | race","gender::American_actresses | race::European_Americans","Donna_Reed | Donna_Reed"
"""Interview: Liv Tyler on her son, work ",2,"gender | race","gender::American_actresses | race::European_Americans","Liv_Tyler | Liv_Tyler"
"""Jennifer Hudson is the defining voice of ",2,"gender | race","gender::American_actresses | race::African_Americans","Jennifer_Hudson | Jennifer_Hudson"
"""Jessica Lange – Biography – Highest Rated ",2,"gender | race","gender::American_actresses | race::European_Americans","Jessica_Lange | Jessica_Lange"
"""Jodie Foster and Brooke Shields: ""New Ways ",2,"gender | race","gender::American_actresses | race::European_Americans","Jodie_Foster | Jodie_Foster"
"""Louise Brooks is the femme appeal with ",2,"gender | race","gender::American_actresses | race::European_Americans","Louise_Brooks | Louise_Brooks"
"""Muhammad Ali's Life in Photos; From his ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
