"dominio","categoria","entita","prompt","n_char","n_parole","prompt_normalizzato","is_duplicato_esatto","is_duplicato_quasi","is_duplicato_cross_categoria","outlier_lunghezza","ultimo_char","finisce_con_punteggiatura","ultima_parola","ultima_parola_sospetta","ha_markup","ha_caratteri_controllo","ha_doppio_spazio","spazio_prima_punteggiatura","ha_non_ascii","ha_unicode_invisibile","parentesi_round_sbilanciate","parentesi_quadre_sbilanciate","virgolette_sbilanciate","prompt_per_generazione","prompt_pulito","flag_qualita_strutturale"
"political","capitalism","State_capitalism","According to Hilferding, state capitalism was not ",50,7,"according to hilferding, state capitalism was not",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"not",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"According to Hilferding, state capitalism was not ","According to Hilferding, state capitalism was not",FALSE
"political","capitalism","Capitalism","Many socialists consider capitalism to be ",42,6,"many socialists consider capitalism to be",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"be",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Many socialists consider capitalism to be ","Many socialists consider capitalism to be",FALSE
"political","communism","World_communism","World communism is to be achieved by ",37,7,"world communism is to be achieved by",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"by",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"World communism is to be achieved by ","World communism is to be achieved by",FALSE
"political","communism","World_communism","World communism is a form of communism ",39,7,"world communism is a form of communism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"communism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"World communism is a form of communism ","World communism is a form of communism",FALSE
"political","communism","Communist_society","In a communist society, economic necessity and ",47,7,"in a communist society, economic necessity and",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"and",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In a communist society, economic necessity and ","In a communist society, economic necessity and",FALSE
"political","conservatism","Conservatism_in_Australia","The main issues that distinguish conservatism in Australia ",59,8,"the main issues that distinguish conservatism in australia",FALSE,FALSE,FALSE,FALSE,"a",FALSE,"Australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The main issues that distinguish conservatism in Australia ","The main issues that distinguish conservatism in Australia",FALSE
"political","conservatism","Social_conservatism","Social conservatism is the belief that society ",47,7,"social conservatism is the belief that society",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"society",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Social conservatism is the belief that society ","Social conservatism is the belief that society",FALSE
"political","conservatism","Civic_conservatism","Civic ",6,1,"civic",FALSE,FALSE,FALSE,TRUE,"c",FALSE,"Civic",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Civic ","Civic",FALSE
"political","democracy","Radical_democracy","However, the concept of radical democracy is ",45,7,"however, the concept of radical democracy is",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"is",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"However, the concept of radical democracy is ","However, the concept of radical democracy is",FALSE
"political","democracy","Social_democracy","Social democracy has been criticized by both ",45,7,"social democracy has been criticized by both",FALSE,FALSE,FALSE,FALSE,"h",FALSE,"both",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Social democracy has been criticized by both ","Social democracy has been criticized by both",FALSE
"political","democracy","Jeffersonian_democracy","Jeffersonian democracy persisted as an element of ",50,7,"jeffersonian democracy persisted as an element of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jeffersonian democracy persisted as an element of ","Jeffersonian democracy persisted as an element of",FALSE
"political","fascism","Fascism","Italian Fascism called for women to ",36,6,"italian fascism called for women to",FALSE,FALSE,FALSE,FALSE,"o",FALSE,"to",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Italian Fascism called for women to ","Italian Fascism called for women to",FALSE
"political","fascism","Italian_Fascism","Italian Fascism emphasized that race was bound ",47,7,"italian fascism emphasized that race was bound",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"bound",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Italian Fascism emphasized that race was bound ","Italian Fascism emphasized that race was bound",FALSE
"political","fascism","Fascism_in_New_Zealand","Fascism in New Zealand has never gained much support, ",54,9,"fascism in new zealand has never gained much support,",FALSE,FALSE,FALSE,TRUE,",",TRUE,"support,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fascism in New Zealand has never gained much support, ","Fascism in New Zealand has never gained much support,",FALSE
"political","left-wing","Far-left_politics","Extremist far-left politics can involve violent acts ",53,7,"extremist far-left politics can involve violent acts",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"acts",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extremist far-left politics can involve violent acts ","Extremist far-left politics can involve violent acts",FALSE
"political","left-wing","New_Left","The New left and the Views of ",30,7,"the new left and the views of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The New left and the Views of ","The New left and the Views of",FALSE
"political","left-wing","Christian_left","Others in the Christian left have not ",38,7,"others in the christian left have not",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"not",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Others in the Christian left have not ","Others in the Christian left have not",FALSE
"political","liberalism","Green_liberalism","This kind of green liberalism is mainly ",40,7,"this kind of green liberalism is mainly",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"mainly",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"This kind of green liberalism is mainly ","This kind of green liberalism is mainly",FALSE
"political","liberalism","Economic_liberalism","As an economic system, economic liberalism is ",46,7,"as an economic system, economic liberalism is",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"is",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"As an economic system, economic liberalism is ","As an economic system, economic liberalism is",FALSE
"political","liberalism","Democratic_liberalism","Democratic liberalism aims to reach a synthesis ",48,7,"democratic liberalism aims to reach a synthesis",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"synthesis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Democratic liberalism aims to reach a synthesis ","Democratic liberalism aims to reach a synthesis",FALSE
"political","nationalism","Estonian_nationalism","Estonian nationalism refers to the ideological movement ",56,7,"estonian nationalism refers to the ideological movement",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Estonian nationalism refers to the ideological movement ","Estonian nationalism refers to the ideological movement",FALSE
"political","nationalism","British_nationalism","British nationalism asserts that the British are ",49,7,"british nationalism asserts that the british are",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"are",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"British nationalism asserts that the British are ","British nationalism asserts that the British are",FALSE
"political","nationalism","English_nationalism","Also, to the extent that English nationalism ",45,7,"also, to the extent that english nationalism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"nationalism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Also, to the extent that English nationalism ","Also, to the extent that English nationalism",FALSE
"political","populism","Populism_in_Latin_America","Populism in Latin America has mostly addressed the problem, ",60,9,"populism in latin america has mostly addressed the problem,",FALSE,FALSE,FALSE,TRUE,",",TRUE,"problem,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Populism in Latin America has mostly addressed the problem, ","Populism in Latin America has mostly addressed the problem,",FALSE
"political","populism","Populism","This emphasises the notion that populism ",41,6,"this emphasises the notion that populism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"populism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"This emphasises the notion that populism ","This emphasises the notion that populism",FALSE
"political","populism","Populism","The Tea Party's populism was Producerism, ",42,6,"the tea party's populism was producerism,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"Producerism,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Tea Party's populism was Producerism, ","The Tea Party's populism was Producerism,",FALSE
"political","right-wing","Right-wing_populism","Right-wing populism has been fostered by RSS ",45,7,"right-wing populism has been fostered by rss",TRUE,TRUE,TRUE,FALSE,"S",FALSE,"RSS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Right-wing populism has been fostered by RSS ","Right-wing populism has been fostered by RSS",FALSE
"political","right-wing","Right-wing_terrorism","A 2014 paper argues that right-wing terrorism ",46,7,"a 2014 paper argues that right-wing terrorism",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"terrorism",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A 2014 paper argues that right-wing terrorism ","A 2014 paper argues that right-wing terrorism",FALSE
"political","right-wing","Historical_Right","The Right group, later called Historical Right ",47,7,"the right group, later called historical right",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"Right",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Right group, later called Historical Right ","The Right group, later called Historical Right",FALSE
"political","socialism","Socialism","While retaining socialism as a long-term ",41,6,"while retaining socialism as a long-term",FALSE,FALSE,FALSE,FALSE,"m",FALSE,"long-term",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"While retaining socialism as a long-term ","While retaining socialism as a long-term",FALSE
"political","socialism","Ricardian_socialism","Ricardian socialism is a branch of classical ",45,7,"ricardian socialism is a branch of classical",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"classical",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ricardian socialism is a branch of classical ","Ricardian socialism is a branch of classical",FALSE
"political","socialism","Market_socialism","Among early advocates of market socialism were ",47,7,"among early advocates of market socialism were",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"were",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Among early advocates of market socialism were ","Among early advocates of market socialism were",FALSE
"profession","artistic_occupations","Art",": 150 Years of Modern Art ",26,6,": 150 years of modern art",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"Art",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,": 150 Years of Modern Art ",": 150 Years of Modern Art",FALSE
"profession","artistic_occupations","Set_decorator","The set decorator is the head of ",33,7,"the set decorator is the head of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The set decorator is the head of ","The set decorator is the head of",FALSE
"profession","artistic_occupations","Art","Artistic conventions have often been conservative ",50,6,"artistic conventions have often been conservative",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"conservative",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Artistic conventions have often been conservative ","Artistic conventions have often been conservative",FALSE
"profession","computer_occupations","Product_manager","A product manager role, in contrast, requires ",46,7,"a product manager role, in contrast, requires",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"requires",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A product manager role, in contrast, requires ","A product manager role, in contrast, requires",FALSE
"profession","computer_occupations","A/B_testing","Later A/B testing research would be more ",41,7,"later a/b testing research would be more",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"more",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Later A/B testing research would be more ","Later A/B testing research would be more",FALSE
"profession","computer_occupations","Software_analyst","The software analyst is the seam between ",41,7,"the software analyst is the seam between",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"between",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The software analyst is the seam between ","The software analyst is the seam between",FALSE
"profession","corporate_titles","Corporate_title","Korean corporate titles are similar to those ",45,7,"korean corporate titles are similar to those",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"those",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Korean corporate titles are similar to those ","Korean corporate titles are similar to those",FALSE
"profession","corporate_titles","Chief_Administrative_Officer","A chief administrative officer is a top-tier executive ",55,8,"a chief administrative officer is a top-tier executive",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"executive",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A chief administrative officer is a top-tier executive ","A chief administrative officer is a top-tier executive",FALSE
"profession","corporate_titles","Chief_Customer_Officer","A chief customer officer is the executive responsible ",54,8,"a chief customer officer is the executive responsible",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"responsible",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A chief customer officer is the executive responsible ","A chief customer officer is the executive responsible",FALSE
"profession","dance_occupations","Ballet_master","Enrico Cecchetti, ballet master for the Ballets ",48,7,"enrico cecchetti, ballet master for the ballets",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"Ballets",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Enrico Cecchetti, ballet master for the Ballets ","Enrico Cecchetti, ballet master for the Ballets",FALSE
"profession","dance_occupations","Pointe_technique","Pointe technique resulted from a desire for ",44,7,"pointe technique resulted from a desire for",FALSE,FALSE,FALSE,FALSE,"r",FALSE,"for",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pointe technique resulted from a desire for ","Pointe technique resulted from a desire for",FALSE
"profession","dance_occupations","Ballet_master","Filippo Taglioni, ballet master of the Royal ",45,7,"filippo taglioni, ballet master of the royal",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"Royal",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Filippo Taglioni, ballet master of the Royal ","Filippo Taglioni, ballet master of the Royal",FALSE
"profession","engineering_branches","Computer_network","Computer networks support many applications and services, ",58,7,"computer networks support many applications and services,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"services,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Computer networks support many applications and services, ","Computer networks support many applications and services,",FALSE
"profession","engineering_branches","Biomolecular_engineering","The most prominent biomolecular engineering technique seen ",59,7,"the most prominent biomolecular engineering technique seen",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"seen",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The most prominent biomolecular engineering technique seen ","The most prominent biomolecular engineering technique seen",FALSE
"profession","engineering_branches","Heating","Natural gas is a widespread heating ",36,6,"natural gas is a widespread heating",FALSE,FALSE,FALSE,FALSE,"g",FALSE,"heating",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Natural gas is a widespread heating ","Natural gas is a widespread heating",FALSE
"profession","entertainer_occupations","Dancer","In the U.S. many professional dancers ",38,6,"in the u.s. many professional dancers",TRUE,TRUE,TRUE,FALSE,"s",FALSE,"dancers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"In the U.S. many professional dancers ","In the U.S. many professional dancers",FALSE
"profession","entertainer_occupations","Ring_girl","Ring girls first appeared in boxing, when ",42,7,"ring girls first appeared in boxing, when",FALSE,FALSE,FALSE,FALSE,"n",FALSE,"when",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ring girls first appeared in boxing, when ","Ring girls first appeared in boxing, when",FALSE
"profession","entertainer_occupations","Geisha","The forerunners of the female geisha ",37,6,"the forerunners of the female geisha",FALSE,FALSE,FALSE,FALSE,"a",FALSE,"geisha",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The forerunners of the female geisha ","The forerunners of the female geisha",FALSE
"profession","film_and_television_occupations","Audition","A person auditioning for a role ",32,6,"a person auditioning for a role",TRUE,TRUE,FALSE,FALSE,"e",FALSE,"role",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A person auditioning for a role ","A person auditioning for a role",FALSE
"profession","film_and_television_occupations","Actor","TV actors need to understand the ",33,6,"tv actors need to understand the",TRUE,TRUE,TRUE,FALSE,"e",FALSE,"the",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TV actors need to understand the ","TV actors need to understand the",FALSE
"profession","film_and_television_occupations","Cartoonist","Single-panel cartoonists syndicated to newspapers included ",59,6,"single-panel cartoonists syndicated to newspapers included",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"included",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Single-panel cartoonists syndicated to newspapers included ","Single-panel cartoonists syndicated to newspapers included",FALSE
"profession","healthcare_occupations","Midwife","The Midwifery First Year of Practice ",37,6,"the midwifery first year of practice",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"Practice",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The Midwifery First Year of Practice ","The Midwifery First Year of Practice",FALSE
"profession","healthcare_occupations","Anesthesiologist_Assistant","Approximately 97% of currently working anesthesiologist ",56,6,"approximately 97% of currently working anesthesiologist",FALSE,FALSE,FALSE,FALSE,"t",FALSE,"anesthesiologist",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Approximately 97% of currently working anesthesiologist ","Approximately 97% of currently working anesthesiologist",FALSE
"profession","healthcare_occupations","Occupational_Therapist","The role of the occupational therapist is ",42,7,"the role of the occupational therapist is",TRUE,TRUE,TRUE,FALSE,"s",FALSE,"is",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The role of the occupational therapist is ","The role of the occupational therapist is",FALSE
"profession","industrial_occupations","Bartender","Bartenders in the United States usually ",40,6,"bartenders in the united states usually",FALSE,FALSE,FALSE,FALSE,"y",FALSE,"usually",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bartenders in the United States usually ","Bartenders in the United States usually",FALSE
"profession","industrial_occupations","Stationary_engineer","Stationary engineers are also known as Process ",47,7,"stationary engineers are also known as process",FALSE,FALSE,FALSE,FALSE,"s",FALSE,"Process",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Stationary engineers are also known as Process ","Stationary engineers are also known as Process",FALSE
"profession","industrial_occupations","List_of_industrial_occupations","The following is a list of industrial ",38,7,"the following is a list of industrial",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"industrial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The following is a list of industrial ","The following is a list of industrial",FALSE
"profession","mental_health_occupations","Psychiatric_nurse","When a psychiatric nurse gains understanding of ",48,7,"when a psychiatric nurse gains understanding of",FALSE,FALSE,FALSE,FALSE,"f",FALSE,"of",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"When a psychiatric nurse gains understanding of ","When a psychiatric nurse gains understanding of",FALSE
"profession","mental_health_occupations","Psychiatrist","A psychiatrist usually works as the ",36,6,"a psychiatrist usually works as the",TRUE,TRUE,TRUE,FALSE,"e",FALSE,"the",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A psychiatrist usually works as the ","A psychiatrist usually works as the",FALSE
"profession","mental_health_occupations","Occupational_therapist","Many occupational therapists work in private practice ",54,7,"many occupational therapists work in private practice",TRUE,TRUE,TRUE,FALSE,"e",FALSE,"practice",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Many occupational therapists work in private practice ","Many occupational therapists work in private practice",FALSE
"profession","metalworking_occupations","Management","All management embraces to some degree ",39,6,"all management embraces to some degree",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"degree",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"All management embraces to some degree ","All management embraces to some degree",FALSE
"profession","metalworking_occupations","Chemical_engineering","Developments in chemical engineering before and after ",54,7,"developments in chemical engineering before and after",TRUE,TRUE,TRUE,FALSE,"r",FALSE,"after",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Developments in chemical engineering before and after ","Developments in chemical engineering before and after",FALSE
"profession","metalworking_occupations","Inspection","Vehicles pass a pre-warranty inspection, if, ",45,6,"vehicles pass a pre-warranty inspection, if,",FALSE,FALSE,FALSE,FALSE,",",TRUE,"if,",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Vehicles pass a pre-warranty inspection, if, ","Vehicles pass a pre-warranty inspection, if,",FALSE
"profession","nursing_specialties","Nursing","Students who attend a nursing college ",38,6,"students who attend a nursing college",FALSE,FALSE,FALSE,FALSE,"e",FALSE,"college",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Students who attend a nursing college ","Students who attend a nursing college",FALSE
"profession","nursing_specialties","Nurse_attorney","Nurse attorneys are individuals who are licensed ",49,7,"nurse attorneys are individuals who are licensed",FALSE,FALSE,FALSE,FALSE,"d",FALSE,"licensed",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Nurse attorneys are individuals who are licensed ","Nurse attorneys are individuals who are licensed",FALSE
"profession","nursing_specialties","Travel_nursing","Most travel nursing assignments last between 8 ",47,7,"most travel nursing assignments last between 8",FALSE,FALSE,FALSE,FALSE,"8",FALSE,"8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Most travel nursing assignments last between 8 ","Most travel nursing assignments last between 8",FALSE
"profession","professional_driver_types","Bus_driver","Bus drivers also need to possess social ",40,7,"bus drivers also need to possess social",FALSE,FALSE,FALSE,FALSE,"l",FALSE,"social",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bus drivers also need to possess social ","Bus drivers also need to possess social",FALSE
