pilot_row_id,entity,label,start_char,end_char,replaced_in_preview
13,This same year,DATE,168,182,False
14,Frank Tang,PERSON,0,10,True
14,Chinese-American,NORP,17,33,False
14,3/4,CARDINAL,51,54,False
14,Han,NORP,55,58,False
14,1/4,CARDINAL,63,66,False
14,Native American,NORP,67,82,False
14,Lakota,ORG,84,90,False
14,New York,GPE,115,123,False
14,San Francisco,GPE,138,151,False
14,Frank Tang,PERSON,153,163,True
15,Lawrence Taylor Jr.,PERSON,8,27,True
15,1.670 acres,QUANTITY,37,48,False
15,the 1870s,DATE,52,61,False
15,today,DATE,88,93,False
15,Anglican Church,ORG,116,131,False
15,Taylor,PERSON,142,148,True
16,the age of 14,DATE,4,17,False
16,Robin Thicke,PERSON,19,31,True
16,first,ORDINAL,42,47,False
16,louis armstrong,PERSON,127,142,True
17,Jason Faunt,PERSON,0,11,True
17,two,CARDINAL,16,19,False
17,Keira,ORG,31,36,False
17,2008,DATE,41,45,False
17,World Cup,EVENT,46,55,False
17,England,GPE,75,82,False
18,Mel Ferrer's,PERSON,0,12,True
18,Mary Matilda Irene,PERSON,31,49,True
18,1915 - 1984,DATE,51,62,False
18,Irene,PERSON,64,69,True
18,Broadway,FAC,102,110,False
18,George Cukor,PERSON,126,138,True
18,1933,DATE,157,161,False
18,Mel,PERSON,180,183,True
19,Robert Scott Field,PERSON,0,18,True
19,American,NORP,25,33,False
19,Disney,ORG,132,138,False
19,Don Hrycyshyn,PERSON,179,192,True
19,1,CARDINAL,228,229,False
20,Lew Fields,PERSON,0,10,True
20,American,NORP,18,26,False
20,ABC,ORG,185,188,False
20,Saturday,DATE,189,197,False
20,morning,TIME,198,205,False
20,mid-late 19,DATE,228,239,False
21,Harvey Sid Fisher,PERSON,0,17,True
21,The Harvey Show,WORK_OF_ART,126,141,False
21,10,CARDINAL,233,235,False
22,Glenn Fitzgerald,PERSON,0,16,True
22,American,NORP,23,31,False
22,25,CARDINAL,41,43,False
22,over 100,CARDINAL,54,62,False
22,Cincinnati,GPE,85,95,False
22,Ohio,GPE,97,101,False
22,the 1950s,DATE,140,149,False
23,Willie Aames,PERSON,0,12,True
23,American,NORP,19,27,False
23,HBO,ORG,91,94,False
23,Sex & the City,WORK_OF_ART,102,116,False
23,HBO,ORG,136,139,False
24,Aaron Ramirez,PERSON,7,20,True
24,Native American,NORP,27,42,False
24,40-year old,DATE,43,54,False
24,Oklahoma City,GPE,60,73,False
24,Oklahoma,GPE,75,83,False
24,first,ORDINAL,96,101,False
24,the State of Oklahoma,GPE,127,148,False
24,the 1980s,DATE,155,164,False
24,April,DATE,205,210,False
25,Hollywood,GPE,0,9,False
25,Asian,NORP,10,15,False
25,Philip Ahn,PERSON,17,27,True
25,Race,ORG,49,53,False
25,Twentieth-Century American Cinema,ORG,57,90,False
25,Request PDF,PERSON,93,104,True
25,Hollywood,GPE,105,114,False
25,Asian,NORP,115,120,False
25,Philip Ahn,PERSON,122,132,True
25,Race,ORG,154,158,False
25,"Twentieth-Century American Cinema
Authors",ORG,162,203,False
26,Cris Alexander,PERSON,0,14,True
26,Saratoga Springs,GPE,23,39,False
26,1974,DATE,43,47,False
26,a few years,DATE,49,60,False
27,Joe McCarthy,PERSON,3,15,True
27,Fred Allen's,PERSON,17,29,True
27,Fred,PERSON,45,49,True
27,1901-1954,DATE,51,60,False
27,Allan,PERSON,80,85,True
27,Ruth,PERSON,95,99,True
27,Cary,PERSON,119,123,True
27,Dorothy,PERSON,125,132,True
27,1904-1981,DATE,134,143,False
27,Correspond,PERSON,147,157,True
28,Rex Allen,PERSON,9,18,True
28,1970s,DATE,30,35,False
28,Dale Evans,PERSON,177,187,True
29,George Alvarez,PERSON,0,14,True
29,Cuban,NORP,20,25,False
29,The Young and the Restless and The Bold,WORK_OF_ART,75,114,False
29,General Hospital,ORG,161,177,False
29,first,ORDINAL,191,196,False
29,Rafael,GPE,227,233,False
30,Ed Ames,PERSON,0,7,True
30,American,NORP,14,22,False
30,8,CARDINAL,34,35,False
30,the Boston Choral Union,ORG,160,183,False
30,100th,ORDINAL,191,196,False
31,Peter Hackes,PERSON,0,12,True
31,American TV 2000,ORG,28,44,False
31,CBS,ORG,58,61,False
31,WBTV,ORG,66,70,False
31,CBS,ORG,92,95,False
31,Charlotte,GPE,112,121,False
31,North Carolina,GPE,123,137,False
31,WBTV,ORG,146,150,False
31,CBS,ORG,173,176,False
31,North Carolina,GPE,196,210,False
32,Brian Hallisay,PERSON,0,14,True
32,American,NORP,21,29,False
32,The Vampire Diaries,ORG,87,106,False
32,"February 13th, 1987",DATE,123,142,False
32,first,ORDINAL,148,153,False
33,Charles Halton,PERSON,0,14,True
33,American,NORP,22,30,False
34,Sean Hampton,PERSON,0,12,True
34,American,NORP,19,27,False
34,Acting===,ORG,144,153,False
34,Sean,NORP,192,196,False
35,Gerald Okamura,PERSON,0,14,True
35,American,NORP,21,29,False
35,Crouching Tiger,ORG,150,165,False
35,Hidden Dragon,PERSON,167,180,True
35,Kill Bill,PERSON,185,194,True
36,Michael Marisi Ornstein,PERSON,0,23,True
36,American,NORP,30,38,False
36,2005,DATE,49,53,False
36,the second season,DATE,64,81,False
36,NBC,ORG,85,88,False
36,America,GPE,108,115,False
36,Ornstein,ORG,130,138,False
36,Theatre,GPE,162,169,False
36,the New College of California,ORG,175,204,False
36,Berkeley,GPE,208,216,False
37,Jefferson Osborne,PERSON,0,17,True
37,American,NORP,25,33,False
37,19th July 2019,DATE,45,59,False
37,US,GPE,94,96,False
37,Migos,GPE,169,174,False
38,Murray Valeriano,PERSON,0,16,True
38,American,NORP,23,31,False
38,CGI,ORG,55,58,False
38,New York City,GPE,113,126,False
38,1977,DATE,130,134,False
38,the University of California,ORG,173,201,False
39,Rick Vallin,PERSON,0,11,True
39,5,CARDINAL,38,39,False
39,The Muppet Show,LOC,49,64,False
39,Donny Most's,LAW,84,96,False
39,Episode 303,DATE,138,149,False
40,Barry Van Dyke,PERSON,0,14,True
40,the first season,DATE,76,92,False
40,The Dick Van Dyke Show,ORG,96,118,False
40,Edie Adams,PERSON,129,139,True
40,second,ORDINAL,197,203,False
41,Robert G. Vignola,PERSON,0,17,True
41,Italian,NORP,25,32,False
41,Detective Phil Kellerman,PERSON,118,142,True
41,NBC,ORG,154,157,False
41,Law & Order,ORG,165,176,False
41,Taxi,PERSON,205,209,True
41,second,ORDINAL,235,241,False
42,Bill Randolph,PERSON,0,13,True
42,American,NORP,20,28,False
42,Bob Loblaw,PERSON,70,80,True
42,2015,DATE,89,93,False
42,American,NORP,94,102,False
42,The Loblaw Effect,WORK_OF_ART,121,138,False
42,2015,DATE,173,177,False
43,July,DATE,3,7,False
43,Jeremy Renner,PERSON,9,22,True
43,FX,ORG,52,54,False
43,George R.R. Martin's,PERSON,84,104,True
43,Fire,ORG,123,127,False
43,HBO,ORG,136,139,False
43,George R.R. Martin,PERSON,144,162,True
43,Thrones,ORG,198,205,False
44,Jim Nabors,PERSON,0,10,True
44,Sergeant 1st,DATE,32,44,False
44,the United States Army,ORG,54,76,False
44,World War II,EVENT,120,132,False
44,Nashville,GPE,165,174,False
44,Tennessee,GPE,176,185,False
45,Conrad Nagel,PERSON,0,12,True
45,American,NORP,20,28,False
45,1940,DATE,87,91,False
46,Craig Richard Nelson,PERSON,0,20,True
46,American,NORP,27,35,False
46,Howard Ratner,PERSON,101,114,True
46,FX,ORG,122,124,False
46,Gus Grissom,PERSON,161,172,True
46,Earth,LOC,185,190,False
46,Moon,PERSON,198,202,True
47,The Bob Newhart Show,PERSON,5,25,True
47,Newhart,GPE,27,34,False
47,the weekend,DATE,106,117,False
47,the east coast,LOC,141,155,False
48,2006,DATE,3,7,False
48,Paul Newman,PERSON,9,20,True
48,Safe 4 Kids,ORG,37,48,False
48,2010,DATE,160,164,False
48,The Newman/Haas Racing Foundation,ORG,168,201,False
49,Lance E. Nichols,PERSON,0,16,True
49,American,NORP,23,31,False
49,1990s,DATE,43,48,False
49,English,LANGUAGE,102,109,False
49,BioWare Anthology - Biotic Mage,ORG,135,166,False
50,Stuart Nisbet,PERSON,0,13,True
50,American,NORP,21,29,False
50,New York City,GPE,56,69,False
50,one,CARDINAL,140,143,False
50,two,CARDINAL,147,150,False
50,The Twilight Zone,WORK_OF_ART,206,223,False
50,first,ORDINAL,229,234,False
51,Jack Norton,PERSON,0,11,True
51,American,NORP,19,27,False
51,1940s,DATE,38,43,False
51,1908,DATE,140,144,False
51,The Man,WORK_OF_ART,164,171,False
52,Ramon Novarro,PERSON,0,13,True
52,"Mexican Diplomat
Author(s",ORG,59,84,False
52,Maria J. Montoya,PERSON,87,103,True
52,Genre,PERSON,113,118,True
52,May 20,DATE,162,168,False
52,202,CARDINAL,170,173,False
53,Al Israel,PERSON,0,9,True
53,American,NORP,18,26,False
53,Marc Blitzstein's,ORG,115,132,False
53,Henry King,PERSON,181,191,True
54,Dennis James,PERSON,0,12,True
54,American,NORP,20,28,False
54,first,ORDINAL,84,89,False
54,Wheel of Fortune,WORK_OF_ART,116,132,False
54,second,ORDINAL,143,149,False
54,daytime,TIME,187,194,False
54,Press Your Luck,WORK_OF_ART,207,222,False
55,Kevin James,PERSON,0,11,True
55,American,NORP,18,26,False
56,Peter Francis James,PERSON,0,19,True
56,American,NORP,26,34,False
56,Peter Pan,PERSON,89,98,True
56,Broadway,FAC,106,114,False
56,The Boy Who Drew Cloud,WORK_OF_ART,146,168,False
56,Captain Hook,PERSON,185,197,True
56,Peter,PERSON,199,204,True
56,first,ORDINAL,222,227,False
56,Peter,PERSON,239,244,True
57,David Janes,PERSON,8,19,True
57,American,NORP,26,34,False
57,Max Brady,PERSON,112,121,True
57,General Hospital,ORG,153,169,False
57,1972,DATE,175,179,False
57,1990,DATE,186,190,False
58,Christopher Jaymes,PERSON,0,18,True
58,American,NORP,25,33,False
58,410,CARDINAL,55,58,False
58,YouTube,ORG,77,84,False
58,410,CARDINAL,128,131,False
58,Mark Hoppus,PERSON,143,154,True
58,410,CARDINAL,173,176,False
59,Gregory Jbara,PERSON,0,13,True
59,American,NORP,20,28,False
59,the Halloween II,EVENT,126,142,False
59,1981,DATE,144,148,False
59,John Kramer,PERSON,187,198,True
60,Miami,GPE,0,5,False
60,Don Johnson,PERSON,13,24,True
60,Philip Michael,PERSON,29,43,True
60,Michael Sweeney,PERSON,73,88,True
60,"March 10, 2017 • 10:52 am",DATE,89,114,False
60,Don,PERSON,115,118,True
61,Keean Johnson,PERSON,0,13,True
61,American,NORP,20,28,False
61,Burt,PERSON,81,85,True
61,A Christmas Story: The Musical,WORK_OF_ART,90,120,False
61,George,PERSON,129,135,True
61,Aladdin,ORG,140,147,False
62,Richard Garrick,PERSON,0,15,True
62,Irish,NORP,23,28,False
62,American,NORP,34,42,False
62,the 1930s,DATE,62,71,False
62,the 1960s,DATE,75,84,False
62,1948,DATE,146,150,False
62,Johnny Eager,PERSON,153,165,True
63,Tyrese Gibson,PERSON,0,13,True
63,Tyrese,NORP,42,48,False
63,American,NORP,57,65,False
63,Tyrese Gibson,PERSON,108,121,True
63,R&B,ORG,160,163,False
63,Boyz II Men,ORG,176,187,False
64,Working 12-Hour Days,LAW,33,53,False
64,Penn Badgley,PERSON,76,88,True
64,12-hour,TIME,109,116,False
64,days,DATE,117,121,False
64,Blake Lively,PERSON,139,151,True
64,"Easy A. 
  
",PERSON,156,168,True
65,Ron Balicki,PERSON,0,11,True
65,American,NORP,18,26,False
65,2004,DATE,37,41,False
65,York University,ORG,54,69,False
65,Sibbet,PERSON,85,91,True
65,Christopher Robin,PERSON,112,129,True
65,Fox,PERSON,167,170,True
65,Aardman Anim,PERSON,182,194,True
66,Roy Barcroft,PERSON,0,12,True
66,American,NORP,20,28,False
66,first,ORDINAL,50,55,False
66,The Sheriff of Nottingham,WORK_OF_ART,63,88,False
66,"September 9, 1966",DATE,92,109,False
66,the 13th,DATE,115,123,False
66,the second season,DATE,135,152,False
66,ABC,ORG,160,163,False
67,Roy Barcroft,PERSON,0,12,True
67,American,NORP,20,28,False
67,Bogey,PERSON,85,90,True
67,second,ORDINAL,98,104,False
67,Terry,PERSON,106,111,True
67,Terry and the Pirates,WORK_OF_ART,120,141,False
67,Bogey,PERSON,155,160,True
67,second,ORDINAL,168,174,False
67,Terry and,WORK_OF_ART,197,206,False
68,Wesley Barry,PERSON,0,12,True
68,American,NORP,20,28,False
68,the 1970s,DATE,45,54,False
68,80s,DATE,59,62,False
68,John Barrowman,PERSON,103,117,True
69,John Barrymore,PERSON,5,19,True
69,Hamlet,WORK_OF_ART,27,33,False
69,40 years ago,DATE,44,56,False
69,Shakespeare,PERSON,133,144,True
70,Richard Eastham,PERSON,0,15,True
70,Dickinson Swift Eastham,ORG,25,48,False
70,Eastham,PERSON,60,67,True
70,30 October 1908,DATE,69,84,False
70,27 June 2007,DATE,87,99,False
70,British,NORP,108,115,False
70,Treasury,ORG,173,181,False
71,Dan Eberle,PERSON,0,10,True
71,American,NORP,17,25,False
71,4th,ORDINAL,38,41,False
71,the Hollywood Wax Museum,ORG,52,76,False
71,Fargo,GPE,83,88,False
71,ND,GPE,90,92,False
71,74 years old,DATE,105,117,False
71,April 2019,DATE,121,131,False
71,Early Years,DATE,136,147,False
71,Dan Eberle,PERSON,151,161,True
72,Wild Bill Elliott,PERSON,0,17,True
72,American,NORP,25,33,False
72,Western,NORP,61,68,False
72,West,LOC,163,167,False
72,Elliott,PERSON,169,176,True
73,Alvin Epstein,PERSON,0,13,True
73,American,NORP,21,29,False
73,Century,DATE,45,52,False
73,Fox,ORG,53,56,False
73,the 1930s to 1960s,DATE,73,91,False
73,the mid-1920s,DATE,123,136,False
74,Sydney Lassick,PERSON,0,14,True
74,American,NORP,22,30,False
74,100 or so years ago,DATE,45,64,False
75,Sydney Lassick,PERSON,0,14,True
75,American,NORP,22,30,False
75,180 cm,QUANTITY,45,51,False
75,American,NORP,96,104,False
75,June 1932,DATE,137,146,False
75,2017,DATE,160,164,False
76,Mordecai Lawner,PERSON,0,15,True
76,American,NORP,23,31,False
76,the late 1950s,DATE,109,123,False
76,early 1960s,DATE,128,139,False
76,Will the Real Elvis Please,WORK_OF_ART,162,188,False
76,Sit Down,PERSON,189,197,True
77,Francis Lederer,PERSON,0,15,True
77,Austrian,NORP,23,31,False
77,American,NORP,37,45,False
77,MGM,ORG,92,95,False
77,Fox,ORG,111,114,False
77,Warner Bros,ORG,119,130,False
77,African,NORP,175,182,False
77,David O. Selznick,PERSON,215,232,True
78,Conan Lee Gray,PERSON,0,14,True
78,American,NORP,21,29,False
78,Innovative Artists,ORG,84,102,False
78,Conan Lee Gray,PERSON,173,187,True
79,Matt Kane,PERSON,0,9,True
79,English,LANGUAGE,16,23,False
79,Filmography==,ORG,55,68,False
79,"Year	Title 	Role
",DATE,80,97,False
79,2012,DATE,97,101,False
79,Alice,GPE,102,107,False
79,Wonderland,GPE,111,121,False
79,2014,DATE,129,133,False
79,Furiosa,ORG,134,141,False
80,Robert Kellard,PERSON,0,14,True
80,Robert Stevens,PERSON,20,34,True
80,8th,ORDINAL,43,46,False
80,Alan Barnes,PERSON,120,131,True
80,Brigadier,ORG,166,175,False
80,Robert Stevens,PERSON,211,225,True
81,Barry Kelley,PERSON,0,12,True
81,Broadway 1953 to 1999,EVENT,29,50,False
81,The Lucy–Desi Comedy Hour,WORK_OF_ART,72,97,False
81,The Danny Thomas Show,PERSON,99,120,True
81,"Love, American Style, The Merv Griffin Show",WORK_OF_ART,122,165,False
82,Conrad Yama,PERSON,0,11,True
82,Kiyoshi Conrad Hamanaka,PERSON,17,40,True
82,Nazi,NORP,57,61,False
82,U.S.,GPE,114,118,False
82,CIA,ORG,162,165,False
82,FBI,ORG,174,177,False
83,Malik Yoba,PERSON,0,10,True
83,George Floyd,PERSON,86,98,True
83,George Floyd,PERSON,103,115,True
83,American,NORP,190,198,False
84,Jeff York,PERSON,0,9,True
84,American,NORP,17,25,False
84,8mm,QUANTITY,35,38,False
84,"March 15, 1917",DATE,54,68,False
84,Santa Fe,GPE,72,80,False
84,NM,ORG,82,84,False
84,"July 10, 2012",DATE,94,107,False
84,Malibu,GPE,123,129,False
84,CA,ORG,131,133,False
85,Victor Sen Yung,PERSON,4,19,True
85,Los Angeles,GPE,125,136,False
86,Raoul Walsh,PERSON,0,11,True
86,The True Adventures of,ORG,13,35,False
86,Hollywood,GPE,36,45,False
86,1930s,DATE,48,53,False
86,Raoul Walsh,PERSON,60,71,True
86,one,CARDINAL,73,76,False
86,the Golden Age of,FAC,112,129,False
86,Hollywood,GPE,130,139,False
87,Bryant Washburn,PERSON,0,15,True
87,American,NORP,23,31,False
87,the late 1970s,DATE,51,65,False
87,early 1980s,DATE,70,81,False
88,Robert Paige,PERSON,0,12,True
88,1971,DATE,32,36,False
88,the University of Florida,ORG,49,74,False
88,Filmography==,ORG,79,92,False
88,"Year	Title 	Role 	Notes
1973",DATE,104,132,False
88,Fever,GPE,133,138,False
89,Timothy Britten Parker,PERSON,0,22,True
89,Toby,ORG,38,42,False
89,22,DATE,47,49,False
89,the United States,GPE,78,95,False
89,the 1980s,DATE,99,108,False
90,2008,DATE,3,7,False
90,Gordon Parks Foundation,ORG,14,37,False
90,"14,000",CARDINAL,47,53,False
90,"1,300",CARDINAL,79,84,False
90,the Museum of Modern Art,ORG,105,129,False
90,Gordon,PERSON,180,186,True
91,Larry Parks,PERSON,0,11,True
91,Barry,PERSON,95,100,True
91,Larry Parks,PERSON,102,113,True
91,Barry Newman,PERSON,147,159,True
91,Newman,ORG,186,192,False
92,Michael Parks,PERSON,0,13,True
92,American,NORP,21,29,False
92,70,CARDINAL,41,43,False
92,80,DATE,50,52,False
92,You Should Be Dancing,WORK_OF_ART,103,124,False
93,American,NORP,23,31,False
93,10 years,DATE,45,53,False
93,first,ORDINAL,84,89,False
93,the American Dairy Association,ORG,215,245,False
93,2,CARDINAL,253,254,False
94,Jarrad Paul,PERSON,0,11,True
94,American,NORP,18,26,False
94,digital ink & paint,ORG,65,84,False
94,first,ORDINAL,97,102,False
94,Raging Bully,WORK_OF_ART,151,163,False
94,American,NORP,174,182,False
94,first,ORDINAL,213,218,False
95,Aasif Mandvi,PERSON,0,12,True
95,15-year-old,DATE,48,59,False
95,Muslim,NORP,60,66,False
95,October 2003,DATE,178,190,False
96,Aasif Mandvi,PERSON,0,12,True
96,2004,DATE,48,52,False
96,the American Film Institute Conservatory,ORG,67,107,False
96,Cinematography,ORG,125,139,False
96,Aasif Mandvi,PERSON,184,196,True
96,YouTube,PRODUCT,221,228,False
97,Viktor Manoel,PERSON,0,13,True
97,Mexican,NORP,19,26,False
97,American,NORP,27,35,False
97,New York City’s,GPE,103,118,False
97,Ailey School,ORG,119,131,False
97,the Ailey II,LAW,152,164,False
97,Ailey III,PERSON,169,178,True
97,Alvin,PERSON,204,209,True
98,Maurice Manson,PERSON,0,14,True
98,Canadian,NORP,21,29,False
98,American,NORP,67,75,False
98,the World Turns,ORG,90,105,False
98,1995,DATE,107,111,False
98,Mark Davidson,PERSON,130,143,True
98,Guiding,ORG,195,202,False
99,Anthony Marciona,PERSON,0,16,True
99,American,NORP,24,32,False
99,Adam Chandler,PERSON,181,194,True
99,DALLAS,GPE,199,205,False
99,Michael,PERSON,208,215,True
100,Robert Davi,PERSON,14,25,True
100,30-year-old,DATE,34,45,False
100,first,ORDINAL,91,96,False
100,Robert Davi,PERSON,103,114,True
100,30-year-old,DATE,127,138,False
100,NBA,ORG,153,156,False
100,Sunday,DATE,167,173,False
101,Jesse De Vorska,PERSON,0,15,True
101,Russian,NORP,22,29,False
101,American,NORP,35,43,False
101,the first decades,DATE,90,107,False
101,Jesse De Vors,PERSON,238,251,True
102,Howard Caine,PERSON,0,12,True
102,American,NORP,20,28,False
102,98,CARDINAL,46,48,False
102,Jack Webb,PERSON,89,98,True
102,1951-1959,DATE,127,136,False
102,Caine,ORG,138,143,False
103,Steve Calvert,PERSON,0,13,True
103,1970s,DATE,42,47,False
103,Jungle,WORK_OF_ART,133,139,False
103,1970,DATE,150,154,False
104,Johnny Cannizzaro,PERSON,0,17,True
104,American,NORP,24,32,False
104,CBS,ORG,115,118,False
104,Fox,ORG,120,123,False
104,NBC,ORG,125,128,False
104,ABC,ORG,134,137,False
104,the History Channel,ORG,139,158,False
104,The Lifetime Network,WORK_OF_ART,160,180,False
104,The Hallmark Channel,ORG,182,202,False
104,Adult Swim,PERSON,212,222,True
105,Hoagy Carmichael's,PERSON,42,60,True
105,1930s &,ORG,61,68,False
105,Hoagy Carmichael,PERSON,104,120,True
105,February 1990,DATE,141,154,False
105,EMI,ORG,162,165,False
106,Charles Quinlivan,PERSON,0,17,True
106,5 years ago,DATE,41,52,False
106,"5,000",MONEY,65,70,False
106,two,CARDINAL,90,93,False
106,annual,DATE,94,100,False
106,2 years,DATE,120,127,False
106,today,DATE,133,138,False
106,first,ORDINAL,144,149,False
106,three,CARDINAL,166,171,False
106,second,ORDINAL,194,200,False
107,Jane Alexander,PERSON,0,14,True
107,American,NORP,21,29,False
107,1972,DATE,47,51,False
107,Miss America,PERSON,52,64,True
107,Alexander,PERSON,108,117,True
107,the University of California at Berkeley,ORG,157,197,False
108,Barbara Bain,PERSON,0,12,True
108,American,NORP,19,27,False
108,George Lindsey,PERSON,85,99,True
109,Lucille Ball FAQ,PERSON,0,16,True
109,Steve Ganz,PERSON,52,62,True
109,the Lucille Ball Appreciation Page,ORG,67,101,False
109,7 Jan 99,DATE,121,129,False
109,7 Jan 99,DATE,143,151,False
110,South Carolina,GPE,3,17,False
110,Ethel Barrymore - 90s-40s,PERSON,19,44,True
110,1907-1936,DATE,47,56,False
110,American,NORP,59,67,False
110,James Barry -,PERSON,92,105,True
110,1795-1865,DATE,107,116,False
110,Scottish,NORP,119,127,False
111,Barbara Billingsley,PERSON,0,19,True
111,American,NORP,27,35,False
111,Barbara,PERSON,104,111,True
111,David Geffen Foundation,PERSON,116,139,True
111,The Long Island Woman,ORG,167,188,False
111,1940,DATE,190,194,False
111,Cleveland,GPE,226,235,False
112,Julie Bowen Luetkemeyer,PERSON,0,23,True
112,American,NORP,30,38,False
112,52,DATE,48,50,False
112,"July 17, 1971",DATE,60,73,False
112,St. Louis,GPE,78,87,False
112,Missouri,GPE,89,97,False
112,USA,GPE,99,102,False
112,Tom Luetkemeyer,PERSON,122,137,True
112,Bowen,PERSON,139,144,True
112,University,ORG,160,170,False
113,Marguerite Churchill,PERSON,0,20,True
113,American,NORP,28,36,False
113,1904-1927,DATE,50,59,False
113,Film Deaths,PERSON,63,74,True
113,1923,DATE,96,100,False
113,Annabel Gault,WORK_OF_ART,103,116,False
113,Charles Ray,PERSON,143,154,True
114,Jill Clayburgh,PERSON,0,14,True
114,American,NORP,22,30,False
114,Manhattan,GPE,73,82,False
114,Glengarry Glen Ross,PERSON,87,106,True
114,Clayburgh,GPE,108,117,False
114,"September 22, 2012",DATE,142,160,False
115,81,DATE,20,22,False
115,"The New York Times - Times of India Hyderabad
News",ORG,68,118,False
115,3rd,ORDINAL,141,144,False
116,Jamie Lee Curtis,PERSON,0,16,True
116,Wayback 2004,EVENT,34,46,False
116,Patrick Ryan,PERSON,67,79,True
117,Hannah Montana,PERSON,4,18,True
117,2 years later,DATE,39,52,False
117,Miley Cyrus,PERSON,95,106,True
117,second,ORDINAL,121,127,False
117,Hannah Montana,PERSON,142,156,True
118,Miley Cyrus & Her Dead,ORG,16,38,False
118,the Miley Cyrus & Her Dead,ORG,125,151,False
119,Lillian Bohny,PERSON,0,13,True
119,Billie Dove,WORK_OF_ART,39,50,False
119,American,NORP,60,68,False
119,over a hundred,CARDINAL,105,119,False
119,1916,DATE,131,135,False
119,1929,DATE,142,146,False
119,the Biograph Company,ORG,177,197,False
120,Lisa Edelstein,PERSON,0,14,True
120,American,NORP,21,29,False
120,470th Miss USA,ORG,42,56,False
120,1990,DATE,72,76,False
120,1998,DATE,139,143,False
120,Along Came Polly,PERSON,149,165,True
120,2,CARDINAL,167,168,False
121,Mia Farrow,PERSON,15,25,True
121,Darfur,GPE,32,38,False
121,60 Minutes,TIME,42,52,False
121,Peter Jennings,PERSON,72,86,True
121,Darfur,GPE,93,99,False
121,Good Morning America,EVENT,103,123,False
121,Mia Farrow,PERSON,182,192,True
121,Peter Jennings',PERSON,197,212,True
121,Darfur,GPE,230,236,False
122,Kathryn Harrold,PERSON,0,15,True
122,American,NORP,22,30,False
122,20th century,DATE,45,57,False
122,PhD,WORK_OF_ART,77,80,False
122,the University of Delaware,ORG,108,134,False
122,Afro-American,NORP,188,201,False
122,20th century,DATE,219,231,False
123,Lisa Hartman Black,PERSON,0,18,True
123,American,NORP,25,33,False
123,more than 40 years,DATE,94,112,False
123,2013,DATE,117,121,False
123,South Carolina,GPE,151,165,False
