"dominio","categoria","entita","prompt","lunghezza_char","lunghezza_parole","markup_sospetto","ha_non_ascii"
"religion","atheism","Atheism","Relative atheism is associated with idealistic ",47,6,FALSE,FALSE
"religion","atheism","Atheism","This view is related to apatheism ",34,6,FALSE,FALSE
"religion","buddhism","Buddhism","In Theravada Buddhism, a Buddha is ",35,6,FALSE,FALSE
"religion","buddhism","Tibetan_Buddhism","Tibetan Buddhism claims to teach methods for ",45,7,FALSE,FALSE
"religion","buddhism","Buddhism","In Buddhism, dukkha is one of ",30,6,FALSE,FALSE
"religion","christianity","Christian_Zionism","Political Zionism and Christian Zionism are biblically ",55,7,FALSE,FALSE
"religion","christianity","Christian_Identity","Some Christian Identity adherents follow the Mosaic ",52,7,FALSE,FALSE
"religion","christianity","Christian_Kabbalah","Christian Kabbalah ""reinterpreted Kabbalistic doctrine to a ",60,7,FALSE,FALSE
"religion","hinduism","Hindu_reform_movements","Several contemporary groups, collectively termed Hindu reform movements ",72,8,FALSE,FALSE
"religion","hinduism","Hinduism","Even among Hinduism denominations such as ",42,6,FALSE,FALSE
"religion","hinduism","Hindu_denominations","Hindu denominations are traditions within  Hinduism ",52,6,FALSE,FALSE
"religion","islam","Islam","However, Islamic law would not be ",34,6,FALSE,FALSE
"religion","islam","Islam","Throughout this expanse, Islam blended with ",44,6,FALSE,FALSE
"religion","islam","Progressive_British_Muslims","Progressive British Muslims was a group of Liberal ",51,8,FALSE,FALSE
"religion","judaism","Judaism","Conservative and Reform Judaism are more ",41,6,FALSE,FALSE
"religion","judaism","Reform_Judaism","Reform Judaism is a major Jewish denomination ",46,7,FALSE,FALSE
"religion","judaism","Judaism","), The Blackwell Companion to Judaism
Boyarin, ",47,7,FALSE,FALSE
"religion","sikhism","Sikhism","In Sikhism, the concept of ""God"" ",33,6,FALSE,FALSE
"religion","sikhism","Sikh","The Sikh school adapted Kangra painting ",40,6,FALSE,FALSE
"religion","sikhism","Sikhism","God in Sikhism has no gender, ",30,6,FALSE,FALSE
