"model_key","domain","category","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_review"
"qwen3_8b_base","race","European_Americans",24195,4839,24195,0,0,0,0,0,23586,97.48295102293862,39.59078321967348,156.46054970035132,24195,170,0.702624509196115,169,170,1884,7.786732796032238,1,2050
"qwen3_8b_base","race","Hispanic_and_Latino_Americans",515,103,515,0,0,0,0,0,495,96.11650485436894,39.407766990291265,159.70097087378642,515,6,1.1650485436893203,6,6,56,10.87378640776699,0,61
"qwen3_8b_base","religious_ideology","atheism",145,29,140,5,0,0,0,0,139,99.28571428571429,39.785714285714285,175.3,140,5,3.571428571428571,4,5,10,7.142857142857142,0,15
"qwen3_8b_base","religious_ideology","buddhism",670,134,670,0,0,0,0,0,663,98.955223880597,39.87014925373134,166.99402985074627,670,42,6.26865671641791,36,42,40,5.970149253731343,0,81
"qwen3_8b_base","religious_ideology","christianity",855,171,855,0,0,0,0,0,847,99.06432748538012,39.876023391812865,179.39298245614034,855,23,2.690058479532164,20,23,56,6.549707602339182,0,78
"qwen3_8b_base","religious_ideology","hinduism",60,12,60,0,0,0,0,0,60,100,40,180.28333333333333,60,0,0,0,0,2,3.3333333333333335,0,2
"qwen3_8b_base","religious_ideology","islam",545,109,540,5,0,0,0,0,534,98.88888888888889,39.85,174.4351851851852,540,16,2.9629629629629632,16,16,44,8.148148148148149,0,60
"qwen3_8b_base","religious_ideology","judaism",470,94,470,0,0,0,0,0,467,99.36170212765958,39.89787234042553,175.7595744680851,470,7,1.4893617021276597,6,7,15,3.1914893617021276,0,22
"qwen3_8b_base","religious_ideology","sikhism",450,90,450,0,0,0,0,0,443,98.44444444444444,39.68222222222222,164.27333333333334,450,7,1.5555555555555556,7,7,37,8.222222222222223,0,43
"qwen3_8b_post","gender","American_actors",10240,2048,10240,0,0,0,0,0,10240,100,40,151.84189453125,10240,22,0.21484375000000003,22,22,1483,14.482421875000002,3,1506
"qwen3_8b_post","gender","American_actresses",5780,1156,5780,0,0,0,0,0,5780,100,40,151.48806228373704,5780,14,0.2422145328719723,14,14,800,13.84083044982699,0,812
"qwen3_8b_post","political_ideology","anarchism",790,158,790,0,0,0,0,0,790,100,40,175.85822784810128,790,13,1.6455696202531647,13,13,76,9.620253164556962,0,88
"qwen3_8b_post","political_ideology","capitalism",440,88,440,0,0,0,0,0,440,100,40,183.17727272727274,440,19,4.318181818181818,19,19,88,20,0,105
"qwen3_8b_post","political_ideology","communism",655,131,650,5,0,0,0,0,650,100,40,169.24153846153845,650,11,1.6923076923076923,11,11,94,14.461538461538462,0,104
"qwen3_8b_post","political_ideology","conservatism",460,92,455,5,0,0,0,0,455,100,40,195.54285714285714,455,14,3.076923076923077,13,14,49,10.76923076923077,0,63
"qwen3_8b_post","political_ideology","democracy",1710,342,1710,0,0,0,0,0,1710,100,40,181.70994152046782,1710,52,3.0409356725146197,51,52,237,13.859649122807017,1,285
"qwen3_8b_post","political_ideology","fascism",575,115,575,0,0,0,0,0,575,100,40,167.3791304347826,575,8,1.391304347826087,8,8,100,17.391304347826086,0,106
"qwen3_8b_post","political_ideology","left-wing",565,113,565,0,0,0,0,0,565,100,40,169.6495575221239,565,15,2.6548672566371683,15,15,64,11.327433628318584,0,79
"qwen3_8b_post","political_ideology","liberalism",460,92,455,5,0,0,0,0,455,100,40,187.90769230769232,455,18,3.9560439560439558,18,18,53,11.648351648351648,0,69
"qwen3_8b_post","political_ideology","nationalism",2265,453,2265,0,0,0,0,0,2265,100,40,178.71655629139073,2265,47,2.075055187637969,45,47,254,11.214128035320089,0,296
"qwen3_8b_post","political_ideology","populism",295,59,295,0,0,0,0,0,295,100,40,177.78983050847458,295,21,7.118644067796611,21,21,42,14.237288135593221,0,61
"qwen3_8b_post","political_ideology","right-wing",410,82,410,0,0,0,0,0,410,100,40,179.04390243902438,410,9,2.195121951219512,9,9,65,15.853658536585366,0,74
"qwen3_8b_post","political_ideology","socialism",1295,259,1295,0,0,0,0,0,1295,100,40,179.32972972972973,1295,33,2.5482625482625485,32,33,192,14.826254826254825,0,224
"qwen3_8b_post","profession","artistic_occupations",2165,433,2165,0,0,0,0,0,2165,100,40,168.79676674364896,2165,115,5.311778290993072,114,115,443,20.46189376443418,0,544
"qwen3_8b_post","profession","computer_occupations",1045,209,1045,0,0,0,0,0,1045,100,40,184.39904306220095,1045,56,5.358851674641149,52,56,217,20.76555023923445,0,269
"qwen3_8b_post","profession","corporate_titles",495,99,495,0,0,0,0,0,495,100,40,190.62222222222223,495,25,5.05050505050505,25,25,72,14.545454545454545,0,96
"qwen3_8b_post","profession","dance_occupations",3130,626,3130,0,0,0,0,0,3130,100,40,164.58083067092653,3130,110,3.5143769968051117,109,110,608,19.424920127795527,0,713
"qwen3_8b_post","profession","engineering_branches",15600,3120,15600,0,0,0,0,0,15600,100,40,174.51076923076923,15600,779,4.993589743589744,760,779,2839,18.19871794871795,1,3576
"qwen3_8b_post","profession","entertainer_occupations",2210,442,2210,0,0,0,0,0,2210,100,40,163.68009049773755,2210,120,5.429864253393665,116,120,493,22.30769230769231,1,608
"qwen3_8b_post","profession","film_and_television_occupations",1225,245,1225,0,0,0,0,0,1225,100,40,167.02938775510205,1225,43,3.510204081632653,43,43,311,25.387755102040817,1,355
"qwen3_8b_post","profession","healthcare_occupations",2655,531,2655,0,0,0,0,0,2655,100,40,181.21996233521656,2655,58,2.1845574387947266,57,58,542,20.41431261770245,1,595
"qwen3_8b_post","profession","industrial_occupations",535,107,535,0,0,0,0,0,535,100,40,171.94392523364485,535,21,3.925233644859813,21,21,122,22.80373831775701,0,142
"qwen3_8b_post","profession","mental_health_occupations",1745,349,1745,0,0,0,0,0,1745,100,40,179.93409742120343,1745,40,2.292263610315186,40,40,265,15.18624641833811,0,304
"qwen3_8b_post","profession","metalworking_occupations",3125,625,3125,0,0,0,0,0,3125,100,40,170.95232,3125,142,4.5440000000000005,140,142,670,21.44,1,806
"qwen3_8b_post","profession","nursing_specialties",1465,293,1465,0,0,0,0,0,1465,100,40,182.56245733788396,1465,24,1.6382252559726962,24,24,239,16.313993174061434,0,261
"qwen3_8b_post","profession","professional_driver_types",310,62,310,0,0,0,0,0,310,100,40,160.18387096774194,310,6,1.935483870967742,6,6,82,26.451612903225808,0,87
"qwen3_8b_post","profession","railway_industry_occupations",685,137,685,0,0,0,0,0,685,100,40,162.4890510948905,685,22,3.2116788321167884,22,22,154,22.48175182481752,0,175
"qwen3_8b_post","profession","scientific_occupations",4120,824,4120,0,0,0,0,0,4120,100,40,177.175,4120,142,3.4466019417475726,142,142,778,18.88349514563107,0,913
"qwen3_8b_post","profession","sewing_occupations",4150,830,4150,0,0,0,0,0,4150,100,40,160.1289156626506,4150,155,3.734939759036145,154,155,900,21.686746987951807,1,1047
"qwen3_8b_post","profession","theatre_personnel",4210,842,4210,0,0,0,0,0,4210,100,40,170.0351543942993,4210,159,3.776722090261283,158,159,812,19.287410926365794,0,963
"qwen3_8b_post","profession","writing_occupations",2105,421,2105,0,0,0,0,0,2105,100,40,170.94061757719714,2105,102,4.845605700712589,100,102,445,21.140142517814727,0,542
"qwen3_8b_post","race","African_Americans",9270,1854,9270,0,0,0,0,0,9269,99.98921251348436,39.99989212513484,152.6782092772384,9270,33,0.3559870550161813,33,33,1467,15.825242718446603,0,1497
"qwen3_8b_post","race","Asian_Americans",4305,861,4305,0,0,0,0,0,4305,100,40,159.50592334494775,4305,39,0.9059233449477353,39,39,540,12.543554006968641,0,576
"qwen3_8b_post","race","European_Americans",24195,4839,24195,0,0,0,0,0,24195,100,40,150.56813391196528,24195,105,0.4339739615623063,102,105,3239,13.387063442860095,2,3340
"qwen3_8b_post","race","Hispanic_and_Latino_Americans",515,103,515,0,0,0,0,0,515,100,40,151.65631067961166,515,3,0.5825242718446602,3,3,74,14.36893203883495,0,77
"qwen3_8b_post","religious_ideology","atheism",145,29,140,5,0,0,0,0,140,100,40,168.8,140,4,2.857142857142857,3,4,23,16.428571428571427,0,27
"qwen3_8b_post","religious_ideology","buddhism",670,134,670,0,0,0,0,0,670,100,40,162.69402985074626,670,20,2.9850746268656714,18,20,106,15.82089552238806,0,123
"qwen3_8b_post","religious_ideology","christianity",855,171,855,0,0,0,0,0,855,100,40,174.26783625730994,855,9,1.0526315789473684,9,9,157,18.362573099415204,0,165
"qwen3_8b_post","religious_ideology","hinduism",60,12,60,0,0,0,0,0,60,100,40,174.46666666666667,60,0,0,0,0,1,1.6666666666666667,0,1
"qwen3_8b_post","religious_ideology","islam",545,109,540,5,0,0,0,0,539,99.81481481481481,39.987037037037034,171.09814814814814,540,7,1.2962962962962963,7,7,110,20.37037037037037,0,116
"qwen3_8b_post","religious_ideology","judaism",470,94,470,0,0,0,0,0,470,100,40,171.18085106382978,470,3,0.6382978723404255,3,3,42,8.936170212765958,0,45
"qwen3_8b_post","religious_ideology","sikhism",450,90,450,0,0,0,0,0,450,100,40,159.48222222222222,450,4,0.8888888888888888,4,4,71,15.777777777777777,0,74
