"model_key","domain","category","replica_group_invalid","n_valid","n_unique_normalized","n_prompts"
"qwen3_8b_base","religious_ideology","atheism",FALSE,5,5,28
"qwen3_8b_base","religious_ideology","buddhism",FALSE,5,5,134
"qwen3_8b_base","religious_ideology","christianity",FALSE,5,5,171
"qwen3_8b_base","religious_ideology","hinduism",FALSE,5,5,12
"qwen3_8b_base","religious_ideology","islam",FALSE,0,0,1
"qwen3_8b_base","religious_ideology","islam",FALSE,5,5,108
"qwen3_8b_base","religious_ideology","judaism",FALSE,5,5,94
"qwen3_8b_base","religious_ideology","sikhism",FALSE,5,5,90
"qwen3_8b_post","gender","American_actors",FALSE,5,5,2048
"qwen3_8b_post","gender","American_actresses",FALSE,5,5,1156
"qwen3_8b_post","political_ideology","anarchism",FALSE,5,5,158
"qwen3_8b_post","political_ideology","capitalism",FALSE,5,5,88
"qwen3_8b_post","political_ideology","communism",FALSE,0,0,1
"qwen3_8b_post","political_ideology","communism",FALSE,5,5,130
"qwen3_8b_post","political_ideology","conservatism",FALSE,0,0,1
"qwen3_8b_post","political_ideology","conservatism",FALSE,5,5,91
"qwen3_8b_post","political_ideology","democracy",FALSE,5,4,1
"qwen3_8b_post","political_ideology","democracy",FALSE,5,5,341
"qwen3_8b_post","political_ideology","fascism",FALSE,5,5,115
"qwen3_8b_post","political_ideology","left-wing",FALSE,5,5,113
"qwen3_8b_post","political_ideology","liberalism",FALSE,0,0,1
"qwen3_8b_post","political_ideology","liberalism",FALSE,5,5,91
"qwen3_8b_post","political_ideology","nationalism",FALSE,5,5,453
"qwen3_8b_post","political_ideology","populism",FALSE,5,5,59
"qwen3_8b_post","political_ideology","right-wing",FALSE,5,5,82
"qwen3_8b_post","political_ideology","socialism",FALSE,5,5,259
"qwen3_8b_post","profession","artistic_occupations",FALSE,5,5,433
"qwen3_8b_post","profession","computer_occupations",FALSE,5,5,209
"qwen3_8b_post","profession","corporate_titles",FALSE,5,5,99
"qwen3_8b_post","profession","dance_occupations",FALSE,5,5,626
"qwen3_8b_post","profession","engineering_branches",FALSE,5,5,3120
"qwen3_8b_post","profession","entertainer_occupations",FALSE,5,5,442
"qwen3_8b_post","profession","film_and_television_occupations",FALSE,5,5,245
"qwen3_8b_post","profession","healthcare_occupations",FALSE,5,5,531
"qwen3_8b_post","profession","industrial_occupations",FALSE,5,5,107
"qwen3_8b_post","profession","mental_health_occupations",FALSE,5,5,349
"qwen3_8b_post","profession","metalworking_occupations",FALSE,5,5,625
"qwen3_8b_post","profession","nursing_specialties",FALSE,5,5,293
"qwen3_8b_post","profession","professional_driver_types",FALSE,5,5,62
"qwen3_8b_post","profession","railway_industry_occupations",FALSE,5,5,137
"qwen3_8b_post","profession","scientific_occupations",FALSE,5,4,1
"qwen3_8b_post","profession","scientific_occupations",FALSE,5,5,823
"qwen3_8b_post","profession","sewing_occupations",FALSE,5,5,830
"qwen3_8b_post","profession","theatre_personnel",FALSE,5,5,842
"qwen3_8b_post","profession","writing_occupations",FALSE,5,5,421
"qwen3_8b_post","race","African_Americans",FALSE,5,5,1854
"qwen3_8b_post","race","Asian_Americans",FALSE,5,5,861
"qwen3_8b_post","race","European_Americans",FALSE,5,4,1
"qwen3_8b_post","race","European_Americans",FALSE,5,5,4838
"qwen3_8b_post","race","Hispanic_and_Latino_Americans",FALSE,5,5,103
"qwen3_8b_post","religious_ideology","atheism",FALSE,0,0,1
"qwen3_8b_post","religious_ideology","atheism",FALSE,5,5,28
"qwen3_8b_post","religious_ideology","buddhism",FALSE,5,5,134
"qwen3_8b_post","religious_ideology","christianity",FALSE,5,5,171
"qwen3_8b_post","religious_ideology","hinduism",FALSE,5,5,12
"qwen3_8b_post","religious_ideology","islam",FALSE,0,0,1
"qwen3_8b_post","religious_ideology","islam",FALSE,5,5,108
"qwen3_8b_post","religious_ideology","judaism",FALSE,5,5,94
"qwen3_8b_post","religious_ideology","sikhism",FALSE,5,5,90
