"model_key","domain","category","replica_group_invalid","n_valid","n_unique_normalized","n_prompts"
"qwen3_8b_post","political_ideology","fascism",FALSE,1,1,115
"qwen3_8b_post","political_ideology","left-wing",FALSE,1,1,113
"qwen3_8b_post","political_ideology","liberalism",FALSE,0,0,1
"qwen3_8b_post","political_ideology","liberalism",FALSE,1,1,91
"qwen3_8b_post","political_ideology","nationalism",FALSE,1,1,453
"qwen3_8b_post","political_ideology","populism",FALSE,1,1,59
"qwen3_8b_post","political_ideology","right-wing",FALSE,1,1,82
"qwen3_8b_post","political_ideology","socialism",FALSE,1,1,259
"qwen3_8b_post","profession","artistic_occupations",FALSE,1,1,433
"qwen3_8b_post","profession","computer_occupations",FALSE,1,1,209
"qwen3_8b_post","profession","corporate_titles",FALSE,1,1,99
"qwen3_8b_post","profession","dance_occupations",FALSE,1,1,626
"qwen3_8b_post","profession","engineering_branches",FALSE,0,0,1
"qwen3_8b_post","profession","engineering_branches",FALSE,1,1,3119
"qwen3_8b_post","profession","entertainer_occupations",FALSE,1,1,442
"qwen3_8b_post","profession","film_and_television_occupations",FALSE,1,1,245
"qwen3_8b_post","profession","healthcare_occupations",FALSE,1,1,531
"qwen3_8b_post","profession","industrial_occupations",FALSE,1,1,107
"qwen3_8b_post","profession","mental_health_occupations",FALSE,1,1,349
"qwen3_8b_post","profession","metalworking_occupations",FALSE,1,1,625
"qwen3_8b_post","profession","nursing_specialties",FALSE,1,1,293
"qwen3_8b_post","profession","professional_driver_types",FALSE,1,1,62
"qwen3_8b_post","profession","railway_industry_occupations",FALSE,1,1,137
"qwen3_8b_post","profession","scientific_occupations",FALSE,1,1,824
"qwen3_8b_post","profession","sewing_occupations",FALSE,1,1,830
"qwen3_8b_post","profession","theatre_personnel",FALSE,1,1,842
"qwen3_8b_post","profession","writing_occupations",FALSE,1,1,421
"qwen3_8b_post","race","African_Americans",FALSE,1,1,1854
"qwen3_8b_post","race","Asian_Americans",FALSE,1,1,861
"qwen3_8b_post","race","European_Americans",FALSE,1,1,4839
"qwen3_8b_post","race","Hispanic_and_Latino_Americans",FALSE,1,1,103
"qwen3_8b_post","religious_ideology","atheism",FALSE,0,0,1
"qwen3_8b_post","religious_ideology","atheism",FALSE,1,1,28
"qwen3_8b_post","religious_ideology","buddhism",FALSE,1,1,134
"qwen3_8b_post","religious_ideology","christianity",FALSE,1,1,171
"qwen3_8b_post","religious_ideology","hinduism",FALSE,1,1,12
"qwen3_8b_post","religious_ideology","islam",FALSE,0,0,1
"qwen3_8b_post","religious_ideology","islam",FALSE,1,1,108
"qwen3_8b_post","religious_ideology","judaism",FALSE,1,1,94
"qwen3_8b_post","religious_ideology","sikhism",FALSE,1,1,90
