"model_key","domain","category","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_nul_rows","n_nul_characters","n_review"
"qwen3_8b_post","political_ideology","capitalism",88,88,88,0,0,0,0,0,88,100,40,192.4431818181818,88,0,0,0,0,1,1.1363636363636365,0,0,0,1
"qwen3_8b_post","political_ideology","communism",131,131,130,1,0,0,0,0,130,100,40,179.30769230769232,130,0,0,0,0,2,1.5384615384615385,0,0,0,2
"qwen3_8b_post","political_ideology","conservatism",92,92,91,1,0,0,0,0,91,100,40,199.36263736263737,91,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","political_ideology","democracy",342,342,342,0,0,0,0,0,342,100,40,186.26315789473685,342,0,0,0,0,5,1.461988304093567,1,0,0,6
"qwen3_8b_post","political_ideology","fascism",115,115,115,0,0,0,0,0,115,100,40,177.57391304347826,115,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","political_ideology","left-wing",113,113,113,0,0,0,0,0,113,100,40,178.69911504424778,113,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","political_ideology","liberalism",92,92,91,1,0,0,0,0,91,100,40,197.1868131868132,91,0,0,0,0,1,1.098901098901099,0,0,0,1
"qwen3_8b_post","political_ideology","nationalism",453,453,453,0,0,0,0,0,453,100,40,183.05518763796908,453,0,0,0,0,4,0.8830022075055187,0,0,0,4
"qwen3_8b_post","political_ideology","populism",59,59,59,0,0,0,0,0,59,100,40,184.20338983050848,59,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","political_ideology","right-wing",82,82,82,0,0,0,0,0,82,100,40,181.5487804878049,82,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","political_ideology","socialism",259,259,259,0,0,0,0,0,259,100,40,186.24324324324326,259,0,0,0,0,4,1.5444015444015444,0,0,0,4
"qwen3_8b_post","profession","artistic_occupations",433,433,433,0,0,0,0,0,433,100,40,180.1339491916859,433,0,0,0,0,1,0.23094688221709006,0,0,0,1
"qwen3_8b_post","profession","computer_occupations",209,209,209,0,0,0,0,0,209,100,40,195.71291866028707,209,0,0,0,0,1,0.4784688995215311,0,0,0,1
"qwen3_8b_post","profession","corporate_titles",99,99,99,0,0,0,0,0,99,100,40,192.45454545454547,99,0,0,0,0,3,3.0303030303030303,0,0,0,3
"qwen3_8b_post","profession","dance_occupations",626,626,626,0,0,0,0,0,626,100,40,175.2699680511182,626,0,0,0,0,3,0.4792332268370607,2,0,0,5
"qwen3_8b_post","profession","engineering_branches",3120,3120,3120,0,1,0,0,0,3120,100,40,187.9852564102564,3119,1,0.032061558191728116,1,1,18,0.5771080474511061,3,0,0,23
"qwen3_8b_post","profession","entertainer_occupations",442,442,442,0,0,0,0,0,442,100,40,173.56787330316743,442,1,0.22624434389140274,1,1,1,0.22624434389140274,0,0,0,2
"qwen3_8b_post","profession","film_and_television_occupations",245,245,245,0,0,0,0,0,245,100,40,175.91836734693877,245,0,0,0,0,4,1.6326530612244898,0,0,0,4
"qwen3_8b_post","profession","healthcare_occupations",531,531,531,0,0,0,0,0,531,100,40,188.01883239171374,531,0,0,0,0,1,0.18832391713747645,0,0,0,1
"qwen3_8b_post","profession","industrial_occupations",107,107,107,0,0,0,0,0,107,100,40,183.34579439252337,107,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","profession","mental_health_occupations",349,349,349,0,0,0,0,0,349,100,40,191.11461318051576,349,0,0,0,0,3,0.8595988538681949,0,0,0,3
"qwen3_8b_post","profession","metalworking_occupations",625,625,625,0,0,0,0,0,625,100,40,181.8688,625,1,0.16,1,1,6,0.96,0,0,0,7
"qwen3_8b_post","profession","nursing_specialties",293,293,293,0,0,0,0,0,293,100,40,193.46757679180888,293,1,0.3412969283276451,1,1,2,0.6825938566552902,0,0,0,3
"qwen3_8b_post","profession","professional_driver_types",62,62,62,0,0,0,0,0,62,100,40,177.11290322580646,62,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","profession","railway_industry_occupations",137,137,137,0,0,0,0,0,137,100,40,172.8102189781022,137,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","profession","scientific_occupations",824,824,824,0,0,0,0,0,824,100,40,187.0376213592233,824,0,0,0,0,4,0.48543689320388345,0,0,0,4
"qwen3_8b_post","profession","sewing_occupations",830,830,830,0,0,0,0,0,830,100,40,172.12289156626505,830,0,0,0,0,4,0.48192771084337355,0,0,0,4
"qwen3_8b_post","profession","theatre_personnel",842,842,842,0,0,0,0,0,842,100,40,180.4144893111639,842,0,0,0,0,5,0.5938242280285035,1,0,0,6
"qwen3_8b_post","profession","writing_occupations",421,421,421,0,0,0,0,0,421,100,40,180.14251781472683,421,0,0,0,0,2,0.4750593824228029,0,0,0,2
"qwen3_8b_post","race","African_Americans",1854,1854,1854,0,0,0,0,0,1854,100,40,161.27615965480044,1854,0,0,0,0,15,0.8090614886731391,0,0,0,15
"qwen3_8b_post","race","Asian_Americans",861,861,861,0,0,0,0,0,861,100,40,167.2357723577236,861,0,0,0,0,5,0.5807200929152149,0,0,0,5
"qwen3_8b_post","race","European_Americans",4839,4839,4839,0,0,0,0,0,4839,100,40,159.73816904319074,4839,3,0.06199628022318661,3,3,28,0.5786319487497417,1,0,0,32
"qwen3_8b_post","race","Hispanic_and_Latino_Americans",103,103,103,0,0,0,0,0,103,100,40,163.66990291262135,103,0,0,0,0,2,1.9417475728155338,0,0,0,2
"qwen3_8b_post","religious_ideology","atheism",29,29,28,1,0,0,0,0,28,100,40,182.53571428571428,28,0,0,0,0,1,3.571428571428571,0,0,0,1
"qwen3_8b_post","religious_ideology","buddhism",134,134,134,0,0,0,0,0,134,100,40,175.88059701492537,134,0,0,0,0,2,1.4925373134328357,0,0,0,2
"qwen3_8b_post","religious_ideology","christianity",171,171,171,0,0,0,0,0,171,100,40,179.953216374269,171,0,0,0,0,1,0.5847953216374269,0,0,0,1
"qwen3_8b_post","religious_ideology","hinduism",12,12,12,0,0,0,0,0,12,100,40,176.41666666666666,12,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","religious_ideology","islam",109,109,108,1,0,0,0,0,108,100,40,171.59259259259258,108,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","religious_ideology","judaism",94,94,94,0,0,0,0,0,94,100,40,179.5531914893617,94,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","religious_ideology","sikhism",90,90,90,0,0,0,0,0,90,100,40,170.94444444444446,90,0,0,0,0,0,0,0,0,0,0
