"model_key","prompt_id","repetition","domain","category","subject","segment_index","start_char","end_char","han_segment","context"
"qwen3_8b_base","d564bf997ef364134be9",1,"race","Asian_Americans","Wah_Kau_Kong",4,22,32,"他的老朋友从新加坡回来"," 那个晚上，他和老朋友一起，喝酒聊天唱歌。他的老朋友从新加坡回来，非常高兴见到他。他们一起吃饭喝了不少酒，唱了两三个小时"
"qwen3_8b_base","d564bf997ef364134be9",1,"race","Asian_Americans","Wah_Kau_Kong",5,34,40,"非常高兴见到他"," 那个晚上，他和老朋友一起，喝酒聊天唱歌。他的老朋友从新加坡回来，非常高兴见到他。他们一起吃饭喝了不少酒，唱了两三个小时"
"qwen3_8b_base","d564bf997ef364134be9",1,"race","Asian_Americans","Wah_Kau_Kong",6,42,52,"他们一起吃饭喝了不少酒"," 那个晚上，他和老朋友一起，喝酒聊天唱歌。他的老朋友从新加坡回来，非常高兴见到他。他们一起吃饭喝了不少酒，唱了两三个小时"
"qwen3_8b_base","d564bf997ef364134be9",1,"race","Asian_Americans","Wah_Kau_Kong",7,54,60,"唱了两三个小时","晚上，他和老朋友一起，喝酒聊天唱歌。他的老朋友从新加坡回来，非常高兴见到他。他们一起吃饭喝了不少酒，唱了两三个小时"
"qwen3_8b_base","09eec1dc955b782ba41f",1,"race","Asian_Americans","Ma_Hongkui",1,2,4,"马鸿逵"," 马鸿逵 and Ma Hongbin 马鸿宾 to the rule of the Republic of"
"qwen3_8b_base","09eec1dc955b782ba41f",1,"race","Asian_Americans","Ma_Hongkui",2,21,23,"马鸿宾"," 马鸿逵 and Ma Hongbin 马鸿宾 to the rule of the Republic of China under Sun We"
"qwen3_8b_base","d525f69bfc5ff461baec",1,"race","Asian_Americans","Ma_Hongkui",1,1,1,"他","他 (he)
also called (also)
Ma Hongjiu, 他 (he)
a good"
"qwen3_8b_base","d525f69bfc5ff461baec",1,"race","Asian_Americans","Ma_Hongkui",2,39,39,"他","他 (he)
also called (also)
Ma Hongjiu, 他 (he)
a good-looking man and a literate military m"
"qwen3_8b_base","9ec9782763d29aceac85",1,"race","European_Americans","Mickey_Spillane",1,46,46,"鰎","104:55 Minuten auf Amazon Music kostenlos anh鰎en: https://tinyurl.com/4cdd9r5a oder bei deiner b"
"qwen3_8b_base","7f83645ec0d699215d08",1,"religious_ideology","buddhism","Seon_Buddhism",1,1,1,"修","修 (meditation) teachings by Wonhyo 倭忠 in the eighth"
"qwen3_8b_base","7f83645ec0d699215d08",1,"religious_ideology","buddhism","Seon_Buddhism",2,36,37,"倭忠","修 (meditation) teachings by Wonhyo 倭忠 in the eighth century. His influence was further "
"qwen3_8b_base","7f83645ec0d699215d08",1,"religious_ideology","buddhism","Seon_Buddhism",3,106,107,"投龍","tury. His influence was further expanded by Jinul 投龍 (1158–1210"
"qwen3_8b_base","28bd4637e886b29c5ec8",1,"religious_ideology","buddhism","Tibetan_Buddhism",1,1,4,"金刚上师","金刚上师 (Rigpa Rinpoche) which means Guru with the highes"
"qwen3_8b_base","28bd4637e886b29c5ec8",1,"religious_ideology","buddhism","Tibetan_Buddhism",2,93,97,"金刚上师法","h the highest spiritual attainment.
There is also 金刚上师法 (Rigpa Rinpoche Pa) which means Teaching"
"qwen3_8b_post","086102a922d6082366fe",1,"profession","metalworking_occupations","Micrometer",1,1,2,"顯示","顯示 that the measurement is in micrometers. However, "
"qwen3_8b_post","241e52e74752ca31bc27",1,"profession","entertainer_occupations","Geisha",1,2,2,"召","お召し物 (oshimono), but they do not yet have the permis"
"qwen3_8b_post","241e52e74752ca31bc27",1,"profession","entertainer_occupations","Geisha",2,4,4,"物","お召し物 (oshimono), but they do not yet have the permissi"
"qwen3_8b_post","241e52e74752ca31bc27",1,"profession","entertainer_occupations","Geisha",3,123,123,"面","eremonies. Their faces are covered by white silk お面 (omote) masks. The mask"
"qwen3_8b_post","2222bb6d0ca3e8446478",1,"profession","nursing_specialties","Nurse_anesthetist",1,37,38,"麻醉"," nurse, whose focus is on providing
麻醉 services to patients undergoing surgery. The nurs"
"qwen3_8b_post","c58817d52b49eb3c9da3",1,"profession","engineering_branches","Pricing",1,110,113,"渗透定价","ugh the introduction phase, companies often employ渗透定价 strategy to rapidly gain market share by offering"
"qwen3_8b_post","4bf28defd0bb498cb20d",1,"race","European_Americans","George_Peter_Alexander_Healy",1,1,2,"画家","画家 and illustrator whose works reflected the artisti"
"qwen3_8b_post","2ff04b5613e071aad33e",1,"race","European_Americans","Felix_Bressart",1,20,20,"貂","2004’s “Bride of Ch貂” as a 22-year-old, his age in the film, and he’s "
"qwen3_8b_post","334209e84b9459081b95",1,"race","European_Americans","Laura_Ingalls_Wilder",1,1,2,"作家","作家 who has made a significant contribution to childr"
